"","date","STKL"
"1","2007-01-03",8.6
"2","2007-01-04",8.46
"3","2007-01-05",8.59
"4","2007-01-08",9.07
"5","2007-01-09",8.88
"6","2007-01-10",8.88
"7","2007-01-11",9.28
"8","2007-01-12",10.46
"9","2007-01-16",10.41
"10","2007-01-17",10.45
"11","2007-01-18",10.28
"12","2007-01-19",10.46
"13","2007-01-22",10.5
"14","2007-01-23",10.66
"15","2007-01-24",10.53
"16","2007-01-25",10.62
"17","2007-01-26",10.55
"18","2007-01-29",10.65
"19","2007-01-30",11.19
"20","2007-01-31",10.86
"21","2007-02-01",11.07
"22","2007-02-02",11
"23","2007-02-05",11.33
"24","2007-02-06",11.13
"25","2007-02-07",11.23
"26","2007-02-08",11.61
"27","2007-02-09",11.62
"28","2007-02-12",11
"29","2007-02-13",11.14
"30","2007-02-14",11
"31","2007-02-15",11.04
"32","2007-02-16",10.84
"33","2007-02-20",10.97
"34","2007-02-21",10.75
"35","2007-02-22",10.47
"36","2007-02-23",11.68
"37","2007-02-26",11.2
"38","2007-02-27",10.79
"39","2007-02-28",10.7
"40","2007-03-01",10.67
"41","2007-03-02",10.55
"42","2007-03-05",10.75
"43","2007-03-06",10.89
"44","2007-03-07",10.9
"45","2007-03-08",11.07
"46","2007-03-09",11.04
"47","2007-03-12",11.16
"48","2007-03-13",10.81
"49","2007-03-14",10.85
"50","2007-03-15",10.88
"51","2007-03-16",10.81
"52","2007-03-19",11.23
"53","2007-03-20",11.43
"54","2007-03-21",11.67
"55","2007-03-22",11.97
"56","2007-03-23",12.2
"57","2007-03-26",12.29
"58","2007-03-27",12.13
"59","2007-03-28",12.07
"60","2007-03-29",11.91
"61","2007-03-30",11.9
"62","2007-04-02",12.03
"63","2007-04-03",11.96
"64","2007-04-04",11.79
"65","2007-04-05",11.78
"66","2007-04-09",11.94
"67","2007-04-10",11.97
"68","2007-04-11",12.3
"69","2007-04-12",12.46
"70","2007-04-13",12.28
"71","2007-04-16",12.46
"72","2007-04-17",12.54
"73","2007-04-18",12.49
"74","2007-04-19",12.41
"75","2007-04-20",12.4
"76","2007-04-23",12.47
"77","2007-04-24",12.41
"78","2007-04-25",12.76
"79","2007-04-26",12.81
"80","2007-04-27",12.99
"81","2007-04-30",12.94
"82","2007-05-01",11.96
"83","2007-05-02",12.21
"84","2007-05-03",12.22
"85","2007-05-04",12.17
"86","2007-05-07",11.99
"87","2007-05-08",12.13
"88","2007-05-09",12
"89","2007-05-10",11.8
"90","2007-05-11",11.66
"91","2007-05-14",11.45
"92","2007-05-15",11.64
"93","2007-05-16",11.13
"94","2007-05-17",11.34
"95","2007-05-18",11.29
"96","2007-05-21",11.33
