"","date","SGH"
"1","2017-05-24",13.45
"2","2017-05-25",13.5
"3","2017-05-26",13.23
"4","2017-05-30",12.98
"5","2017-05-31",13.1
"6","2017-06-01",13.45
"7","2017-06-02",14.09
"8","2017-06-05",16
"9","2017-06-06",15.7
"10","2017-06-07",15.94
"11","2017-06-08",15.98
"12","2017-06-09",15.74
"13","2017-06-12",14.05
"14","2017-06-13",14.52
"15","2017-06-14",15.04
"16","2017-06-15",15.15
"17","2017-06-16",15.3
"18","2017-06-19",15.3
"19","2017-06-20",15.28
"20","2017-06-21",15.75
"21","2017-06-22",16.200001
"22","2017-06-23",17.209999
"23","2017-06-26",16.82
"24","2017-06-27",16.440001
"25","2017-06-28",16.450001
"26","2017-06-29",16.290001
"27","2017-06-30",16.190001
"28","2017-07-03",15.71
"29","2017-07-05",16.09
"30","2017-07-06",16.02
"31","2017-07-07",15.99
"32","2017-07-10",15.76
"33","2017-07-11",15.36
"34","2017-07-12",15.4
"35","2017-07-13",15.5
"36","2017-07-14",15.63
"37","2017-07-17",16.799999
"38","2017-07-18",17.120001
"39","2017-07-19",16.82
"40","2017-07-20",16.26
"41","2017-07-21",16.120001
"42","2017-07-24",15.86
"43","2017-07-25",16.23
"44","2017-07-26",19
"45","2017-07-27",18
"46","2017-07-28",18.4
"47","2017-07-31",18.09
"48","2017-08-01",18.4
"49","2017-08-02",18.27
"50","2017-08-03",18.790001
"51","2017-08-04",18.75
"52","2017-08-07",18.25
"53","2017-08-08",18.1
"54","2017-08-09",18.42
"55","2017-08-10",18.1
"56","2017-08-11",18.33
"57","2017-08-14",18.610001
"58","2017-08-15",19.200001
"59","2017-08-16",19.389999
"60","2017-08-17",18
"61","2017-08-18",18.415001
"62","2017-08-21",18.23
"63","2017-08-22",18.4
"64","2017-08-23",18.58
"65","2017-08-24",18.48
"66","2017-08-25",18.4
"67","2017-08-28",18.379999
"68","2017-08-29",18.469999
"69","2017-08-30",18.459999
"70","2017-08-31",19.870001
"71","2017-09-01",20.879999
"72","2017-09-05",20.700001
"73","2017-09-06",22.190001
"74","2017-09-07",22.700001
"75","2017-09-08",22.450001
"76","2017-09-11",22.870001
"77","2017-09-12",23.5
"78","2017-09-13",23.5
"79","2017-09-14",22.950001
"80","2017-09-15",21.559999
"81","2017-09-18",21.75
"82","2017-09-19",21.99
"83","2017-09-20",22.01
"84","2017-09-21",21.84
"85","2017-09-22",22.01
"86","2017-09-25",21.719999
"87","2017-09-26",20.85
"88","2017-09-27",21.450001
"89","2017-09-28",22.5
"90","2017-09-29",26.780001
"91","2017-10-02",28.07
"92","2017-10-03",29.85
"93","2017-10-04",30.6
"94","2017-10-05",31.76
"95","2017-10-06",32.810001
"96","2017-10-09",33
"97","2017-10-10",33.110001
"98","2017-10-11",36.93
"99","2017-10-12",34.779999
"100","2017-10-13",33.700001
"101","2017-10-16",30.16
"102","2017-10-17",30.549999
"103","2017-10-18",31.76
"104","2017-10-19",31.780001
"105","2017-10-20",31.040001
"106","2017-10-23",30.610001
"107","2017-10-24",31.48
"108","2017-10-25",30.18
"109","2017-10-26",29.24
"110","2017-10-27",30.389999
