"","date","SM"
"1","2007-01-03",35.009998
"2","2007-01-04",34.619999
"3","2007-01-05",34.610001
"4","2007-01-08",34.73
"5","2007-01-09",34.41
"6","2007-01-10",33.82
"7","2007-01-11",33.799999
"8","2007-01-12",34.57
"9","2007-01-16",34.080002
"10","2007-01-17",34.240002
"11","2007-01-18",34.189999
"12","2007-01-19",34.939999
"13","2007-01-22",34.16
"14","2007-01-23",35.150002
"15","2007-01-24",35.119999
"16","2007-01-25",34.299999
"17","2007-01-26",34.619999
"18","2007-01-29",34.880001
"19","2007-01-30",35.369999
"20","2007-01-31",35.990002
"21","2007-02-01",36.310001
"22","2007-02-02",36.290001
"23","2007-02-05",36.119999
"24","2007-02-06",36.299999
"25","2007-02-07",36.110001
"26","2007-02-08",36.669998
"27","2007-02-09",36.740002
"28","2007-02-12",36.029999
"29","2007-02-13",36.560001
"30","2007-02-14",36.84
"31","2007-02-15",36.720001
"32","2007-02-16",37.32
"33","2007-02-20",36.970001
"34","2007-02-21",37.150002
"35","2007-02-22",37.720001
"36","2007-02-23",37.369999
"37","2007-02-26",37.290001
"38","2007-02-27",36.09
"39","2007-02-28",36.009998
"40","2007-03-01",36.060001
"41","2007-03-02",35.279999
"42","2007-03-05",34.299999
"43","2007-03-06",34.990002
"44","2007-03-07",35.759998
"45","2007-03-08",35.119999
"46","2007-03-09",35.009998
"47","2007-03-12",34.59
"48","2007-03-13",34.57
"49","2007-03-14",34.77
"50","2007-03-15",34.66
"51","2007-03-16",34.52
"52","2007-03-19",35.23
"53","2007-03-20",35.360001
"54","2007-03-21",35.610001
"55","2007-03-22",36.48
"56","2007-03-23",36.669998
"57","2007-03-26",37.07
"58","2007-03-27",37.169998
"59","2007-03-28",38.16
"60","2007-03-29",36.77
"61","2007-03-30",36.68
"62","2007-04-02",36.830002
"63","2007-04-03",36.68
"64","2007-04-04",36.950001
"65","2007-04-05",36.950001
"66","2007-04-09",36.759998
"67","2007-04-10",37.32
"68","2007-04-11",37.200001
"69","2007-04-12",37.950001
"70","2007-04-13",37.849998
"71","2007-04-16",37.57
"72","2007-04-17",37.150002
