"","date","BDGE"
"1","2007-01-03",24
"2","2007-01-04",23.85
"3","2007-01-05",23.99
"4","2007-01-08",24.25
"5","2007-01-09",24.35
"6","2007-01-10",24
"7","2007-01-11",24.4
"8","2007-01-12",24.35
"9","2007-01-16",24.4
"10","2007-01-17",24.299999
"11","2007-01-18",24.639999
"12","2007-01-19",24.4
"13","2007-01-22",24.4
"14","2007-01-23",24.5
"15","2007-01-24",24.65
"16","2007-01-25",24.75
"17","2007-01-26",24.6
"18","2007-01-29",24.1
"19","2007-01-30",24.450001
"20","2007-01-31",24.450001
"21","2007-02-01",24.6
"22","2007-02-02",24.65
"23","2007-02-05",24.65
"24","2007-02-06",24.75
"25","2007-02-07",24.75
"26","2007-02-08",24.6
"27","2007-02-09",24.6
"28","2007-02-12",24.65
"29","2007-02-13",24.75
"30","2007-02-14",24.75
"31","2007-02-15",24.65
"32","2007-02-16",24.65
"33","2007-02-20",24.549999
"34","2007-02-21",24.75
"35","2007-02-22",24.6
"36","2007-02-23",24.6
"37","2007-02-26",24.6
"38","2007-02-27",24.65
"39","2007-02-28",24.65
"40","2007-03-01",24.75
"41","2007-03-02",25
"42","2007-03-05",24.75
"43","2007-03-06",24.75
"44","2007-03-07",24.75
"45","2007-03-08",24.75
"46","2007-03-09",24.75
"47","2007-03-12",24.75
"48","2007-03-13",24.75
"49","2007-03-14",24.75
"50","2007-03-15",24.75
"51","2007-03-16",24.75
"52","2007-03-19",24.75
"53","2007-03-20",24.549999
"54","2007-03-21",24.549999
"55","2007-03-22",24.549999
"56","2007-03-23",24.549999
"57","2007-03-26",24.549999
"58","2007-03-27",24.25
"59","2007-03-28",24.450001
"60","2007-03-29",24.799999
"61","2007-03-30",24.799999
"62","2007-04-02",24.799999
"63","2007-04-03",24.5
"64","2007-04-04",24.07
"65","2007-04-05",24.700001
"66","2007-04-09",24.299999
"67","2007-04-10",24.25
"68","2007-04-11",24.200001
"69","2007-04-12",24.200001
"70","2007-04-13",24.1
"71","2007-04-16",24.200001
"72","2007-04-17",24.200001
"73","2007-04-18",24.25
"74","2007-04-19",24.200001
"75","2007-04-20",24.299999
"76","2007-04-23",24.1
"77","2007-04-24",24.25
"78","2007-04-25",24.15
"79","2007-04-26",24.200001
"80","2007-04-27",24.200001
"81","2007-04-30",24.5
"82","2007-05-01",24.25
"83","2007-05-02",24.15
"84","2007-05-03",24.1
"85","2007-05-04",24.15
"86","2007-05-07",24.1
"87","2007-05-08",24.25
"88","2007-05-09",24.299999
"89","2007-05-10",24.299999
"90","2007-05-11",24.299999
"91","2007-05-14",24.5
"92","2007-05-15",24.299999
"93","2007-05-16",24.35
"94","2007-05-17",24.35
"95","2007-05-18",24.299999
"96","2007-05-21",24.299999
"97","2007-05-22",24.4
"98","2007-05-23",24.4
"99","2007-05-24",24.4
"100","2007-05-25",24.4
"101","2007-05-29",24.75
"102","2007-05-30",24.4
"103","2007-05-31",24.4
"104","2007-06-01",24.4
"105","2007-06-04",24.4
"106","2007-06-05",24.4
"107","2007-06-06",24.4
"108","2007-06-07",24.4
"109","2007-06-08",24.5
"110","2007-06-11",24.4
"111","2007-06-12",24.4
"112","2007-06-13",24.4
"113","2007-06-14",24.4
"114","2007-06-15",24.5
"115","2007-06-18",24.200001
"116","2007-06-19",24.200001
"117","2007-06-20",24.15
"118","2007-06-21",24.15
"119","2007-06-22",24
"120","2007-06-25",24.049999
"121","2007-06-26",24.049999
"122","2007-06-27",24.1
"123","2007-06-28",24.1
"124","2007-06-29",24.1
"125","2007-07-02",24.200001
"126","2007-07-03",24.200001
"127","2007-07-05",24.200001
"128","2007-07-06",24.200001
"129","2007-07-09",24.200001
"130","2007-07-10",24.299999
"131","2007-07-11",24
"132","2007-07-12",24.299999
"133","2007-07-13",24.4
"134","2007-07-16",24.4
"135","2007-07-17",24.4
"136","2007-07-18",24.4
"137","2007-07-19",24.299999
"138","2007-07-20",24
"139","2007-07-23",24.1
"140","2007-07-24",24.35
"141","2007-07-25",24.35
"142","2007-07-26",24.35
"143","2007-07-27",24.200001
"144","2007-07-30",24
"145","2007-07-31",24
"146","2007-08-01",24
"147","2007-08-02",23.75
"148","2007-08-03",23.85
"149","2007-08-06",23.5
"150","2007-08-07",23.950001
"151","2007-08-08",23.799999
"152","2007-08-09",24.25
"153","2007-08-10",24.1
"154","2007-08-13",24.25
"155","2007-08-14",24.25
"156","2007-08-15",24.049999
"157","2007-08-16",23.85
"158","2007-08-17",24.1
"159","2007-08-20",24.450001
"160","2007-08-21",24.5
"161","2007-08-22",24.5
"162","2007-08-23",24.5
"163","2007-08-24",24.549999
"164","2007-08-27",24.549999
"165","2007-08-28",24.4
"166","2007-08-29",24
"167","2007-08-30",24.299999
