"","date","ERII"
"1","2008-07-02",9.83
"2","2008-07-03",9.83
"3","2008-07-07",10.23
"4","2008-07-08",11.1
"5","2008-07-09",11.2
"6","2008-07-10",11.73
"7","2008-07-11",11.69
"8","2008-07-14",11.46
"9","2008-07-15",11.13
"10","2008-07-16",11.01
"11","2008-07-17",11.11
"12","2008-07-18",11.9
"13","2008-07-21",12.3
"14","2008-07-22",12.22
"15","2008-07-23",12.11
"16","2008-07-24",11.19
"17","2008-07-25",10.5
"18","2008-07-28",10.97
"19","2008-07-29",10.78
"20","2008-07-30",10.78
"21","2008-07-31",11.05
"22","2008-08-01",11.34
"23","2008-08-04",11.51
"24","2008-08-05",11.3
"25","2008-08-06",11.11
"26","2008-08-07",10.94
"27","2008-08-08",11
"28","2008-08-11",10.32
"29","2008-08-12",10.23
"30","2008-08-13",9.25
"31","2008-08-14",9.35
"32","2008-08-15",9.55
"33","2008-08-18",9.46
"34","2008-08-19",8.83
"35","2008-08-20",8.84
"36","2008-08-21",9.11
"37","2008-08-22",9.25
"38","2008-08-25",9.1
"39","2008-08-26",8.73
"40","2008-08-27",8.66
"41","2008-08-28",8.91
"42","2008-08-29",9.01
"43","2008-09-02",9.23
"44","2008-09-03",9.22
"45","2008-09-04",9.01
"46","2008-09-05",9.01
"47","2008-09-08",8.79
"48","2008-09-09",8.05
"49","2008-09-10",7.61
"50","2008-09-11",7.24
"51","2008-09-12",7.21
"52","2008-09-15",7.3
"53","2008-09-16",7.74
"54","2008-09-17",7.65
"55","2008-09-18",7.15
"56","2008-09-19",7.65
"57","2008-09-22",8.08
"58","2008-09-23",7.97
"59","2008-09-24",8.75
"60","2008-09-25",9.15
"61","2008-09-26",9.75
"62","2008-09-29",9.06
"63","2008-09-30",9.59
"64","2008-10-01",8.63
"65","2008-10-02",8.21
"66","2008-10-03",8.29
"67","2008-10-06",7.03
"68","2008-10-07",6.59
"69","2008-10-08",6.95
"70","2008-10-09",6.41
"71","2008-10-10",7.43
"72","2008-10-13",8.48
"73","2008-10-14",7.82
"74","2008-10-15",7.31
"75","2008-10-16",7.22
"76","2008-10-17",7.13
"77","2008-10-20",7.14
"78","2008-10-21",6.97
"79","2008-10-22",6.39
"80","2008-10-23",5.97
"81","2008-10-24",5.64
"82","2008-10-27",5.21
"83","2008-10-28",4.97
"84","2008-10-29",4.91
"85","2008-10-30",5.5
"86","2008-10-31",5.8
"87","2008-11-03",5.85
"88","2008-11-04",5.87
"89","2008-11-05",5.76
"90","2008-11-06",5.18
"91","2008-11-07",5.68
"92","2008-11-10",5.61
"93","2008-11-11",5.57
"94","2008-11-12",5.82
"95","2008-11-13",5.99
"96","2008-11-14",5.95
"97","2008-11-17",6.31
"98","2008-11-18",6.56
"99","2008-11-19",6.46
"100","2008-11-20",5.59
"101","2008-11-21",5.89
"102","2008-11-24",5.99
"103","2008-11-25",6.7
"104","2008-11-26",7.01
"105","2008-11-28",7.01
"106","2008-12-01",6.65
"107","2008-12-02",7
"108","2008-12-03",6.9
"109","2008-12-04",6.67
"110","2008-12-05",7.01
"111","2008-12-08",7.94
"112","2008-12-09",7.26
"113","2008-12-10",7.42
"114","2008-12-11",6.85
"115","2008-12-12",7.61
"116","2008-12-15",7.28
"117","2008-12-16",8.59
"118","2008-12-17",8.7
"119","2008-12-18",9.12
"120","2008-12-19",8.65
"121","2008-12-22",7.59
"122","2008-12-23",7.22
"123","2008-12-24",7.33
"124","2008-12-26",7.44
"125","2008-12-29",6.97
"126","2008-12-30",7.34
"127","2008-12-31",7.58
"128","2009-01-02",7.95
"129","2009-01-05",8
"130","2009-01-06",8.66
"131","2009-01-07",8.16
"132","2009-01-08",7.86
"133","2009-01-09",7.43
"134","2009-01-12",7.15
"135","2009-01-13",6.92
"136","2009-01-14",6.84
"137","2009-01-15",6.85
"138","2009-01-16",6.8
"139","2009-01-20",6.71
"140","2009-01-21",6.92
"141","2009-01-22",6.88
"142","2009-01-23",6.76
"143","2009-01-26",6.79
"144","2009-01-27",6.87
"145","2009-01-28",6.87
"146","2009-01-29",6.3
"147","2009-01-30",6.25
"148","2009-02-02",6.38
"149","2009-02-03",6.12
"150","2009-02-04",6.39
"151","2009-02-05",6.35
"152","2009-02-06",6.35
"153","2009-02-09",6.34
"154","2009-02-10",6.35
"155","2009-02-11",6.36
"156","2009-02-12",6.37
"157","2009-02-13",6.42
"158","2009-02-17",6.45
"159","2009-02-18",6.31
"160","2009-02-19",6.73
"161","2009-02-20",6.95
"162","2009-02-23",6.42
"163","2009-02-24",6.81
"164","2009-02-25",6.75
"165","2009-02-26",6.71
"166","2009-02-27",6.31
"167","2009-03-02",6.02
"168","2009-03-03",5.99
"169","2009-03-04",5.59
"170","2009-03-05",4.99
"171","2009-03-06",4.72
"172","2009-03-09",4.68
"173","2009-03-10",4.93
"174","2009-03-11",5.7
"175","2009-03-12",6.15
"176","2009-03-13",6.38
"177","2009-03-16",6.36
"178","2009-03-17",6.4
"179","2009-03-18",6.4
"180","2009-03-19",6.46
"181","2009-03-20",6.32
"182","2009-03-23",6.5
"183","2009-03-24",6.41
"184","2009-03-25",7.04
"185","2009-03-26",7.34
"186","2009-03-27",7.25
"187","2009-03-30",7.47
"188","2009-03-31",7.6
"189","2009-04-01",7.55
"190","2009-04-02",7.56
"191","2009-04-03",7.31
"192","2009-04-06",7.06
"193","2009-04-07",6.72
