"","date","FCFS"
"1","2007-01-03",25.219999
"2","2007-01-04",24.790001
"3","2007-01-05",23.65
"4","2007-01-08",23.879999
"5","2007-01-09",23.68
"6","2007-01-10",23.6
"7","2007-01-11",23.709999
"8","2007-01-12",23.82
"9","2007-01-16",23.610001
"10","2007-01-17",23.17
"11","2007-01-18",22.58
"12","2007-01-19",22.379999
"13","2007-01-22",22.620001
"14","2007-01-23",23.52
"15","2007-01-24",23.65
"16","2007-01-25",22.709999
"17","2007-01-26",22.790001
"18","2007-01-29",22.77
"19","2007-01-30",23.219999
"20","2007-01-31",23.48
"21","2007-02-01",23.51
"22","2007-02-02",23.719999
"23","2007-02-05",23.43
"24","2007-02-06",23.389999
"25","2007-02-07",23.110001
"26","2007-02-08",23.49
"27","2007-02-09",23.66
"28","2007-02-12",23.540001
"29","2007-02-13",23.639999
"30","2007-02-14",24.02
"31","2007-02-15",23.93
"32","2007-02-16",24.15
"33","2007-02-20",24.620001
"34","2007-02-21",24.65
"35","2007-02-22",24.43
"36","2007-02-23",24.02
"37","2007-02-26",23.74
"38","2007-02-27",22.049999
"39","2007-02-28",22.48
"40","2007-03-01",22.16
"41","2007-03-02",21.120001
"42","2007-03-05",20.360001
"43","2007-03-06",21.040001
"44","2007-03-07",21.23
"45","2007-03-08",20.879999
"46","2007-03-09",21.49
"47","2007-03-12",20.75
"48","2007-03-13",20.360001
"49","2007-03-14",20.780001
"50","2007-03-15",21.299999
"51","2007-03-16",21.1
"52","2007-03-19",21.450001
"53","2007-03-20",21.42
"54","2007-03-21",22.58
"55","2007-03-22",22.629999
"56","2007-03-23",22.690001
"57","2007-03-26",22.049999
"58","2007-03-27",22.17
"59","2007-03-28",21.719999
"60","2007-03-29",21.690001
"61","2007-03-30",22.280001
"62","2007-04-02",21.879999
"63","2007-04-03",22.07
"64","2007-04-04",21.93
"65","2007-04-05",21.690001
"66","2007-04-09",21.459999
"67","2007-04-10",21.719999
"68","2007-04-11",21.780001
"69","2007-04-12",21.790001
"70","2007-04-13",21.799999
"71","2007-04-16",22.709999
"72","2007-04-17",23.049999
"73","2007-04-18",23.299999
"74","2007-04-19",24.059999
"75","2007-04-20",24.02
"76","2007-04-23",24.07
"77","2007-04-24",23.450001
"78","2007-04-25",24.18
"79","2007-04-26",23.98
"80","2007-04-27",23.68
"81","2007-04-30",22.98
"82","2007-05-01",22.889999
"83","2007-05-02",23.200001
"84","2007-05-03",23.049999
"85","2007-05-04",22.950001
"86","2007-05-07",22.93
"87","2007-05-08",22.6
"88","2007-05-09",22.559999
"89","2007-05-10",22.389999
"90","2007-05-11",22.709999
"91","2007-05-14",22.780001
"92","2007-05-15",21.780001
"93","2007-05-16",21.950001
"94","2007-05-17",21.809999
"95","2007-05-18",22.02
"96","2007-05-21",23.190001
"97","2007-05-22",24.07
"98","2007-05-23",24.35
"99","2007-05-24",24.43
"100","2007-05-25",24.42
"101","2007-05-29",24.85
"102","2007-05-30",24.92
"103","2007-05-31",24.93
"104","2007-06-01",25.23
"105","2007-06-04",25.379999
"106","2007-06-05",24.959999
"107","2007-06-06",24.77
"108","2007-06-07",24.620001
"109","2007-06-08",25.58
"110","2007-06-11",24.65
"111","2007-06-12",24.1
"112","2007-06-13",25.16
"113","2007-06-14",25.27
"114","2007-06-15",25.030001
"115","2007-06-18",24.93
"116","2007-06-19",24.74
"117","2007-06-20",24.74
"118","2007-06-21",24.540001
"119","2007-06-22",24.6
"120","2007-06-25",24.629999
"121","2007-06-26",24.77
"122","2007-06-27",24.370001
"123","2007-06-28",23.58
"124","2007-06-29",23.440001
"125","2007-07-02",23.530001
"126","2007-07-03",23.809999
"127","2007-07-05",23.09
"128","2007-07-06",23.629999
"129","2007-07-09",23.360001
"130","2007-07-10",22.84
"131","2007-07-11",22.790001
"132","2007-07-12",23.42
"133","2007-07-13",23.26
"134","2007-07-16",22.290001
"135","2007-07-17",22.68
"136","2007-07-18",23.700001
"137","2007-07-19",24.07
"138","2007-07-20",23.459999
"139","2007-07-23",23.4
"140","2007-07-24",22.959999
"141","2007-07-25",23.299999
