"","date","VSTA"
"1","2020-07-31",18.85
"2","2020-08-03",19
"3","2020-08-04",18.02
"4","2020-08-05",17.5
"5","2020-08-06",17.530001
"6","2020-08-07",17.799999
"7","2020-08-10",18.01
"8","2020-08-11",18.15
"9","2020-08-12",18.049999
"10","2020-08-13",18.299999
"11","2020-08-14",19.02
"12","2020-08-17",18.24
"13","2020-08-18",18.18
"14","2020-08-19",18.049999
"15","2020-08-20",18.51
"16","2020-08-21",16.879999
"17","2020-08-24",16.02
"18","2020-08-25",16.110001
"19","2020-08-26",15.71
"20","2020-08-27",14.72
"21","2020-08-28",15.32
"22","2020-08-31",15.71
"23","2020-09-01",15.9
"24","2020-09-02",15.48
"25","2020-09-03",15.31
"26","2020-09-04",15.42
"27","2020-09-08",15.31
"28","2020-09-09",15.33
"29","2020-09-10",15.47
"30","2020-09-11",15.4
"31","2020-09-14",14.53
"32","2020-09-15",15.29
"33","2020-09-16",15.76
"34","2020-09-17",16
"35","2020-09-18",16.209999
"36","2020-09-21",15.98
"37","2020-09-22",15.63
"38","2020-09-23",15.31
"39","2020-09-24",15.36
"40","2020-09-25",15.63
"41","2020-09-28",15.69
"42","2020-09-29",15.41
"43","2020-09-30",15.43
"44","2020-10-01",15.3
"45","2020-10-02",15.22
"46","2020-10-05",15.41
"47","2020-10-06",15.08
"48","2020-10-07",14.79
"49","2020-10-08",14.71
"50","2020-10-09",14.75
"51","2020-10-12",14.63
"52","2020-10-13",13.75
"53","2020-10-14",13.53
"54","2020-10-15",13.85
"55","2020-10-16",13.86
"56","2020-10-19",13.28
"57","2020-10-20",13.64
"58","2020-10-21",13.45
"59","2020-10-22",13.06
"60","2020-10-23",13.3
"61","2020-10-26",13.16
"62","2020-10-27",12.58
"63","2020-10-28",11.44
"64","2020-10-29",11.3
"65","2020-10-30",11.56
"66","2020-11-02",11.55
"67","2020-11-03",11.45
"68","2020-11-04",11.6
"69","2020-11-05",12.43
"70","2020-11-06",12.62
"71","2020-11-09",12.55
"72","2020-11-10",12.58
"73","2020-11-11",13.01
"74","2020-11-12",12.66
"75","2020-11-13",12.89
"76","2020-11-16",12.77
"77","2020-11-17",12.81
"78","2020-11-18",12.95
"79","2020-11-19",13.19
"80","2020-11-20",13.31
"81","2020-11-23",13.09
"82","2020-11-24",13.65
"83","2020-11-25",13.6
"84","2020-11-27",14.1
