"","date","DMYT"
"1","2020-04-27",9.79
"2","2020-04-28",9.79
"3","2020-04-29",9.79
"4","2020-04-30",9.79
"5","2020-05-01",9.79
"6","2020-05-04",9.79
"7","2020-05-05",9.79
"8","2020-05-06",9.79
"9","2020-05-07",9.6
"10","2020-05-08",9.6
"11","2020-05-11",9.6
"12","2020-05-12",9.6
"13","2020-05-13",9.8
"14","2020-05-14",9.8
"15","2020-05-15",9.75
"16","2020-05-18",9.75
"17","2020-05-19",9.75
"18","2020-05-20",9.75
"19","2020-05-21",9.75
"20","2020-05-22",9.75
"21","2020-05-26",9.75
"22","2020-05-27",9.75
"23","2020-05-28",9.75
"24","2020-05-29",9.75
"25","2020-06-01",9.75
"26","2020-06-02",9.6
"27","2020-06-03",9.6
"28","2020-06-04",9.674
"29","2020-06-05",9.78
"30","2020-06-08",9.51
"31","2020-06-09",9.63
"32","2020-06-10",9.69
"33","2020-06-11",9.89
"34","2020-06-12",9.89
"35","2020-06-15",9.612
"36","2020-06-16",9.612
"37","2020-06-17",9.74
"38","2020-06-18",9.79
"39","2020-06-19",9.78
"40","2020-06-22",9.8
"41","2020-06-23",9.73
"42","2020-06-24",9.81
"43","2020-06-25",9.82
"44","2020-06-26",9.77
"45","2020-06-29",10.01
"46","2020-06-30",10.03
"47","2020-07-01",10.16
"48","2020-07-02",10.2
"49","2020-07-06",10.19
"50","2020-07-07",10.11
"51","2020-07-08",10.22
"52","2020-07-09",10.1
"53","2020-07-10",10.39
"54","2020-07-13",10.41
"55","2020-07-14",10.51
"56","2020-07-15",10.53
"57","2020-07-16",10.62
"58","2020-07-17",10.61
"59","2020-07-20",10.63
"60","2020-07-21",10.7
"61","2020-07-22",10.87
"62","2020-07-23",10.85
"63","2020-07-24",11.3
"64","2020-07-27",11.85
"65","2020-07-28",11.75
"66","2020-07-29",11.46
"67","2020-07-30",10.75
"68","2020-07-31",10.585
"69","2020-08-03",10.46
"70","2020-08-04",10.48
"71","2020-08-05",10.53
"72","2020-08-06",10.46
"73","2020-08-07",10.16
"74","2020-08-10",10.5
"75","2020-08-11",10.57
"76","2020-08-12",10.67
"77","2020-08-13",10.8
"78","2020-08-14",10.62
"79","2020-08-17",10.645
"80","2020-08-18",10.61
"81","2020-08-19",10.58
"82","2020-08-20",10.59
"83","2020-08-21",10.7
"84","2020-08-24",10.73
"85","2020-08-25",11.11
"86","2020-08-26",11.36
"87","2020-08-27",11.2
"88","2020-08-28",11.28
"89","2020-08-31",11.36
"90","2020-09-01",11.44
"91","2020-09-02",11.53
"92","2020-09-03",11.65
"93","2020-09-04",11.52
"94","2020-09-08",11.62
"95","2020-09-09",12.74
"96","2020-09-10",12.85
"97","2020-09-11",13.41
"98","2020-09-14",13.43
"99","2020-09-15",13.4
"100","2020-09-16",14
"101","2020-09-17",14.24
"102","2020-09-18",14.18
"103","2020-09-21",13.6
"104","2020-09-22",13
"105","2020-09-23",12.96
"106","2020-09-24",11.95
"107","2020-09-25",12.55
"108","2020-09-28",12.92
"109","2020-09-29",12.62
"110","2020-09-30",12.76
"111","2020-10-01",12.1
"112","2020-10-02",11.74
"113","2020-10-05",11.92
"114","2020-10-06",11.73
"115","2020-10-07",11.83
"116","2020-10-08",11.71
"117","2020-10-09",11.9
"118","2020-10-12",12.39
"119","2020-10-13",12.07
"120","2020-10-14",12.24
"121","2020-10-15",12.41
"122","2020-10-16",13.26
"123","2020-10-19",13.31
"124","2020-10-20",13.21
"125","2020-10-21",12.98
"126","2020-10-22",12.5
"127","2020-10-23",12.2
"128","2020-10-26",11.62
"129","2020-10-27",11.64
"130","2020-10-28",11.3
"131","2020-10-29",11.2
"132","2020-10-30",11.14
"133","2020-11-02",11.36
"134","2020-11-03",11.16
"135","2020-11-04",11.11
"136","2020-11-05",11.2
"137","2020-11-06",11.26
"138","2020-11-09",11.24
"139","2020-11-10",11.2
"140","2020-11-11",11.16
"141","2020-11-12",10.99
"142","2020-11-13",11.07
"143","2020-11-16",11.32
"144","2020-11-17",11.6
"145","2020-11-18",12.64
"146","2020-11-19",13.3
"147","2020-11-20",13.92
"148","2020-11-23",13.5
"149","2020-11-24",15.65
"150","2020-11-25",16.23
"151","2020-11-27",16.25
