"","date","CHNG"
"1","2019-06-27",15
"2","2019-06-28",14.6
"3","2019-07-01",14.4
"4","2019-07-02",14.5
"5","2019-07-03",14.88
"6","2019-07-05",14.93
"7","2019-07-08",14.77
"8","2019-07-09",14.81
"9","2019-07-10",14.65
"10","2019-07-11",14.87
"11","2019-07-12",14.84
"12","2019-07-15",14.8
"13","2019-07-16",14.28
"14","2019-07-17",14.01
"15","2019-07-18",13.62
"16","2019-07-19",13.5
"17","2019-07-22",14
"18","2019-07-23",14.61
"19","2019-07-24",14.22
"20","2019-07-25",14.28
"21","2019-07-26",14.48
"22","2019-07-29",14.46
"23","2019-07-30",14.04
"24","2019-07-31",13.93
"25","2019-08-01",13.54
"26","2019-08-02",13.16
"27","2019-08-05",13.14
"28","2019-08-06",13.33
"29","2019-08-07",13.15
"30","2019-08-08",13.35
"31","2019-08-09",13.2
"32","2019-08-12",13.09
"33","2019-08-13",12.07
"34","2019-08-14",13.16
"35","2019-08-15",14.1
"36","2019-08-16",14.73
"37","2019-08-19",15.2
"38","2019-08-20",15.06
"39","2019-08-21",15.19
"40","2019-08-22",14.23
"41","2019-08-23",14.4
"42","2019-08-26",14.27
"43","2019-08-27",13.64
"44","2019-08-28",13.79
"45","2019-08-29",14.06
"46","2019-08-30",14.03
"47","2019-09-03",13.81
"48","2019-09-04",13.82
"49","2019-09-05",13.75
"50","2019-09-06",12.99
"51","2019-09-09",11.99
"52","2019-09-10",11.5
"53","2019-09-11",12.34
"54","2019-09-12",13.32
"55","2019-09-13",13.67
"56","2019-09-16",13.69
"57","2019-09-17",13.57
"58","2019-09-18",12.78
"59","2019-09-19",12.85
"60","2019-09-20",13.24
"61","2019-09-23",13.17
"62","2019-09-24",13.05
"63","2019-09-25",12.56
"64","2019-09-26",12.37
"65","2019-09-27",11.78
"66","2019-09-30",12.08
"67","2019-10-01",12.18
"68","2019-10-02",11.94
"69","2019-10-03",11.77
"70","2019-10-04",12.14
"71","2019-10-07",12.09
"72","2019-10-08",11.96
"73","2019-10-09",12.095
"74","2019-10-10",12.68
"75","2019-10-11",12.72
"76","2019-10-14",12.39
"77","2019-10-15",12.74
"78","2019-10-16",12.91
"79","2019-10-17",12.97
"80","2019-10-18",12.71
"81","2019-10-21",13.01
"82","2019-10-22",12.86
"83","2019-10-23",12.93
"84","2019-10-24",13.05
"85","2019-10-25",12.66
"86","2019-10-28",12.75
"87","2019-10-29",12.9
"88","2019-10-30",12.95
