"","date","SBGI"
"1","2007-01-03",10.87
"2","2007-01-04",11
"3","2007-01-05",10.73
"4","2007-01-08",11.14
"5","2007-01-09",11.28
"6","2007-01-10",11.15
"7","2007-01-11",11.16
"8","2007-01-12",11.23
"9","2007-01-16",11.35
"10","2007-01-17",11.31
"11","2007-01-18",11.53
"12","2007-01-19",11.51
"13","2007-01-22",11.8
"14","2007-01-23",11.96
"15","2007-01-24",11.97
"16","2007-01-25",11.73
"17","2007-01-26",11.93
"18","2007-01-29",11.92
"19","2007-01-30",11.83
"20","2007-01-31",11.77
"21","2007-02-01",12.06
"22","2007-02-02",12.23
"23","2007-02-05",12.34
"24","2007-02-06",12.17
"25","2007-02-07",13.1
"26","2007-02-08",13.11
"27","2007-02-09",12.74
"28","2007-02-12",13.26
"29","2007-02-13",13.37
"30","2007-02-14",14
"31","2007-02-15",14.03
"32","2007-02-16",14.11
"33","2007-02-20",14.7
"34","2007-02-21",15.04
"35","2007-02-22",14.86
"36","2007-02-23",14.71
"37","2007-02-26",15.15
"38","2007-02-27",14.72
"39","2007-02-28",14.29
"40","2007-03-01",14.4
"41","2007-03-02",14.37
"42","2007-03-05",14.38
"43","2007-03-06",14.74
"44","2007-03-07",14.27
"45","2007-03-08",14.5
"46","2007-03-09",14.54
"47","2007-03-12",15.52
"48","2007-03-13",14.65
"49","2007-03-14",14.91
"50","2007-03-15",15
"51","2007-03-16",15.3
"52","2007-03-19",15.18
"53","2007-03-20",15.08
"54","2007-03-21",15.25
"55","2007-03-22",15.29
"56","2007-03-23",15.23
"57","2007-03-26",15.54
"58","2007-03-27",15.65
"59","2007-03-28",15.55
"60","2007-03-29",15.46
"61","2007-03-30",15.45
"62","2007-04-02",15.78
"63","2007-04-03",16.07
"64","2007-04-04",16.17
"65","2007-04-05",16.18
"66","2007-04-09",16.280001
"67","2007-04-10",16.34
"68","2007-04-11",16.43
"69","2007-04-12",16.700001
"70","2007-04-13",17.01
"71","2007-04-16",17.48
"72","2007-04-17",17.5
"73","2007-04-18",17.32
"74","2007-04-19",17
"75","2007-04-20",17.26
"76","2007-04-23",17.24
"77","2007-04-24",17.129999
"78","2007-04-25",17.25
"79","2007-04-26",16.969999
"80","2007-04-27",16.620001
"81","2007-04-30",16.33
"82","2007-05-01",16.549999
"83","2007-05-02",15.33
"84","2007-05-03",15.66
"85","2007-05-04",15.17
"86","2007-05-07",15.68
"87","2007-05-08",15.64
"88","2007-05-09",15.72
"89","2007-05-10",15.27
"90","2007-05-11",15.62
"91","2007-05-14",14.63
"92","2007-05-15",14.88
"93","2007-05-16",15.08
"94","2007-05-17",15.06
"95","2007-05-18",15.58
"96","2007-05-21",15.68
"97","2007-05-22",15.81
"98","2007-05-23",15.7
"99","2007-05-24",15.33
"100","2007-05-25",15.6
"101","2007-05-29",15.5
"102","2007-05-30",15.32
"103","2007-05-31",15.32
"104","2007-06-01",15.5
"105","2007-06-04",15.55
"106","2007-06-05",15.41
"107","2007-06-06",15.46
"108","2007-06-07",14.81
"109","2007-06-08",15.03
"110","2007-06-11",15
"111","2007-06-12",14.55
"112","2007-06-13",14.84
"113","2007-06-14",14.73
"114","2007-06-15",15.11
"115","2007-06-18",15.12
"116","2007-06-19",15.12
"117","2007-06-20",14.54
"118","2007-06-21",14.33
"119","2007-06-22",14.17
"120","2007-06-25",14.15
"121","2007-06-26",14.16
"122","2007-06-27",14.23
"123","2007-06-28",14.31
"124","2007-06-29",14.22
"125","2007-07-02",14.83
"126","2007-07-03",14.82
"127","2007-07-05",15.02
"128","2007-07-06",15.06
"129","2007-07-09",15.07
"130","2007-07-10",14.61
"131","2007-07-11",14.52
"132","2007-07-12",14.8
"133","2007-07-13",14.72
"134","2007-07-16",14.76
"135","2007-07-17",15.03
"136","2007-07-18",14.88
"137","2007-07-19",14.74
"138","2007-07-20",14.75
"139","2007-07-23",14.72
"140","2007-07-24",14.37
"141","2007-07-25",14.45
"142","2007-07-26",13.81
"143","2007-07-27",13.3
"144","2007-07-30",13.36
"145","2007-07-31",13.04
"146","2007-08-01",12.24
"147","2007-08-02",12.21
"148","2007-08-03",12.07
"149","2007-08-06",12.06
"150","2007-08-07",12.36
"151","2007-08-08",12.6
"152","2007-08-09",12.19
