"","date","BSBK"
"1","2020-01-16",11.59
"2","2020-01-17",11.63
"3","2020-01-21",11.89
"4","2020-01-22",11.79
"5","2020-01-23",11.68
"6","2020-01-24",11.68
"7","2020-01-27",11.5
"8","2020-01-28",11.5
"9","2020-01-29",11.53
"10","2020-01-30",11.6
"11","2020-01-31",11.59
"12","2020-02-03",11.49
"13","2020-02-04",11.54
"14","2020-02-05",11.5
"15","2020-02-06",11.4
"16","2020-02-07",11.49
"17","2020-02-10",11.49
"18","2020-02-11",11.44
"19","2020-02-12",11.38
"20","2020-02-13",11.28
"21","2020-02-14",11.25
"22","2020-02-18",11.21
"23","2020-02-19",10.85
"24","2020-02-20",11
"25","2020-02-21",11.02
"26","2020-02-24",10.87
"27","2020-02-25",10.66
"28","2020-02-26",10.51
"29","2020-02-27",10.43
"30","2020-02-28",10.2
"31","2020-03-02",10.33
"32","2020-03-03",10.06
"33","2020-03-04",10.19
"34","2020-03-05",9.95
"35","2020-03-06",9.98
"36","2020-03-09",9
"37","2020-03-10",9.04
"38","2020-03-11",8.45
"39","2020-03-12",7.71
"40","2020-03-13",8.06
"41","2020-03-16",6.92
"42","2020-03-17",7.18
"43","2020-03-18",6.43
"44","2020-03-19",6.91
"45","2020-03-20",6.6
"46","2020-03-23",6.42
"47","2020-03-24",6.76
"48","2020-03-25",6.58
"49","2020-03-26",6.95
"50","2020-03-27",6.76
"51","2020-03-30",6.7
"52","2020-03-31",6.9
"53","2020-04-01",6.8
"54","2020-04-02",6.82
"55","2020-04-03",6.8
"56","2020-04-06",6.95
"57","2020-04-07",8
"58","2020-04-08",8.49
"59","2020-04-09",8.25
"60","2020-04-13",8.65
"61","2020-04-14",8.33
"62","2020-04-15",8.09
"63","2020-04-16",8.05
"64","2020-04-17",8.29
"65","2020-04-20",8.11
"66","2020-04-21",8.29
"67","2020-04-22",8.01
"68","2020-04-23",7.75
"69","2020-04-24",7.99
"70","2020-04-27",7.88
"71","2020-04-28",8
"72","2020-04-29",8.06
"73","2020-04-30",8.1
"74","2020-05-01",8.05
"75","2020-05-04",8.28
"76","2020-05-05",8.24
"77","2020-05-06",8.23
"78","2020-05-07",8.25
"79","2020-05-08",8.24
"80","2020-05-11",8.114
"81","2020-05-12",8.03
"82","2020-05-13",8.03
"83","2020-05-14",7.82
"84","2020-05-15",8
"85","2020-05-18",7.75
"86","2020-05-19",7.865
"87","2020-05-20",8
"88","2020-05-21",8.2
"89","2020-05-22",8
"90","2020-05-26",8.15
"91","2020-05-27",8.38
"92","2020-05-28",8.44
"93","2020-05-29",8.81
"94","2020-06-01",8.58
"95","2020-06-02",8.98
"96","2020-06-03",9
"97","2020-06-04",9.15
"98","2020-06-05",9.46
"99","2020-06-08",9.6
