"","date","RAMP"
"1","2007-01-03",25.4
"2","2007-01-04",25.370001
"3","2007-01-05",25.35
"4","2007-01-08",25.51
"5","2007-01-09",25.459999
"6","2007-01-10",25.33
"7","2007-01-11",25.540001
"8","2007-01-12",25.57
"9","2007-01-16",25.48
"10","2007-01-17",25.280001
"11","2007-01-18",25.18
"12","2007-01-19",24.92
"13","2007-01-22",24.85
"14","2007-01-23",24.58
"15","2007-01-24",24.68
"16","2007-01-25",22.200001
"17","2007-01-26",22.629999
"18","2007-01-29",22.83
"19","2007-01-30",22.67
"20","2007-01-31",22.700001
"21","2007-02-01",22.940001
"22","2007-02-02",22.959999
"23","2007-02-05",22.9
"24","2007-02-06",22.629999
"25","2007-02-07",22.74
"26","2007-02-08",22.67
"27","2007-02-09",22.42
"28","2007-02-12",22.290001
"29","2007-02-13",22.43
"30","2007-02-14",22.16
"31","2007-02-15",22.200001
"32","2007-02-16",22.16
"33","2007-02-20",22.719999
"34","2007-02-21",22.4
"35","2007-02-22",22.18
"36","2007-02-23",22.190001
"37","2007-02-26",21.809999
"38","2007-02-27",21.25
"39","2007-02-28",21.360001
"40","2007-03-01",21.48
"41","2007-03-02",21.33
"42","2007-03-05",21
"43","2007-03-06",21.370001
"44","2007-03-07",21.299999
"45","2007-03-08",21.41
"46","2007-03-09",21.440001
"47","2007-03-12",21.73
"48","2007-03-13",21.299999
"49","2007-03-14",21.309999
"50","2007-03-15",21.440001
"51","2007-03-16",21.459999
"52","2007-03-19",21.389999
"53","2007-03-20",21.66
"54","2007-03-21",21.93
"55","2007-03-22",22.09
"56","2007-03-23",21.92
"57","2007-03-26",21.65
"58","2007-03-27",21.35
"59","2007-03-28",21.370001
"60","2007-03-29",21.389999
"61","2007-03-30",21.389999
"62","2007-04-02",21.32
"63","2007-04-03",21.440001
"64","2007-04-04",21.290001
"65","2007-04-05",21.26
"66","2007-04-09",21.26
"67","2007-04-10",21.26
"68","2007-04-11",21.190001
"69","2007-04-12",21.32
"70","2007-04-13",21.34
"71","2007-04-16",21.75
"72","2007-04-17",21.389999
"73","2007-04-18",21.4
"74","2007-04-19",21.290001
"75","2007-04-20",21.48
"76","2007-04-23",22.190001
"77","2007-04-24",22.700001
"78","2007-04-25",22.629999
"79","2007-04-26",22.58
"80","2007-04-27",22.83
"81","2007-04-30",22.6
"82","2007-05-01",22.59
"83","2007-05-02",23.08
