"","date","OSG"
"1","2016-06-13",10.9
"2","2016-06-14",10.5
"3","2016-06-15",10.33
"4","2016-06-16",10.54
"5","2016-06-17",10.92
"6","2016-06-20",11.74
"7","2016-06-21",11.79
"8","2016-06-22",11.86
"9","2016-06-23",11.75
"10","2016-06-24",11.19
"11","2016-06-27",10.64
"12","2016-06-28",11
"13","2016-06-29",11
"14","2016-06-30",10.99
"15","2016-07-01",11
"16","2016-07-05",10.49
"17","2016-07-06",11.08
"18","2016-07-07",11.43
"19","2016-07-08",11.91
"20","2016-07-11",11.85
"21","2016-07-12",11.58
"22","2016-07-13",11.54
"23","2016-07-14",11.63
"24","2016-07-15",11.83
"25","2016-07-18",12.62
"26","2016-07-19",12.6
"27","2016-07-20",12.3
"28","2016-07-21",12.91
"29","2016-07-22",13.09
"30","2016-07-25",12.81
"31","2016-07-26",12.74
"32","2016-07-27",12.71
"33","2016-07-28",12.43
"34","2016-07-29",12.79
"35","2016-08-01",12.67
"36","2016-08-02",12.41
"37","2016-08-03",12.69
"38","2016-08-04",12.63
"39","2016-08-05",12.76
"40","2016-08-08",12.77
"41","2016-08-09",11.79
"42","2016-08-10",11.15
"43","2016-08-11",10.57
"44","2016-08-12",10.5
"45","2016-08-15",10.91
"46","2016-08-16",10.98
"47","2016-08-17",10.96
"48","2016-08-18",10.7
"49","2016-08-19",10.67
"50","2016-08-22",10.64
"51","2016-08-23",10.77
"52","2016-08-24",10.75
"53","2016-08-25",10.76
"54","2016-08-26",10.91
"55","2016-08-29",10.82
"56","2016-08-30",11.05
"57","2016-08-31",10.84
"58","2016-09-01",10.19
"59","2016-09-02",10.52
"60","2016-09-06",10.96
"61","2016-09-07",11.05
"62","2016-09-08",11.01
"63","2016-09-09",10.67
"64","2016-09-12",10.91
"65","2016-09-13",10.89
"66","2016-09-14",10.97
"67","2016-09-15",11.13
"68","2016-09-16",11.44
"69","2016-09-19",11.43
"70","2016-09-20",11.26
"71","2016-09-21",11.38
"72","2016-09-22",11.42
"73","2016-09-23",11.31
"74","2016-09-26",11.17
"75","2016-09-27",10.91
"76","2016-09-28",11.01
"77","2016-09-29",10.51
"78","2016-09-30",10.57
"79","2016-10-03",10.41
"80","2016-10-04",10.46
"81","2016-10-05",10.65
"82","2016-10-06",10.7
"83","2016-10-07",10.49
"84","2016-10-10",10.49
"85","2016-10-11",10.4
"86","2016-10-12",10.09
"87","2016-10-13",9.93
"88","2016-10-14",9.85
"89","2016-10-17",9.91
"90","2016-10-18",10
"91","2016-10-19",9.91
"92","2016-10-20",9.89
"93","2016-10-21",9.8
"94","2016-10-24",9.4
"95","2016-10-25",9.37
"96","2016-10-26",9.22
"97","2016-10-27",9.19
"98","2016-10-28",8.98
"99","2016-10-31",8.76
"100","2016-11-01",8.68
"101","2016-11-02",8.51
"102","2016-11-03",8.37
"103","2016-11-04",8.15
"104","2016-11-07",8.21
"105","2016-11-08",8.35
"106","2016-11-09",8.35
"107","2016-11-10",8.49
"108","2016-11-11",9.05
"109","2016-11-14",9.14
"110","2016-11-15",9
"111","2016-11-16",8.42
"112","2016-11-17",8.06
"113","2016-11-18",7.86
"114","2016-11-21",8
"115","2016-11-22",8
"116","2016-11-23",8.02
"117","2016-11-25",8.02
"118","2016-11-28",8.06
"119","2016-11-29",7.95
"120","2016-11-30",7.73
"121","2016-12-01",2.92
"122","2016-12-02",3.06
"123","2016-12-05",3.16
"124","2016-12-06",3.35
"125","2016-12-07",3.3
"126","2016-12-08",3.55
"127","2016-12-09",3.93
"128","2016-12-12",3.94
"129","2016-12-13",3.78
"130","2016-12-14",3.73
"131","2016-12-15",3.7
"132","2016-12-16",3.86
"133","2016-12-19",3.75
"134","2016-12-20",3.85
"135","2016-12-21",3.91
"136","2016-12-22",3.87
"137","2016-12-23",3.91
"138","2016-12-27",3.91
"139","2016-12-28",3.81
"140","2016-12-29",3.84
"141","2016-12-30",3.83
"142","2017-01-03",4.12
"143","2017-01-04",4.25
"144","2017-01-05",4.42
"145","2017-01-06",4.48
"146","2017-01-09",4.41
"147","2017-01-10",4.49
"148","2017-01-11",4.69
"149","2017-01-12",4.81
"150","2017-01-13",4.82
"151","2017-01-17",4.92
"152","2017-01-18",4.92
"153","2017-01-19",5.08
"154","2017-01-20",5.45
"155","2017-01-23",5.4
"156","2017-01-24",5.46
"157","2017-01-25",5.51
"158","2017-01-26",5.53
"159","2017-01-27",5.46
"160","2017-01-30",5
"161","2017-01-31",4.91
"162","2017-02-01",5.1
