"","date","MUFG"
"1","2007-01-03",12.43
"2","2007-01-04",12.56
"3","2007-01-05",12.49
"4","2007-01-08",12.51
"5","2007-01-09",12.64
"6","2007-01-10",12.56
"7","2007-01-11",12.36
"8","2007-01-12",12.64
"9","2007-01-16",12.85
"10","2007-01-17",12.71
"11","2007-01-18",12.61
"12","2007-01-19",12.56
"13","2007-01-22",12.68
"14","2007-01-23",12.71
"15","2007-01-24",12.7
"16","2007-01-25",12.48
"17","2007-01-26",12.36
"18","2007-01-29",12.12
"19","2007-01-30",12.14
"20","2007-01-31",12.15
"21","2007-02-01",12.2
"22","2007-02-02",12.05
"23","2007-02-05",11.83
"24","2007-02-06",11.75
"25","2007-02-07",11.72
"26","2007-02-08",11.57
"27","2007-02-09",11.79
"28","2007-02-12",11.79
"29","2007-02-13",12.14
"30","2007-02-14",12.41
"31","2007-02-15",12.5
"32","2007-02-16",12.49
"33","2007-02-20",12.5
"34","2007-02-21",12.6
"35","2007-02-22",12.62
"36","2007-02-23",12.57
"37","2007-02-26",12.48
"38","2007-02-27",12.1
"39","2007-02-28",12.22
"40","2007-03-01",12.1
"41","2007-03-02",11.93
"42","2007-03-05",11.84
"43","2007-03-06",11.99
"44","2007-03-07",11.95
"45","2007-03-08",11.94
"46","2007-03-09",11.93
"47","2007-03-12",11.92
"48","2007-03-13",11.64
"49","2007-03-14",11.74
"50","2007-03-15",11.5
"51","2007-03-16",11.25
"52","2007-03-19",11.09
"53","2007-03-20",11.36
"54","2007-03-21",11.57
"55","2007-03-22",11.61
"56","2007-03-23",11.67
"57","2007-03-26",11.59
"58","2007-03-27",11.37
"59","2007-03-28",11.23
"60","2007-03-29",11.33
"61","2007-03-30",11.26
"62","2007-04-02",11.31
"63","2007-04-03",11.52
"64","2007-04-04",11.65
"65","2007-04-05",11.56
"66","2007-04-09",11.56
"67","2007-04-10",11.67
"68","2007-04-11",11.52
"69","2007-04-12",11.45
"70","2007-04-13",11.3
"71","2007-04-16",11.3
"72","2007-04-17",11.21
"73","2007-04-18",11.2
"74","2007-04-19",11.02
"75","2007-04-20",11.02
"76","2007-04-23",10.89
"77","2007-04-24",10.9
"78","2007-04-25",10.98
"79","2007-04-26",10.73
"80","2007-04-27",10.48
"81","2007-04-30",10.45
"82","2007-05-01",10.48
"83","2007-05-02",10.64
"84","2007-05-03",10.6
"85","2007-05-04",10.6
"86","2007-05-07",10.85
"87","2007-05-08",10.98
"88","2007-05-09",11.22
"89","2007-05-10",11
"90","2007-05-11",11.22
"91","2007-05-14",11.14
"92","2007-05-15",11.08
"93","2007-05-16",10.97
"94","2007-05-17",10.82
"95","2007-05-18",10.85
"96","2007-05-21",10.9
"97","2007-05-22",11.45
"98","2007-05-23",11.58
"99","2007-05-24",11.48
"100","2007-05-25",11.34
"101","2007-05-29",11.51
"102","2007-05-30",11.53
"103","2007-05-31",11.53
"104","2007-06-01",11.6
"105","2007-06-04",11.61
"106","2007-06-05",11.41
"107","2007-06-06",11.53
"108","2007-06-07",11.4
"109","2007-06-08",11.53
"110","2007-06-11",11.58
"111","2007-06-12",11.57
"112","2007-06-13",11.54
"113","2007-06-14",11.58
"114","2007-06-15",11.62
"115","2007-06-18",11.53
"116","2007-06-19",11.48
"117","2007-06-20",11.31
"118","2007-06-21",11.38
"119","2007-06-22",10.97
"120","2007-06-25",10.86
"121","2007-06-26",11
"122","2007-06-27",11.01
"123","2007-06-28",11.08
"124","2007-06-29",11.02
"125","2007-07-02",11.36
"126","2007-07-03",11.31
"127","2007-07-05",11.14
"128","2007-07-06",11.08
"129","2007-07-09",11.19
"130","2007-07-10",11.09
"131","2007-07-11",11.08
"132","2007-07-12",11.26
"133","2007-07-13",11.23
"134","2007-07-16",11.24
"135","2007-07-17",11.06
"136","2007-07-18",10.93
"137","2007-07-19",10.83
"138","2007-07-20",10.64
"139","2007-07-23",10.7
"140","2007-07-24",10.71
"141","2007-07-25",11.01
"142","2007-07-26",10.87
"143","2007-07-27",10.71
"144","2007-07-30",10.82
"145","2007-07-31",10.64
"146","2007-08-01",10.11
