"","date","GIK"
"1","2020-07-02",9.8
"2","2020-07-06",9.8
"3","2020-07-07",9.85
"4","2020-07-08",10
"5","2020-07-09",9.9
"6","2020-07-10",9.965
"7","2020-07-13",9.935
"8","2020-07-14",10
"9","2020-07-15",9.91
"10","2020-07-16",9.91
"11","2020-07-17",9.97
"12","2020-07-20",9.95
"13","2020-07-21",9.95
"14","2020-07-22",9.95
"15","2020-07-23",9.97
"16","2020-07-24",9.97
"17","2020-07-27",9.99
"18","2020-07-28",9.99
"19","2020-07-29",9.95
"20","2020-07-30",9.96
"21","2020-07-31",9.96
"22","2020-08-03",9.9
"23","2020-08-04",9.86
"24","2020-08-05",9.86
"25","2020-08-06",9.88
"26","2020-08-07",9.85
"27","2020-08-10",9.86
"28","2020-08-11",9.87
"29","2020-08-12",9.9
"30","2020-08-13",9.9
"31","2020-08-14",9.93
"32","2020-08-17",9.95
"33","2020-08-18",9.9
"34","2020-08-19",9.9
"35","2020-08-20",9.88
"36","2020-08-21",9.87
"37","2020-08-24",9.821
"38","2020-08-25",9.89
"39","2020-08-26",9.91
"40","2020-08-27",9.91
"41","2020-08-28",9.9
"42","2020-08-31",9.87
"43","2020-09-01",9.93
"44","2020-09-02",9.87
"45","2020-09-03",9.92
"46","2020-09-04",9.88
"47","2020-09-08",9.95
"48","2020-09-09",9.91
"49","2020-09-10",9.92
"50","2020-09-11",9.9
"51","2020-09-14",9.9
"52","2020-09-15",9.9
"53","2020-09-16",9.9
"54","2020-09-17",9.99
"55","2020-09-18",10.05
"56","2020-09-21",9.95
"57","2020-09-22",9.98
"58","2020-09-23",9.92
"59","2020-09-24",9.95
"60","2020-09-25",9.95
"61","2020-09-28",9.93
"62","2020-09-29",9.9
"63","2020-09-30",9.95
"64","2020-10-01",9.95
"65","2020-10-02",10.02
"66","2020-10-05",9.99
"67","2020-10-06",9.98
"68","2020-10-07",9.945
"69","2020-10-08",9.95
"70","2020-10-09",9.87
"71","2020-10-12",9.9
"72","2020-10-13",9.98
"73","2020-10-14",10.02
"74","2020-10-15",10.05
"75","2020-10-16",10.05
"76","2020-10-19",10.05
"77","2020-10-20",10.05
"78","2020-10-21",10
"79","2020-10-22",9.95
"80","2020-10-23",9.97
"81","2020-10-26",9.98
"82","2020-10-27",9.9
"83","2020-10-28",9.95
"84","2020-10-29",9.95
"85","2020-10-30",9.95
"86","2020-11-02",9.92
"87","2020-11-03",9.88
"88","2020-11-04",9.94
"89","2020-11-05",9.95
"90","2020-11-06",9.99
"91","2020-11-09",9.99
"92","2020-11-10",9.99
"93","2020-11-11",9.91
"94","2020-11-12",9.91
"95","2020-11-13",9.91
"96","2020-11-16",9.91
"97","2020-11-17",9.94
"98","2020-11-18",9.88
"99","2020-11-19",10.75
"100","2020-11-20",10.68
"101","2020-11-23",10.83
"102","2020-11-24",10.95
"103","2020-11-25",11.05
"104","2020-11-27",12.47
