"","date","AVTR"
"1","2019-05-17",1.45
"2","2019-05-20",1.541
"3","2019-05-21",16.700001
"4","2019-05-22",17.299999
"5","2019-05-23",17.4
"6","2019-05-24",17.32
"7","2019-05-28",17.700001
"8","2019-05-29",17.450001
"9","2019-05-30",17.309999
"10","2019-05-31",17.5
"11","2019-06-03",17.58
"12","2019-06-04",17.5
"13","2019-06-05",17.35
"14","2019-06-06",17.049999
"15","2019-06-07",17.200001
"16","2019-06-10",17.299999
"17","2019-06-11",17.6
"18","2019-06-12",18.190001
"19","2019-06-13",18.620001
"20","2019-06-14",18.799999
"21","2019-06-17",18.620001
"22","2019-06-18",18.799999
"23","2019-06-19",18.799999
"24","2019-06-20",18.91
"25","2019-06-21",19.040001
"26","2019-06-24",19.049999
"27","2019-06-25",18.700001
"28","2019-06-26",18.690001
"29","2019-06-27",18.559999
"30","2019-06-28",19.09
"31","2019-07-01",18.74
"32","2019-07-02",18.75
"33","2019-07-03",18.940001
"34","2019-07-05",19.18
"35","2019-07-08",18.969999
"36","2019-07-09",18.43
"37","2019-07-10",18.34
"38","2019-07-11",18.540001
"39","2019-07-12",18.33
"40","2019-07-15",17.73
"41","2019-07-16",17.16
"42","2019-07-17",17
"43","2019-07-18",17.540001
"44","2019-07-19",18.41
"45","2019-07-22",18.450001
"46","2019-07-23",18.440001
"47","2019-07-24",18.450001
"48","2019-07-25",18.43
"49","2019-07-26",18.01
"50","2019-07-29",17.870001
"51","2019-07-30",17.709999
"52","2019-07-31",17.59
"53","2019-08-01",17.24
"54","2019-08-02",16.610001
"55","2019-08-05",16.01
"56","2019-08-06",16.98
"57","2019-08-07",16.690001
"58","2019-08-08",17.01
"59","2019-08-09",16.85
"60","2019-08-12",16.299999
"61","2019-08-13",16.33
"62","2019-08-14",15.73
"63","2019-08-15",15.97
"64","2019-08-16",16.530001
"65","2019-08-19",16.92
"66","2019-08-20",17.129999
"67","2019-08-21",17.709999
"68","2019-08-22",17.799999
"69","2019-08-23",17.32
"70","2019-08-26",17
"71","2019-08-27",17.030001
"72","2019-08-28",16.92
"73","2019-08-29",17.540001
"74","2019-08-30",17.5
"75","2019-09-03",17.26
"76","2019-09-04",17.24
"77","2019-09-05",17.18
"78","2019-09-06",17.040001
"79","2019-09-09",16.25
"80","2019-09-10",15.56
"81","2019-09-11",15.4
"82","2019-09-12",15.22
"83","2019-09-13",14.93
