"","date","WLTW"
"1","2007-01-03",106.754967
"2","2007-01-04",107.019867
"3","2007-01-05",105.907288
"4","2007-01-08",105.192055
"5","2007-01-09",104.105957
"6","2007-01-10",102.91391
"7","2007-01-11",103.390732
"8","2007-01-12",105.986755
"9","2007-01-16",106.887421
"10","2007-01-17",106.860924
"11","2007-01-18",107.046356
"12","2007-01-19",108.5298
"13","2007-01-22",108.2649
"14","2007-01-23",108.662254
"15","2007-01-24",109.456955
"16","2007-01-25",107.920532
"17","2007-01-26",107.417221
"18","2007-01-29",107.390732
"19","2007-01-30",108.291389
"20","2007-01-31",108.238411
"21","2007-02-01",109.245033
"22","2007-02-02",110.225166
"23","2007-02-05",111.099335
"24","2007-02-06",110.225166
"25","2007-02-07",109.192055
"26","2007-02-08",108.158943
"27","2007-02-09",106.887421
"28","2007-02-12",106.860924
"29","2007-02-13",107.205299
"30","2007-02-14",108.211922
"31","2007-02-15",108.609268
"32","2007-02-16",108.476822
"33","2007-02-20",108.132454
"34","2007-02-21",107.258278
"35","2007-02-22",106.543045
"36","2007-02-23",105.298012
"37","2007-02-26",104.900665
"38","2007-02-27",104.397354
"39","2007-02-28",105.059601
"40","2007-03-01",105.456955
"41","2007-03-02",104.635765
"42","2007-03-05",103.337746
"43","2007-03-06",104.185432
"44","2007-03-07",106.092712
"45","2007-03-08",106.039734
"46","2007-03-09",105.880798
"47","2007-03-12",103.947021
"48","2007-03-13",103.576157
"49","2007-03-14",104.238411
"50","2007-03-15",105.615891
"51","2007-03-16",105.271523
"52","2007-03-19",104.609268
"53","2007-03-20",105.271523
"54","2007-03-21",104.847679
"55","2007-03-22",105.748344
"56","2007-03-23",105.245033
"57","2007-03-26",104.662254
"58","2007-03-27",103.814568
"59","2007-03-28",103.44371
"60","2007-03-29",103.44371
"61","2007-03-30",104.847679
"62","2007-04-02",103.7351
"63","2007-04-03",104.5298
"64","2007-04-04",104.662254
"65","2007-04-05",105.033112
"66","2007-04-09",105.774834
"67","2007-04-10",106.092712
"68","2007-04-11",106.039734
"69","2007-04-12",105.854301
"70","2007-04-13",105.907288
"71","2007-04-16",106.622513
"72","2007-04-17",107.390732
"73","2007-04-18",107.576157
"74","2007-04-19",107.390732
"75","2007-04-20",106.145699
"76","2007-04-23",106.331123
"77","2007-04-24",106.092712
"78","2007-04-25",106.490067
"79","2007-04-26",109.139076
"80","2007-04-27",109.324501
"81","2007-04-30",108.662254
"82","2007-05-01",109.139076
"83","2007-05-02",110.622513
"84","2007-05-03",111.788078
"85","2007-05-04",113.08609
"86","2007-05-07",113.960266
"87","2007-05-08",114.384109
"88","2007-05-09",115.258278
"89","2007-05-10",115.125832
"90","2007-05-11",115.019867
"91","2007-05-14",114.198677
"92","2007-05-15",115.284767
"93","2007-05-16",116.185432
