"","date","ARQT"
"1","2020-01-31",21.799999
"2","2020-02-03",25.129999
"3","2020-02-04",25.639999
"4","2020-02-05",25.23
"5","2020-02-06",24.74
"6","2020-02-07",26.389999
"7","2020-02-10",26.5
"8","2020-02-11",26.24
"9","2020-02-12",25.75
"10","2020-02-13",26.33
"11","2020-02-14",25.51
"12","2020-02-18",25.5
"13","2020-02-19",26.59
"14","2020-02-20",26.9
"15","2020-02-21",27.049999
"16","2020-02-24",27.610001
"17","2020-02-25",26.33
"18","2020-02-26",28.540001
"19","2020-02-27",27.610001
"20","2020-02-28",26.575001
"21","2020-03-02",27.4
"22","2020-03-03",27.469999
"23","2020-03-04",27.709999
"24","2020-03-05",27.639999
"25","2020-03-06",28.25
"26","2020-03-09",28.360001
"27","2020-03-10",30.530001
"28","2020-03-11",25
"29","2020-03-12",22.32
"30","2020-03-13",22.66
"31","2020-03-16",18.98
"32","2020-03-17",19.120001
"33","2020-03-18",18.5
"34","2020-03-19",25.23
"35","2020-03-20",33.32
"36","2020-03-23",36.900002
"37","2020-03-24",36.720001
"38","2020-03-25",32.560001
"39","2020-03-26",31
"40","2020-03-27",27.35
"41","2020-03-30",29.700001
"42","2020-03-31",29.799999
"43","2020-04-01",25.82
"44","2020-04-02",25.84
"45","2020-04-03",25.35
"46","2020-04-06",28.35
"47","2020-04-07",28.5
"48","2020-04-08",27.17
"49","2020-04-09",31.950001
"50","2020-04-13",31.43
"51","2020-04-14",30.93
"52","2020-04-15",25.299999
"53","2020-04-16",26.610001
"54","2020-04-17",27.280001
"55","2020-04-20",27.4
"56","2020-04-21",28.32
"57","2020-04-22",28.719999
"58","2020-04-23",27.18
"59","2020-04-24",29.610001
"60","2020-04-27",29.780001
"61","2020-04-28",28.969999
"62","2020-04-29",29.6
"63","2020-04-30",29.719999
"64","2020-05-01",26
"65","2020-05-04",25.67
"66","2020-05-05",25.59
"67","2020-05-06",25.200001
"68","2020-05-07",24.48
"69","2020-05-08",24.5
"70","2020-05-11",26.799999
"71","2020-05-12",24.700001
"72","2020-05-13",26.809999
"73","2020-05-14",25.440001
"74","2020-05-15",25.559999
"75","2020-05-18",28.969999
"76","2020-05-19",26.49
"77","2020-05-20",29.209999
"78","2020-05-21",29.360001
"79","2020-05-22",29.58
"80","2020-05-26",29.950001
"81","2020-05-27",30.200001
"82","2020-05-28",29.98
"83","2020-05-29",33.549999
"84","2020-06-01",33.990002
"85","2020-06-02",31.34
"86","2020-06-03",33.529999
"87","2020-06-04",30.5
"88","2020-06-05",31.43
"89","2020-06-08",29.35
"90","2020-06-09",28.01
"91","2020-06-10",28.5
"92","2020-06-11",25.555
"93","2020-06-12",25.530001
"94","2020-06-15",29.459999
"95","2020-06-16",29.27
"96","2020-06-17",28.99
"97","2020-06-18",29.66
"98","2020-06-19",33.799999
"99","2020-06-22",36.560001
