"","date","INT"
"1","2007-01-03",21.934999
"2","2007-01-04",21.395
"3","2007-01-05",21.004999
"4","2007-01-08",21.045
"5","2007-01-09",21.469999
"6","2007-01-10",21.225
"7","2007-01-11",21.764999
"8","2007-01-12",22.17
"9","2007-01-16",22.245001
"10","2007-01-17",22.280001
"11","2007-01-18",22.129999
"12","2007-01-19",22.5
"13","2007-01-22",22.25
"14","2007-01-23",22.389999
"15","2007-01-24",22.450001
"16","2007-01-25",21.844999
"17","2007-01-26",22
"18","2007-01-29",22.084999
"19","2007-01-30",22.275
"20","2007-01-31",22.924999
"21","2007-02-01",23.094999
"22","2007-02-02",23.254999
"23","2007-02-05",23.280001
"24","2007-02-06",23.174999
"25","2007-02-07",23.129999
"26","2007-02-08",23.495001
"27","2007-02-09",23.110001
"28","2007-02-12",22.715
"29","2007-02-13",22.725
"30","2007-02-14",23.02
"31","2007-02-15",23.139999
"32","2007-02-16",23.035
"33","2007-02-20",23.545
"34","2007-02-21",23.91
"35","2007-02-22",23.799999
"36","2007-02-23",23.92
"37","2007-02-26",23.459999
"38","2007-02-27",22.535
"39","2007-02-28",22.51
"40","2007-03-01",22.66
"41","2007-03-02",20.290001
"42","2007-03-05",21.16
"43","2007-03-06",21.5
"44","2007-03-07",21.379999
"45","2007-03-08",21.705
"46","2007-03-09",21.615
"47","2007-03-12",21.655001
"48","2007-03-13",21.045
"49","2007-03-14",21.25
"50","2007-03-15",21.4
"51","2007-03-16",21.620001
"52","2007-03-19",21.985001
"53","2007-03-20",21.915001
"54","2007-03-21",22.49
"55","2007-03-22",22.43
"56","2007-03-23",22.389999
"57","2007-03-26",22.344999
"58","2007-03-27",22.184999
"59","2007-03-28",22.815001
"60","2007-03-29",23.084999
"61","2007-03-30",23.129999
"62","2007-04-02",23.27
"63","2007-04-03",22.93
"64","2007-04-04",22.950001
"65","2007-04-05",22.9
"66","2007-04-09",22.780001
"67","2007-04-10",22.695
"68","2007-04-11",22.535
"69","2007-04-12",22.875
"70","2007-04-13",22.705
"71","2007-04-16",23.135
"72","2007-04-17",22.860001
"73","2007-04-18",22.610001
"74","2007-04-19",22.305
"75","2007-04-20",22.455
"76","2007-04-23",22.42
"77","2007-04-24",22.264999
"78","2007-04-25",22.57
"79","2007-04-26",22.985001
"80","2007-04-27",22.92
"81","2007-04-30",23.105
"82","2007-05-01",23.66
"83","2007-05-02",24.094999
"84","2007-05-03",24.115
"85","2007-05-04",23.575001
"86","2007-05-07",23.545
"87","2007-05-08",23.309999
"88","2007-05-09",23.459999
"89","2007-05-10",23.290001
"90","2007-05-11",19.924999
"91","2007-05-14",20.049999
"92","2007-05-15",19.280001
"93","2007-05-16",19.565001
"94","2007-05-17",19.35
"95","2007-05-18",20.014999
"96","2007-05-21",20.290001
"97","2007-05-22",20.6
"98","2007-05-23",20.305
"99","2007-05-24",20.165001
"100","2007-05-25",20.32
"101","2007-05-29",20.445
"102","2007-05-30",20.35
"103","2007-05-31",20.455
"104","2007-06-01",20.834999
"105","2007-06-04",21.23
"106","2007-06-05",21.084999
"107","2007-06-06",20.309999
