"","date","NCNA"
"1","2017-09-28",16.15
"2","2017-09-29",18.370001
"3","2017-10-02",18.049999
"4","2017-10-03",18.610001
"5","2017-10-04",18.719999
"6","2017-10-05",17.9
"7","2017-10-06",17
"8","2017-10-09",16.530001
"9","2017-10-10",16.25
"10","2017-10-11",15.49
"11","2017-10-12",14.45
"12","2017-10-13",14.38
"13","2017-10-16",14.21
"14","2017-10-17",14.05
"15","2017-10-18",14.41
"16","2017-10-19",14.38
"17","2017-10-20",14.08
"18","2017-10-23",13.91
"19","2017-10-24",13.8
"20","2017-10-25",12.88
"21","2017-10-26",12.5
"22","2017-10-27",12.5
"23","2017-10-30",12.5
"24","2017-10-31",11.36
"25","2017-11-01",11.89
"26","2017-11-02",10.45
"27","2017-11-03",10.25
"28","2017-11-06",10.28
"29","2017-11-07",11
"30","2017-11-08",11.15
"31","2017-11-09",11.04
"32","2017-11-10",11
"33","2017-11-13",11.02
"34","2017-11-14",11.31
"35","2017-11-15",11.37
"36","2017-11-16",11.03
"37","2017-11-17",11.31
"38","2017-11-20",11
"39","2017-11-21",11.37
"40","2017-11-22",12.17
"41","2017-11-24",13.01
"42","2017-11-27",12.17
"43","2017-11-28",12.07
"44","2017-11-29",11.56
"45","2017-11-30",12.3
"46","2017-12-01",11.86
"47","2017-12-04",12.4
"48","2017-12-05",12.14
"49","2017-12-06",11.82
"50","2017-12-07",11.6
"51","2017-12-08",11.5
"52","2017-12-11",11.27
"53","2017-12-12",11.13
"54","2017-12-13",11.28
"55","2017-12-14",10.68
"56","2017-12-15",11
"57","2017-12-18",10.76
"58","2017-12-19",10.75
"59","2017-12-20",10.65
"60","2017-12-21",10.75
"61","2017-12-22",10.58
"62","2017-12-26",10.37
"63","2017-12-27",10.41
"64","2017-12-28",10
"65","2017-12-29",10.11
"66","2018-01-02",10.05
"67","2018-01-03",10.04
"68","2018-01-04",10.17
"69","2018-01-05",11.01
"70","2018-01-08",12.29
"71","2018-01-09",12.72
"72","2018-01-10",13.23
"73","2018-01-11",13.72
"74","2018-01-12",14.3
"75","2018-01-16",13.32
"76","2018-01-17",13.21
"77","2018-01-18",14.49
"78","2018-01-19",20.51
"79","2018-01-22",21.799999
"80","2018-01-23",22.860001
"81","2018-01-24",24.219999
"82","2018-01-25",27.780001
"83","2018-01-26",28.25
"84","2018-01-29",26.65
"85","2018-01-30",24.77
"86","2018-01-31",24.51
"87","2018-02-01",24.25
"88","2018-02-02",23.129999
"89","2018-02-05",22.940001
"90","2018-02-06",22.950001
"91","2018-02-07",22.02
"92","2018-02-08",21.17
"93","2018-02-09",20.559999
"94","2018-02-12",18.950001
"95","2018-02-13",20.01
"96","2018-02-14",20.68
"97","2018-02-15",19.860001
"98","2018-02-16",19.870001
"99","2018-02-20",19.98
"100","2018-02-21",20.27
"101","2018-02-22",20.18
"102","2018-02-23",20.780001
"103","2018-02-26",20.15
"104","2018-02-27",19.75
"105","2018-02-28",19.43
"106","2018-03-01",18.35
"107","2018-03-02",18.74
"108","2018-03-05",19.5
"109","2018-03-06",18.549999
"110","2018-03-07",18.27
"111","2018-03-08",17.91
"112","2018-03-09",19.49
"113","2018-03-12",20
"114","2018-03-13",19.5
"115","2018-03-14",18.09
"116","2018-03-15",18.98
"117","2018-03-16",18.74
"118","2018-03-19",18.200001
"119","2018-03-20",19.24
"120","2018-03-21",19
"121","2018-03-22",17.43
"122","2018-03-23",17.690001
"123","2018-03-26",17.5
"124","2018-03-27",18.68
