"","date","MRNA"
"1","2018-12-07",18.6
"2","2018-12-10",18.799999
"3","2018-12-11",18.01
"4","2018-12-12",18.68
"5","2018-12-13",18.76
"6","2018-12-14",18.32
"7","2018-12-17",17
"8","2018-12-18",17
"9","2018-12-19",16.18
"10","2018-12-20",15.5
"11","2018-12-21",14.47
"12","2018-12-24",14.03
"13","2018-12-26",13.52
"14","2018-12-27",14.65
"15","2018-12-28",14.15
"16","2018-12-31",15.27
"17","2019-01-02",15.33
"18","2019-01-03",15.5
"19","2019-01-04",16.959999
"20","2019-01-07",16.27
"21","2019-01-08",16.950001
"22","2019-01-09",16.33
"23","2019-01-10",16.48
"24","2019-01-11",17
"25","2019-01-14",16.74
"26","2019-01-15",16.59
"27","2019-01-16",16.26
"28","2019-01-17",16.309999
"29","2019-01-18",16.690001
"30","2019-01-22",15.56
"31","2019-01-23",14.79
"32","2019-01-24",14.64
"33","2019-01-25",14.91
"34","2019-01-28",14.45
"35","2019-01-29",14.63
"36","2019-01-30",15.13
"37","2019-01-31",16.6
"38","2019-02-01",16.219999
"39","2019-02-04",16.27
"40","2019-02-05",17.18
"41","2019-02-06",18.139999
"42","2019-02-07",17.049999
"43","2019-02-08",17.99
"44","2019-02-11",18.17
"45","2019-02-12",18.690001
"46","2019-02-13",18.530001
"47","2019-02-14",19.66
"48","2019-02-15",21.440001
"49","2019-02-19",20.83
"50","2019-02-20",19.92
"51","2019-02-21",19.34
"52","2019-02-22",19.879999
"53","2019-02-25",21.65
"54","2019-02-26",23.700001
"55","2019-02-27",22.1
"56","2019-02-28",22.6
"57","2019-03-01",22.27
"58","2019-03-04",21.120001
"59","2019-03-05",21.370001
"60","2019-03-06",20.65
"61","2019-03-07",20.59
"62","2019-03-08",20.93
"63","2019-03-11",20.43
"64","2019-03-12",19.26
"65","2019-03-13",19.969999
"66","2019-03-14",20.82
"67","2019-03-15",21.82
"68","2019-03-18",22.18
"69","2019-03-19",20.35
"70","2019-03-20",20
"71","2019-03-21",19.34
"72","2019-03-22",19
"73","2019-03-25",19.4
"74","2019-03-26",19.9
"75","2019-03-27",19.27
"76","2019-03-28",19.66
"77","2019-03-29",20.35
"78","2019-04-01",20.59
"79","2019-04-02",19.700001
"80","2019-04-03",21.33
"81","2019-04-04",23.08
"82","2019-04-05",25.959999
"83","2019-04-08",27.23
"84","2019-04-09",26.82
"85","2019-04-10",26.799999
"86","2019-04-11",25.73
"87","2019-04-12",24.610001
"88","2019-04-15",25.84
"89","2019-04-16",23.780001
"90","2019-04-17",23.5
"91","2019-04-18",22.51
"92","2019-04-22",23.629999
"93","2019-04-23",24.700001
"94","2019-04-24",25.76
"95","2019-04-25",25.74
"96","2019-04-26",26.26
"97","2019-04-29",25.139999
"98","2019-04-30",26.030001
"99","2019-05-01",26.4
"100","2019-05-02",28.34
"101","2019-05-03",27.200001
"102","2019-05-06",27.1
"103","2019-05-07",24.549999
"104","2019-05-08",23.540001
"105","2019-05-09",23.26
"106","2019-05-10",24.92
"107","2019-05-13",24.43
"108","2019-05-14",23.59
"109","2019-05-15",23.120001
"110","2019-05-16",23.459999
"111","2019-05-17",23.08
"112","2019-05-20",22.6
"113","2019-05-21",22.700001
"114","2019-05-22",22
"115","2019-05-23",21.379999
"116","2019-05-24",21.83
"117","2019-05-28",21.540001
"118","2019-05-29",21.700001
"119","2019-05-30",21.49
"120","2019-05-31",20.780001
"121","2019-06-03",19.85
"122","2019-06-04",19.469999
"123","2019-06-05",17.700001
"124","2019-06-06",17.940001
"125","2019-06-07",17.52
"126","2019-06-10",15.67
"127","2019-06-11",16
"128","2019-06-12",16.299999
"129","2019-06-13",16.16
"130","2019-06-14",15.4
"131","2019-06-17",15.77
"132","2019-06-18",15.74
"133","2019-06-19",15.5
"134","2019-06-20",15.18
"135","2019-06-21",14.7
"136","2019-06-24",14.04
"137","2019-06-25",13.77
"138","2019-06-26",13.7
"139","2019-06-27",14.34
"140","2019-06-28",14.64
"141","2019-07-01",14.73
"142","2019-07-02",14.4
"143","2019-07-03",15.31
"144","2019-07-05",14.96
"145","2019-07-08",14.29
"146","2019-07-09",14.85
"147","2019-07-10",14.48
"148","2019-07-11",14.44
"149","2019-07-12",14.2
"150","2019-07-15",14.32
"151","2019-07-16",14.14
"152","2019-07-17",14.03
"153","2019-07-18",14.26
"154","2019-07-19",14.11
"155","2019-07-22",14.05
"156","2019-07-23",13.6
"157","2019-07-24",14.47
"158","2019-07-25",13.51
"159","2019-07-26",14.12
"160","2019-07-29",13.69
"161","2019-07-30",13.4
"162","2019-07-31",13.1
"163","2019-08-01",13.01
"164","2019-08-02",12.73
"165","2019-08-05",12.26
"166","2019-08-06",12.29
"167","2019-08-07",12.85
"168","2019-08-08",13.19
"169","2019-08-09",13.33
"170","2019-08-12",13.02
"171","2019-08-13",13.3
"172","2019-08-14",12.74
"173","2019-08-15",12.67
"174","2019-08-16",13.16
"175","2019-08-19",13.4
"176","2019-08-20",14.15
"177","2019-08-21",14.29
"178","2019-08-22",14.16
"179","2019-08-23",13.88
"180","2019-08-26",14.97
"181","2019-08-27",14.51
"182","2019-08-28",14.82
"183","2019-08-29",15.18
"184","2019-08-30",15.73
"185","2019-09-03",14.88
"186","2019-09-04",15.42
"187","2019-09-05",15.53
"188","2019-09-06",15.88
"189","2019-09-09",16.030001
"190","2019-09-10",17.09
"191","2019-09-11",15.92
"192","2019-09-12",16.4
"193","2019-09-13",16.709999
"194","2019-09-16",17.049999
"195","2019-09-17",17.66
"196","2019-09-18",17.780001
"197","2019-09-19",17.9
