"","date","VTVT"
"1","2015-07-30",10.89
"2","2015-07-31",10
"3","2015-08-03",10
"4","2015-08-04",10.04
"5","2015-08-05",10
"6","2015-08-06",9.5
"7","2015-08-07",8.91
"8","2015-08-10",8.43
"9","2015-08-11",7.88
"10","2015-08-12",7.7
"11","2015-08-13",8
"12","2015-08-14",8.03
"13","2015-08-17",8.97
"14","2015-08-18",10.02
"15","2015-08-19",10.08
"16","2015-08-20",9.925
"17","2015-08-21",8.85
"18","2015-08-24",8.84
"19","2015-08-25",8.39
"20","2015-08-26",8.97
"21","2015-08-27",8.91
"22","2015-08-28",9.42
"23","2015-08-31",8.72
"24","2015-09-01",8.97
"25","2015-09-02",8.97
"26","2015-09-03",9.5
"27","2015-09-04",9.32
"28","2015-09-08",9.64
"29","2015-09-09",9.22
"30","2015-09-10",8.96
"31","2015-09-11",9.21
"32","2015-09-14",9.08
"33","2015-09-15",9.025
"34","2015-09-16",9.28
"35","2015-09-17",9.33
"36","2015-09-18",7.56
"37","2015-09-21",7.23
"38","2015-09-22",7.28
"39","2015-09-23",7.15
"40","2015-09-24",6.78
"41","2015-09-25",6.44
"42","2015-09-28",6.48
"43","2015-09-29",6.86
"44","2015-09-30",6.52
"45","2015-10-01",6.27
"46","2015-10-02",6.75
"47","2015-10-05",7.06
"48","2015-10-06",6.69
"49","2015-10-07",7.93
"50","2015-10-08",7.5
"51","2015-10-09",7.07
"52","2015-10-12",6.99
"53","2015-10-13",6.75
"54","2015-10-14",6.87
"55","2015-10-15",7.47
"56","2015-10-16",8.12
"57","2015-10-19",8.03
"58","2015-10-20",7.92
"59","2015-10-21",7.84
"60","2015-10-22",7.42
"61","2015-10-23",7.65
"62","2015-10-26",7.53
"63","2015-10-27",7.16
"64","2015-10-28",7.49
"65","2015-10-29",7.21
"66","2015-10-30",7.34
"67","2015-11-02",7.33
"68","2015-11-03",7.18
"69","2015-11-04",7.43
"70","2015-11-05",7.51
"71","2015-11-06",7.09
"72","2015-11-09",7.43
"73","2015-11-10",7.29
"74","2015-11-11",7.1
"75","2015-11-12",6.93
"76","2015-11-13",6.68
"77","2015-11-16",6.69
"78","2015-11-17",6.18
"79","2015-11-18",6.76
"80","2015-11-19",6.44
"81","2015-11-20",6.54
"82","2015-11-23",6.58
"83","2015-11-24",6.38
"84","2015-11-25",6.87
"85","2015-11-27",6.59
"86","2015-11-30",6.79
"87","2015-12-01",6.96
"88","2015-12-02",7.3
"89","2015-12-03",7.13
"90","2015-12-04",6.86
"91","2015-12-07",6.94
"92","2015-12-08",6.84
"93","2015-12-09",6.83
"94","2015-12-10",6.66
"95","2015-12-11",6.73
"96","2015-12-14",6.47
"97","2015-12-15",6.18
"98","2015-12-16",6.47
"99","2015-12-17",6.39
"100","2015-12-18",6.51
"101","2015-12-21",6.61
"102","2015-12-22",7.19
"103","2015-12-23",7.53
"104","2015-12-24",7.27
"105","2015-12-28",6.81
"106","2015-12-29",6.83
"107","2015-12-30",6.85
"108","2015-12-31",6.81
"109","2016-01-04",6.76
"110","2016-01-05",6.8
"111","2016-01-06",7.14
"112","2016-01-07",6.77
"113","2016-01-08",6.71
"114","2016-01-11",6.46
"115","2016-01-12",6.4
"116","2016-01-13",6.43
"117","2016-01-14",6.38
"118","2016-01-15",6.65
"119","2016-01-19",6.66
"120","2016-01-20",6.78
"121","2016-01-21",6.91
"122","2016-01-22",7.31
"123","2016-01-25",7.12
"124","2016-01-26",7.07
"125","2016-01-27",7.13
"126","2016-01-28",7.13
"127","2016-01-29",7.25
"128","2016-02-01",7.26
"129","2016-02-02",6.89
"130","2016-02-03",6.07
"131","2016-02-04",6.35
"132","2016-02-05",6.29
"133","2016-02-08",6.11
"134","2016-02-09",5.84
"135","2016-02-10",5.9
"136","2016-02-11",5.74
"137","2016-02-12",6.1
"138","2016-02-16",6.28
"139","2016-02-17",6.44
"140","2016-02-18",6.06
"141","2016-02-19",6.81
"142","2016-02-22",6.51
"143","2016-02-23",6.09
"144","2016-02-24",6.05
"145","2016-02-25",6.06
"146","2016-02-26",6.08
"147","2016-02-29",5.71
"148","2016-03-01",5.8
"149","2016-03-02",5.51
"150","2016-03-03",5.8
"151","2016-03-04",5.73
"152","2016-03-07",5.84
"153","2016-03-08",5.92
"154","2016-03-09",6
"155","2016-03-10",5.94
"156","2016-03-11",6.13
"157","2016-03-14",6.03
"158","2016-03-15",5.86
"159","2016-03-16",5.76
"160","2016-03-17",5.93
"161","2016-03-18",5.86
"162","2016-03-21",5.63
"163","2016-03-22",5.69
"164","2016-03-23",5.42
"165","2016-03-24",5.48
"166","2016-03-28",5.2
"167","2016-03-29",5.24
"168","2016-03-30",5.25
"169","2016-03-31",5.16
"170","2016-04-01",5.2
"171","2016-04-04",5.07
"172","2016-04-05",5.01
"173","2016-04-06",5.14
"174","2016-04-07",5.03
"175","2016-04-08",4.94
"176","2016-04-11",5.2
"177","2016-04-12",5.1
"178","2016-04-13",5.08
"179","2016-04-14",5.66
"180","2016-04-15",6.12
"181","2016-04-18",6.08
"182","2016-04-19",6.07
"183","2016-04-20",6.33
"184","2016-04-21",6.16
"185","2016-04-22",6.33
"186","2016-04-25",6.41
"187","2016-04-26",6.39
"188","2016-04-27",6.44
"189","2016-04-28",6.39
"190","2016-04-29",6.3
"191","2016-05-02",6.11
"192","2016-05-03",5.88
"193","2016-05-04",5.72
"194","2016-05-05",5.94
"195","2016-05-06",5.75
"196","2016-05-09",5.95
"197","2016-05-10",6.07
"198","2016-05-11",5.66
"199","2016-05-12",5.35
"200","2016-05-13",5.25
"201","2016-05-16",5.37
"202","2016-05-17",5.16
"203","2016-05-18",5.15
"204","2016-05-19",4.98
"205","2016-05-20",5.27
"206","2016-05-23",5.42
"207","2016-05-24",5.67
"208","2016-05-25",5.77
"209","2016-05-26",5.74
"210","2016-05-27",5.66
"211","2016-05-31",5.96
"212","2016-06-01",5.95
"213","2016-06-02",6.16
"214","2016-06-03",5.96
"215","2016-06-06",5.96
"216","2016-06-07",5.95
"217","2016-06-08",6.06
"218","2016-06-09",5.8
"219","2016-06-10",5.7
"220","2016-06-13",5.98
"221","2016-06-14",5.76
"222","2016-06-15",5.82
"223","2016-06-16",5.76
"224","2016-06-17",5.78
"225","2016-06-20",5.79
"226","2016-06-21",5.88
"227","2016-06-22",5.95
"228","2016-06-23",6.15
"229","2016-06-24",5.94
"230","2016-06-27",5.73
"231","2016-06-28",5.9
"232","2016-06-29",5.99
"233","2016-06-30",5.8
"234","2016-07-01",6.03
"235","2016-07-05",5.99
"236","2016-07-06",5.95
"237","2016-07-07",5.89
"238","2016-07-08",5.98
"239","2016-07-11",5.99
"240","2016-07-12",5.98
"241","2016-07-13",5.85
"242","2016-07-14",5.44
"243","2016-07-15",5.5
"244","2016-07-18",5.76
"245","2016-07-19",5.54
"246","2016-07-20",5.68
"247","2016-07-21",5.55
"248","2016-07-22",5.58
"249","2016-07-25",5.48
"250","2016-07-26",5.65
"251","2016-07-27",5.7
"252","2016-07-28",5.66
"253","2016-07-29",5.66
"254","2016-08-01",5.7
"255","2016-08-02",5.61
"256","2016-08-03",5.66
"257","2016-08-04",5.62
"258","2016-08-05",5.62
"259","2016-08-08",5.4
"260","2016-08-09",5.5
"261","2016-08-10",5.85
"262","2016-08-11",5.98
"263","2016-08-12",5.99
"264","2016-08-15",5.96
"265","2016-08-16",5.87
"266","2016-08-17",5.88
"267","2016-08-18",5.91
"268","2016-08-19",5.8
