"","date","PFIN"
"1","2007-01-03",11.5
"2","2007-01-04",11.8
"3","2007-01-05",11.8
"4","2007-01-08",11.8
"5","2007-01-09",11.8
"6","2007-01-10",11.77
"7","2007-01-11",11.79
"8","2007-01-12",11.74
"9","2007-01-16",12.27
"10","2007-01-17",12.98
"11","2007-01-18",12.64
"12","2007-01-19",12.48
"13","2007-01-22",13.04
"14","2007-01-23",13.04
"15","2007-01-24",12.76
"16","2007-01-25",12.76
"17","2007-01-26",12.7
"18","2007-01-29",12.66
"19","2007-01-30",12.04
"20","2007-01-31",12.52
"21","2007-02-01",12.27
"22","2007-02-02",11.89
"23","2007-02-05",12.34
"24","2007-02-06",12.1
"25","2007-02-07",12.1
"26","2007-02-08",12.1
"27","2007-02-09",12.15
"28","2007-02-12",12.1
"29","2007-02-13",12.11
"30","2007-02-14",12.1
"31","2007-02-15",12.1
"32","2007-02-16",12.43
"33","2007-02-20",12.37
"34","2007-02-21",12.37
"35","2007-02-22",12.7
"36","2007-02-23",12.97
"37","2007-02-26",12.92
"38","2007-02-27",12.6
"39","2007-02-28",12.35
"40","2007-03-01",12.35
"41","2007-03-02",12.47
"42","2007-03-05",12.2
"43","2007-03-06",12.2
"44","2007-03-07",12.4
"45","2007-03-08",12.65
"46","2007-03-09",12.56
"47","2007-03-12",12.18
"48","2007-03-13",12.36
"49","2007-03-14",12.18
"50","2007-03-15",12.8
"51","2007-03-16",12.95
"52","2007-03-19",13.29
"53","2007-03-20",13.4
"54","2007-03-21",13.75
"55","2007-03-22",13.56
"56","2007-03-23",13.73
"57","2007-03-26",13.85
"58","2007-03-27",13.7
"59","2007-03-28",13.94
"60","2007-03-29",12.2
"61","2007-03-30",12.52
"62","2007-04-02",11.99
"63","2007-04-03",11.58
"64","2007-04-04",11.21
"65","2007-04-05",10.95
"66","2007-04-09",11.35
"67","2007-04-10",12.05
"68","2007-04-11",12.19
"69","2007-04-12",12.76
"70","2007-04-13",13.1
"71","2007-04-16",13.25
"72","2007-04-17",13.49
"73","2007-04-18",13.65
"74","2007-04-19",13.69
"75","2007-04-20",13.72
"76","2007-04-23",13.98
"77","2007-04-24",13.99
"78","2007-04-25",13.95
"79","2007-04-26",13.99
"80","2007-04-27",13.79
"81","2007-04-30",13.8
"82","2007-05-01",13.8
"83","2007-05-02",13.54
