"","date","RGEN"
"1","2007-01-03",2.8
"2","2007-01-04",2.8
"3","2007-01-05",2.8
"4","2007-01-08",2.83
"5","2007-01-09",2.85
"6","2007-01-10",2.88
"7","2007-01-11",3.07
"8","2007-01-12",2.95
"9","2007-01-16",2.95
"10","2007-01-17",2.97
"11","2007-01-18",2.94
"12","2007-01-19",2.98
"13","2007-01-22",3
"14","2007-01-23",3.04
"15","2007-01-24",3.19
"16","2007-01-25",3.16
"17","2007-01-26",3.24
"18","2007-01-29",3.2
"19","2007-01-30",3.16
"20","2007-01-31",3.15
"21","2007-02-01",3.22
"22","2007-02-02",3.18
"23","2007-02-05",3.2
"24","2007-02-06",3.17
"25","2007-02-07",3.2
"26","2007-02-08",3.19
"27","2007-02-09",3.23
"28","2007-02-12",3.3
"29","2007-02-13",3.18
"30","2007-02-14",3.17
"31","2007-02-15",3.25
"32","2007-02-16",3.17
"33","2007-02-20",3.16
"34","2007-02-21",3.17
"35","2007-02-22",3.16
"36","2007-02-23",3.19
"37","2007-02-26",3.15
"38","2007-02-27",3.11
"39","2007-02-28",3.1
"40","2007-03-01",3.11
"41","2007-03-02",3.07
"42","2007-03-05",3.06
"43","2007-03-06",3.08
"44","2007-03-07",3.21
"45","2007-03-08",3.15
"46","2007-03-09",3.15
"47","2007-03-12",3.05
"48","2007-03-13",3.14
"49","2007-03-14",3.06
"50","2007-03-15",3.08
"51","2007-03-16",3.09
"52","2007-03-19",3.07
"53","2007-03-20",3.07
"54","2007-03-21",3.1
"55","2007-03-22",3.05
"56","2007-03-23",3.11
"57","2007-03-26",3.22
"58","2007-03-27",3.21
"59","2007-03-28",3.2
"60","2007-03-29",3.19
"61","2007-03-30",3.16
"62","2007-04-02",3.14
"63","2007-04-03",3.16
"64","2007-04-04",3.15
"65","2007-04-05",3.43
"66","2007-04-09",3.75
"67","2007-04-10",3.62
"68","2007-04-11",3.55
"69","2007-04-12",3.61
"70","2007-04-13",3.53
"71","2007-04-16",3.42
"72","2007-04-17",3.43
"73","2007-04-18",3.53
"74","2007-04-19",3.62
"75","2007-04-20",3.56
"76","2007-04-23",3.55
"77","2007-04-24",3.58
"78","2007-04-25",3.57
"79","2007-04-26",3.61
"80","2007-04-27",3.57
"81","2007-04-30",3.51
"82","2007-05-01",3.55
"83","2007-05-02",3.49
"84","2007-05-03",3.5
"85","2007-05-04",3.51
"86","2007-05-07",3.5
"87","2007-05-08",3.5
"88","2007-05-09",3.5
"89","2007-05-10",3.48
"90","2007-05-11",3.57
"91","2007-05-14",3.57
"92","2007-05-15",3.5
"93","2007-05-16",3.5
"94","2007-05-17",3.5
"95","2007-05-18",3.5
"96","2007-05-21",3.49
"97","2007-05-22",3.51
"98","2007-05-23",3.56
"99","2007-05-24",3.63
"100","2007-05-25",3.6
"101","2007-05-29",3.76
"102","2007-05-30",3.84
"103","2007-05-31",3.87
"104","2007-06-01",3.71
"105","2007-06-04",3.66
"106","2007-06-05",3.58
"107","2007-06-06",3.52
"108","2007-06-07",3.49
"109","2007-06-08",3.48
"110","2007-06-11",3.55
"111","2007-06-12",3.85
"112","2007-06-13",3.94
"113","2007-06-14",3.89
"114","2007-06-15",3.9
"115","2007-06-18",3.86
"116","2007-06-19",3.85
"117","2007-06-20",3.74
"118","2007-06-21",3.73
"119","2007-06-22",3.9
"120","2007-06-25",3.88
"121","2007-06-26",3.83
"122","2007-06-27",3.81
"123","2007-06-28",3.75
"124","2007-06-29",3.9
"125","2007-07-02",3.81
"126","2007-07-03",3.82
"127","2007-07-05",3.83
"128","2007-07-06",3.93
"129","2007-07-09",3.88
"130","2007-07-10",3.97
"131","2007-07-11",3.93
"132","2007-07-12",3.95
"133","2007-07-13",3.99
"134","2007-07-16",4.03
"135","2007-07-17",4.1
"136","2007-07-18",4.15
"137","2007-07-19",4.16
"138","2007-07-20",4.15
"139","2007-07-23",4.14
"140","2007-07-24",4.15
"141","2007-07-25",4.09
"142","2007-07-26",3.92
"143","2007-07-27",3.86
"144","2007-07-30",3.8
"145","2007-07-31",3.85
"146","2007-08-01",3.92
"147","2007-08-02",4.07
"148","2007-08-03",3.95
"149","2007-08-06",3.92
"150","2007-08-07",3.89
"151","2007-08-08",3.82
"152","2007-08-09",3.75
"153","2007-08-10",3.74
"154","2007-08-13",4.2
"155","2007-08-14",4.15
"156","2007-08-15",4.13
"157","2007-08-16",4
"158","2007-08-17",4.05
"159","2007-08-20",3.96
"160","2007-08-21",4.06
"161","2007-08-22",4.15
"162","2007-08-23",4.45
"163","2007-08-24",4.38
"164","2007-08-27",4.3
"165","2007-08-28",4.21
"166","2007-08-29",4.23
"167","2007-08-30",4.21
"168","2007-08-31",4.32
"169","2007-09-04",4.54
"170","2007-09-05",4.62
"171","2007-09-06",4.8
"172","2007-09-07",5.01
"173","2007-09-10",4.12
"174","2007-09-11",4.2
"175","2007-09-12",4.29
"176","2007-09-13",4.39
"177","2007-09-14",4.29
"178","2007-09-17",4.29
"179","2007-09-18",4.2
"180","2007-09-19",4.2
"181","2007-09-20",4.12
"182","2007-09-21",4.13
"183","2007-09-24",4.14
"184","2007-09-25",4.24
"185","2007-09-26",4.37
"186","2007-09-27",4.34
"187","2007-09-28",4.33
"188","2007-10-01",4.4
"189","2007-10-02",4.4
"190","2007-10-03",4.37
"191","2007-10-04",4.37
"192","2007-10-05",4.32
"193","2007-10-08",4.37
"194","2007-10-09",4.29
"195","2007-10-10",4.31
"196","2007-10-11",4.28
"197","2007-10-12",4.21
"198","2007-10-15",4.17
"199","2007-10-16",4.17
"200","2007-10-17",4.24
"201","2007-10-18",4.23
"202","2007-10-19",4.25
"203","2007-10-22",4.27
"204","2007-10-23",4.27
"205","2007-10-24",4.26
"206","2007-10-25",4.24
"207","2007-10-26",4.27
"208","2007-10-29",4.26
"209","2007-10-30",4.12
"210","2007-10-31",4.25
"211","2007-11-01",4.25
"212","2007-11-02",4.21
"213","2007-11-05",4.23
"214","2007-11-06",4.25
"215","2007-11-07",4.21
"216","2007-11-08",4.35
"217","2007-11-09",4.32
"218","2007-11-12",4.44
"219","2007-11-13",4.44
"220","2007-11-14",4.39
"221","2007-11-15",4.33
"222","2007-11-16",4.35
"223","2007-11-19",4.34
"224","2007-11-20",4.4
"225","2007-11-21",4.41
"226","2007-11-23",4.49
"227","2007-11-26",4.41
"228","2007-11-27",4.67
"229","2007-11-28",4.56
"230","2007-11-29",4.68
"231","2007-11-30",4.78
"232","2007-12-03",5.03
"233","2007-12-04",5.21
