"","date","NXST"
"1","2007-01-03",4.76
"2","2007-01-04",4.75
"3","2007-01-05",5
"4","2007-01-08",5.14
"5","2007-01-09",5.15
"6","2007-01-10",5.03
"7","2007-01-11",5.13
"8","2007-01-12",5.27
"9","2007-01-16",5.74
"10","2007-01-17",5.6
"11","2007-01-18",5.6
"12","2007-01-19",5.6
"13","2007-01-22",5.76
"14","2007-01-23",5.81
"15","2007-01-24",5.8
"16","2007-01-25",5.75
"17","2007-01-26",5.91
"18","2007-01-29",6.07
"19","2007-01-30",6.08
"20","2007-01-31",6.18
"21","2007-02-01",6.39
"22","2007-02-02",6.5
"23","2007-02-05",6.78
"24","2007-02-06",6.79
"25","2007-02-07",6.74
"26","2007-02-08",6.75
"27","2007-02-09",6.73
"28","2007-02-12",7.04
"29","2007-02-13",7.2
"30","2007-02-14",7.34
"31","2007-02-15",7.49
"32","2007-02-16",7.5
"33","2007-02-20",7.73
"34","2007-02-21",7.75
"35","2007-02-22",7.65
"36","2007-02-23",7.57
"37","2007-02-26",7.5
"38","2007-02-27",7.31
"39","2007-02-28",7.64
"40","2007-03-01",7.52
"41","2007-03-02",7.5
"42","2007-03-05",7.38
"43","2007-03-06",7.48
"44","2007-03-07",7.63
"45","2007-03-08",7.65
"46","2007-03-09",7.89
"47","2007-03-12",8.31
"48","2007-03-13",8.35
"49","2007-03-14",8.42
"50","2007-03-15",8.32
"51","2007-03-16",8.4
"52","2007-03-19",8.53
"53","2007-03-20",8.59
"54","2007-03-21",8.58
"55","2007-03-22",8.49
"56","2007-03-23",8.55
"57","2007-03-26",8.54
"58","2007-03-27",8.66
"59","2007-03-28",9.19
"60","2007-03-29",9.35
"61","2007-03-30",9.61
"62","2007-04-02",9.59
"63","2007-04-03",9.87
"64","2007-04-04",9.7
"65","2007-04-05",9.42
"66","2007-04-09",9.59
"67","2007-04-10",9.86
"68","2007-04-11",9.85
"69","2007-04-12",10.25
"70","2007-04-13",10.54
"71","2007-04-16",10.65
"72","2007-04-17",10.58
"73","2007-04-18",10.79
"74","2007-04-19",11.05
"75","2007-04-20",11.78
"76","2007-04-23",10.87
"77","2007-04-24",11.69
"78","2007-04-25",12.17
"79","2007-04-26",12.57
"80","2007-04-27",11.94
"81","2007-04-30",11.95
"82","2007-05-01",11.35
"83","2007-05-02",11.66
"84","2007-05-03",11.73
"85","2007-05-04",11.79
"86","2007-05-07",11.61
"87","2007-05-08",11.95
"88","2007-05-09",11.85
"89","2007-05-10",11.5
"90","2007-05-11",11.31
"91","2007-05-14",10.48
"92","2007-05-15",10.79
"93","2007-05-16",10.89
"94","2007-05-17",13.33
"95","2007-05-18",13.63
"96","2007-05-21",14.3
"97","2007-05-22",14.78
"98","2007-05-23",14.98
"99","2007-05-24",14.49
"100","2007-05-25",14.62
"101","2007-05-29",14.57
"102","2007-05-30",14.32
"103","2007-05-31",14.04
"104","2007-06-01",14.32
"105","2007-06-04",14.48
"106","2007-06-05",14.17
"107","2007-06-06",14.02
"108","2007-06-07",13.88
"109","2007-06-08",13.74
"110","2007-06-11",13.4
"111","2007-06-12",12.84
"112","2007-06-13",13.32
"113","2007-06-14",13.1
"114","2007-06-15",13.35
"115","2007-06-18",13.75
"116","2007-06-19",14.33
"117","2007-06-20",14.24
"118","2007-06-21",14.35
"119","2007-06-22",13.82
"120","2007-06-25",13.4
"121","2007-06-26",13.79
"122","2007-06-27",13.52
"123","2007-06-28",13.18
"124","2007-06-29",13.14
"125","2007-07-02",13.77
"126","2007-07-03",14.57
"127","2007-07-05",14.94
"128","2007-07-06",14.94
"129","2007-07-09",14.63
"130","2007-07-10",14.1
"131","2007-07-11",13.91
"132","2007-07-12",13.81
"133","2007-07-13",13.13
"134","2007-07-16",13.12
"135","2007-07-17",13.1
"136","2007-07-18",12.7
"137","2007-07-19",12.83
"138","2007-07-20",12.63
"139","2007-07-23",12.45
"140","2007-07-24",11.7
"141","2007-07-25",11.21
"142","2007-07-26",10.51
"143","2007-07-27",10.04
"144","2007-07-30",10.12
"145","2007-07-31",10.25
"146","2007-08-01",10.31
"147","2007-08-02",10.39
"148","2007-08-03",9.17
"149","2007-08-06",8.26
"150","2007-08-07",8.26
"151","2007-08-08",8.36
"152","2007-08-09",7.84
"153","2007-08-10",7.96
"154","2007-08-13",8.41
"155","2007-08-14",8.42
"156","2007-08-15",8.44
"157","2007-08-16",8.33
"158","2007-08-17",8.17
"159","2007-08-20",8.29
"160","2007-08-21",8.23
"161","2007-08-22",8.71
"162","2007-08-23",9.16
"163","2007-08-24",9.47
"164","2007-08-27",9.21
"165","2007-08-28",8.91
"166","2007-08-29",9
"167","2007-08-30",9.47
"168","2007-08-31",9.77
"169","2007-09-04",9.6
"170","2007-09-05",9.5
"171","2007-09-06",9.94
"172","2007-09-07",9.64
"173","2007-09-10",9.7
"174","2007-09-11",9.92
"175","2007-09-12",9.57
"176","2007-09-13",9.52
