"","date","RJF"
"1","2007-01-03",30.719999
"2","2007-01-04",30.6
"3","2007-01-05",30.23
"4","2007-01-08",30.4
"5","2007-01-09",30.83
"6","2007-01-10",31.139999
"7","2007-01-11",31.639999
"8","2007-01-12",31.700001
"9","2007-01-16",31.530001
"10","2007-01-17",31.200001
"11","2007-01-18",31.200001
"12","2007-01-19",31.540001
"13","2007-01-22",31.23
"14","2007-01-23",31.450001
"15","2007-01-24",32.189999
"16","2007-01-25",31.4
"17","2007-01-26",31.280001
"18","2007-01-29",31.08
"19","2007-01-30",31.360001
"20","2007-01-31",31.92
"21","2007-02-01",31.91
"22","2007-02-02",31.91
"23","2007-02-05",31.84
"24","2007-02-06",31.870001
"25","2007-02-07",31.99
"26","2007-02-08",31.870001
"27","2007-02-09",31.24
"28","2007-02-12",31.200001
"29","2007-02-13",31.790001
"30","2007-02-14",32.150002
"31","2007-02-15",32.049999
"32","2007-02-16",31.82
"33","2007-02-20",31.969999
"34","2007-02-21",31.870001
"35","2007-02-22",31.77
"36","2007-02-23",31.41
"37","2007-02-26",30.76
"38","2007-02-27",29.879999
"39","2007-02-28",30.1
"40","2007-03-01",30.030001
"41","2007-03-02",29.540001
"42","2007-03-05",28.620001
"43","2007-03-06",29.129999
"44","2007-03-07",29.030001
"45","2007-03-08",29.16
"46","2007-03-09",29.059999
"47","2007-03-12",29.09
"48","2007-03-13",27.75
"49","2007-03-14",28.32
"50","2007-03-15",28.65
"51","2007-03-16",28.73
"52","2007-03-19",29.23
"53","2007-03-20",29.389999
"54","2007-03-21",30.52
"55","2007-03-22",30.540001
"56","2007-03-23",30.77
"57","2007-03-26",30.549999
"58","2007-03-27",30.08
"59","2007-03-28",29.799999
"60","2007-03-29",29.83
"61","2007-03-30",29.76
"62","2007-04-02",29.780001
"63","2007-04-03",29.93
"64","2007-04-04",29.85
"65","2007-04-05",29.790001
"66","2007-04-09",29.530001
"67","2007-04-10",29.9
"68","2007-04-11",29.66
"69","2007-04-12",29.99
"70","2007-04-13",30.209999
"71","2007-04-16",30.85
"72","2007-04-17",30.870001
"73","2007-04-18",31.129999
"74","2007-04-19",30.969999
"75","2007-04-20",31
"76","2007-04-23",31.049999
"77","2007-04-24",30.030001
"78","2007-04-25",30.85
"79","2007-04-26",30.809999
"80","2007-04-27",31
"81","2007-04-30",30.68
"82","2007-05-01",30.75
"83","2007-05-02",31.219999
"84","2007-05-03",31.26
"85","2007-05-04",31.59
"86","2007-05-07",31.450001
"87","2007-05-08",31.299999
"88","2007-05-09",31.209999
"89","2007-05-10",30.52
"90","2007-05-11",31.02
"91","2007-05-14",30.67
"92","2007-05-15",30.200001
"93","2007-05-16",30.370001
"94","2007-05-17",30.370001
"95","2007-05-18",30.67
"96","2007-05-21",30.99
"97","2007-05-22",30.959999
