"","date","FE"
"189","2007-10-02",64.269997
"190","2007-10-03",64.82
"191","2007-10-04",66.459999
"192","2007-10-05",66.889999
"193","2007-10-08",66.589996
"194","2007-10-09",67.099998
"195","2007-10-10",66.839996
"196","2007-10-11",68.099998
"197","2007-10-12",68.389999
"198","2007-10-15",67.230003
"199","2007-10-16",67.120003
"200","2007-10-17",66.709999
"201","2007-10-18",66.690002
"202","2007-10-19",65.510002
"203","2007-10-22",65.650002
"204","2007-10-23",65.370003
"205","2007-10-24",66.080002
"206","2007-10-25",67.370003
"207","2007-10-26",68.349998
"208","2007-10-29",69.43
"209","2007-10-30",68.709999
"210","2007-10-31",69.699997
"211","2007-11-01",68.75
"212","2007-11-02",69.150002
"213","2007-11-05",69.150002
"214","2007-11-06",68.089996
"215","2007-11-07",66.879997
"216","2007-11-08",67.5
"217","2007-11-09",67.529999
"218","2007-11-12",66.779999
"219","2007-11-13",67.330002
"220","2007-11-14",67
"221","2007-11-15",67.32
"222","2007-11-16",67.660004
"223","2007-11-19",67.739998
"224","2007-11-20",68.370003
"225","2007-11-21",68.18
"226","2007-11-23",67.870003
"227","2007-11-26",67.669998
"228","2007-11-27",67.699997
"229","2007-11-28",67.699997
"230","2007-11-29",67.730003
"231","2007-11-30",68.559998
"232","2007-12-03",69.43
"233","2007-12-04",70.699997
"234","2007-12-05",72.110001
"235","2007-12-06",72.919998
"236","2007-12-07",73.93
"237","2007-12-10",73.93
"238","2007-12-11",72.300003
"239","2007-12-12",72.690002
"240","2007-12-13",73.589996
"241","2007-12-14",72.43
"242","2007-12-17",72.220001
"243","2007-12-18",73.849998
"244","2007-12-19",73.800003
"245","2007-12-20",73.75
"246","2007-12-21",74.760002
"247","2007-12-24",74.139999
"248","2007-12-26",73.529999
"249","2007-12-27",72.769997
"250","2007-12-28",73.470001
"251","2007-12-31",72.339996
"252","2008-01-02",71.889999
"253","2008-01-03",72.68
"254","2008-01-04",74.32
"255","2008-01-07",77.580002
