"","date","ATH"
"1","2016-12-09",44.049999
"2","2016-12-12",45.5
"3","2016-12-13",45.459999
"4","2016-12-14",45.82
"5","2016-12-15",46.900002
"6","2016-12-16",46.509998
"7","2016-12-19",45.73
"8","2016-12-20",45.450001
"9","2016-12-21",45.689999
"10","2016-12-22",46.990002
"11","2016-12-23",46.740002
"12","2016-12-27",46.900002
"13","2016-12-28",46.830002
"14","2016-12-29",47.110001
"15","2016-12-30",47.990002
"16","2017-01-03",47.82
"17","2017-01-04",48.029999
"18","2017-01-05",47.200001
"19","2017-01-06",47.119999
"20","2017-01-09",46.93
"21","2017-01-10",46.73
"22","2017-01-11",45.900002
"23","2017-01-12",46.240002
"24","2017-01-13",46.939999
"25","2017-01-17",46.060001
"26","2017-01-18",46.220001
"27","2017-01-19",46.049999
"28","2017-01-20",46.330002
"29","2017-01-23",46.349998
"30","2017-01-24",46.360001
"31","2017-01-25",47.02
"32","2017-01-26",46.959999
"33","2017-01-27",47.040001
"34","2017-01-30",46.75
"35","2017-01-31",46.93
"36","2017-02-01",47.169998
"37","2017-02-02",47.040001
"38","2017-02-03",48
"39","2017-02-06",49.029999
"40","2017-02-07",50.299999
"41","2017-02-08",50.209999
"42","2017-02-09",51.27
"43","2017-02-10",51.869999
"44","2017-02-13",51.779999
"45","2017-02-14",52.349998
"46","2017-02-15",51.939999
"47","2017-02-16",51.23
"48","2017-02-17",50.459999
"49","2017-02-21",51.07
"50","2017-02-22",51.450001
"51","2017-02-23",51.970001
"52","2017-02-24",52.080002
"53","2017-02-27",52.380001
"54","2017-02-28",51.970001
"55","2017-03-01",52.759998
"56","2017-03-02",51.759998
"57","2017-03-03",52.02
"58","2017-03-06",51.560001
"59","2017-03-07",51.439999
"60","2017-03-08",51.25
"61","2017-03-09",51.619999
"62","2017-03-10",50.889999
"63","2017-03-13",50.849998
"64","2017-03-14",50.5
"65","2017-03-15",51.400002
"66","2017-03-16",53.720001
"67","2017-03-17",52.119999
"68","2017-03-20",51.950001
"69","2017-03-21",51.25
"70","2017-03-22",50.240002
"71","2017-03-23",50.950001
"72","2017-03-24",50.919998
"73","2017-03-27",50.709999
"74","2017-03-28",49.82
"75","2017-03-29",49.869999
"76","2017-03-30",49.759998
"77","2017-03-31",49.990002
"78","2017-04-03",50.5
"79","2017-04-04",50.740002
"80","2017-04-05",51.07
"81","2017-04-06",51.810001
"82","2017-04-07",52
"83","2017-04-10",52.200001
"84","2017-04-11",51.900002
"85","2017-04-12",51.349998
"86","2017-04-13",51.689999
"87","2017-04-17",53.349998
"88","2017-04-18",53.189999
"89","2017-04-19",53.5
"90","2017-04-20",53.48
"91","2017-04-21",52.830002
"92","2017-04-24",53.75
"93","2017-04-25",54.130001
"94","2017-04-26",54.220001
"95","2017-04-27",53.75
"96","2017-04-28",53.310001
"97","2017-05-01",53.650002
"98","2017-05-02",54.299999
"99","2017-05-03",53.299999
"100","2017-05-04",53.040001
"101","2017-05-05",53.5
"102","2017-05-08",54.09
"103","2017-05-09",53.75
"104","2017-05-10",54
