"","date","DORM"
"1","2007-01-03",5.24
"2","2007-01-04",5.255
"3","2007-01-05",5.125
"4","2007-01-08",5.125
"5","2007-01-09",5.155
"6","2007-01-10",5.165
"7","2007-01-11",5.135
"8","2007-01-12",5.12
"9","2007-01-16",5.045
"10","2007-01-17",5.05
"11","2007-01-18",5.05
"12","2007-01-19",5.05
"13","2007-01-22",5.085
"14","2007-01-23",5.055
"15","2007-01-24",5.085
"16","2007-01-25",5.01
"17","2007-01-26",5.025
"18","2007-01-29",5
"19","2007-01-30",5.005
"20","2007-01-31",5.01
"21","2007-02-01",5.1
"22","2007-02-02",5.095
"23","2007-02-05",5.13
"24","2007-02-06",5.015
"25","2007-02-07",5.1
"26","2007-02-08",5.065
"27","2007-02-09",5.065
"28","2007-02-12",5.055
"29","2007-02-13",5.125
"30","2007-02-14",5.245
"31","2007-02-15",5.25
"32","2007-02-16",5.25
"33","2007-02-20",5.18
"34","2007-02-21",5.245
"35","2007-02-22",5.25
"36","2007-02-23",6
"37","2007-02-26",5.965
"38","2007-02-27",5.755
"39","2007-02-28",5.71
"40","2007-03-01",5.665
"41","2007-03-02",5.615
"42","2007-03-05",5.66
"43","2007-03-06",5.66
"44","2007-03-07",5.66
"45","2007-03-08",5.72
"46","2007-03-09",5.74
"47","2007-03-12",5.635
"48","2007-03-13",5.63
"49","2007-03-14",5.65
"50","2007-03-15",5.65
"51","2007-03-16",5.65
"52","2007-03-19",5.65
"53","2007-03-20",5.695
"54","2007-03-21",5.735
"55","2007-03-22",5.695
"56","2007-03-23",5.69
"57","2007-03-26",5.65
"58","2007-03-27",5.7
"59","2007-03-28",5.75
"60","2007-03-29",5.75
"61","2007-03-30",5.78
"62","2007-04-02",5.775
"63","2007-04-03",5.76
"64","2007-04-04",5.775
"65","2007-04-05",5.8
"66","2007-04-09",5.765
"67","2007-04-10",5.805
"68","2007-04-11",5.815
"69","2007-04-12",5.875
"70","2007-04-13",5.875
"71","2007-04-16",5.87
"72","2007-04-17",5.87
"73","2007-04-18",5.81
"74","2007-04-19",5.81
"75","2007-04-20",5.81
"76","2007-04-23",6.145
"77","2007-04-24",6.055
"78","2007-04-25",6.09
"79","2007-04-26",6.075
"80","2007-04-27",6.15
"81","2007-04-30",6.165
"82","2007-05-01",6.145
"83","2007-05-02",6.125
"84","2007-05-03",6.225
"85","2007-05-04",6.135
"86","2007-05-07",6.15
"87","2007-05-08",6.155
"88","2007-05-09",6.155
"89","2007-05-10",6.175
"90","2007-05-11",6.17
"91","2007-05-14",6.17
"92","2007-05-15",6.195
"93","2007-05-16",6.385
"94","2007-05-17",6.395
"95","2007-05-18",6.25
"96","2007-05-21",6.325
"97","2007-05-22",6.425
"98","2007-05-23",6.47
"99","2007-05-24",6.795
"100","2007-05-25",6.865
"101","2007-05-29",6.93
"102","2007-05-30",7
"103","2007-05-31",7.11
"104","2007-06-01",7.14
"105","2007-06-04",7.28
"106","2007-06-05",7.25
"107","2007-06-06",7.375
"108","2007-06-07",7.25
"109","2007-06-08",7.28
"110","2007-06-11",7.245
"111","2007-06-12",7.245
"112","2007-06-13",7.25
"113","2007-06-14",7.29
"114","2007-06-15",6.995
"115","2007-06-18",7.025
"116","2007-06-19",7.02
"117","2007-06-20",7.02
"118","2007-06-21",7.015
"119","2007-06-22",7
"120","2007-06-25",6.995
"121","2007-06-26",6.87
"122","2007-06-27",6.95
"123","2007-06-28",6.95
"124","2007-06-29",6.91
"125","2007-07-02",6.95
"126","2007-07-03",6.965
"127","2007-07-05",6.985
"128","2007-07-06",6.975
"129","2007-07-09",6.95
"130","2007-07-10",7.045
"131","2007-07-11",6.94
"132","2007-07-12",7.075
"133","2007-07-13",7.05
"134","2007-07-16",7.005
"135","2007-07-17",7.025
"136","2007-07-18",6.995
"137","2007-07-19",7
"138","2007-07-20",7.025
"139","2007-07-23",6.99
"140","2007-07-24",7.01
"141","2007-07-25",7.015
"142","2007-07-26",7
"143","2007-07-27",7
"144","2007-07-30",6.915
"145","2007-07-31",7
"146","2007-08-01",7.25
"147","2007-08-02",7.125
"148","2007-08-03",7.035
"149","2007-08-06",6.975
"150","2007-08-07",6.975
"151","2007-08-08",7.025
"152","2007-08-09",7.02
"153","2007-08-10",6.75
"154","2007-08-13",7.05
"155","2007-08-14",7.06
"156","2007-08-15",7.03
"157","2007-08-16",7.005
"158","2007-08-17",6.915
"159","2007-08-20",6.99
"160","2007-08-21",6.975
"161","2007-08-22",7.02
"162","2007-08-23",6.975
"163","2007-08-24",6.905
"164","2007-08-27",6.895
"165","2007-08-28",6.925
"166","2007-08-29",7
"167","2007-08-30",7
"168","2007-08-31",7.025
"169","2007-09-04",7.225
"170","2007-09-05",7.195
"171","2007-09-06",7.325
"172","2007-09-07",7.42
"173","2007-09-10",7.305
"174","2007-09-11",7
"175","2007-09-12",7.07
"176","2007-09-13",7
"177","2007-09-14",7.105
"178","2007-09-17",7.01
"179","2007-09-18",6.965
"180","2007-09-19",6.975
"181","2007-09-20",6.99
"182","2007-09-21",7.04
"183","2007-09-24",7.035
"184","2007-09-25",7.045
"185","2007-09-26",6.955
"186","2007-09-27",7.05
"187","2007-09-28",7.05
"188","2007-10-01",7.095
"189","2007-10-02",7.025
"190","2007-10-03",7.015
"191","2007-10-04",7
"192","2007-10-05",7.005
"193","2007-10-08",6.995
"194","2007-10-09",7.135
"195","2007-10-10",7.125
"196","2007-10-11",6.87
"197","2007-10-12",7.025
"198","2007-10-15",7.025
"199","2007-10-16",6.97
"200","2007-10-17",7.02
"201","2007-10-18",7.02
"202","2007-10-19",6.9
"203","2007-10-22",6.71
"204","2007-10-23",6.865
"205","2007-10-24",6.855
"206","2007-10-25",7.355
"207","2007-10-26",7.195
"208","2007-10-29",7.25
"209","2007-10-30",7.26
"210","2007-10-31",7.03
"211","2007-11-01",7
"212","2007-11-02",7.405
"213","2007-11-05",7.49
"214","2007-11-06",7.305
"215","2007-11-07",7.22
"216","2007-11-08",7.35
"217","2007-11-09",7.31
"218","2007-11-12",7.13
"219","2007-11-13",7.235
"220","2007-11-14",7.07
"221","2007-11-15",7.005
"222","2007-11-16",6.995
"223","2007-11-19",7.075
"224","2007-11-20",7.035
"225","2007-11-21",6.995
"226","2007-11-23",7.06
"227","2007-11-26",7.1
"228","2007-11-27",7
"229","2007-11-28",7
"230","2007-11-29",7
"231","2007-11-30",7
"232","2007-12-03",6.98
"233","2007-12-04",7
"234","2007-12-05",7
"235","2007-12-06",6.97
"236","2007-12-07",6.975
"237","2007-12-10",7.055
"238","2007-12-11",6.94
"239","2007-12-12",6.905
"240","2007-12-13",6.965
"241","2007-12-14",6.895
"242","2007-12-17",6.95
"243","2007-12-18",7.175
"244","2007-12-19",7.035
"245","2007-12-20",6.875
"246","2007-12-21",6.9
"247","2007-12-24",6.96
"248","2007-12-26",7.045
"249","2007-12-27",7.08
"250","2007-12-28",7.25
"251","2007-12-31",7.145
"252","2008-01-02",6.965
"253","2008-01-03",7.1
"254","2008-01-04",7.24
"255","2008-01-07",6.975
"256","2008-01-08",6.915
"257","2008-01-09",6.785
"258","2008-01-10",6.67
"259","2008-01-11",6.84
"260","2008-01-14",6.725
"261","2008-01-15",6.695
"262","2008-01-16",6.56
"263","2008-01-17",6.51
"264","2008-01-18",6.365
"265","2008-01-22",5.705
"266","2008-01-23",5.505
"267","2008-01-24",5.525
"268","2008-01-25",5.555
"269","2008-01-28",5.505
"270","2008-01-29",5.505
"271","2008-01-30",5.5
"272","2008-01-31",5.535
"273","2008-02-01",5.525
"274","2008-02-04",5.565
"275","2008-02-05",5.56
"276","2008-02-06",5.59
"277","2008-02-07",5.5
"278","2008-02-08",5.55
"279","2008-02-11",5.57
"280","2008-02-12",5.55
"281","2008-02-13",5.5
"282","2008-02-14",5.515
"283","2008-02-15",5.52
"284","2008-02-19",5.67
"285","2008-02-20",5.705
"286","2008-02-21",5.705
"287","2008-02-22",5.64
"288","2008-02-25",5.4
"289","2008-02-26",5.455
"290","2008-02-27",5.415
"291","2008-02-28",5.405
"292","2008-02-29",5.25
"293","2008-03-03",5.265
"294","2008-03-04",5.295
"295","2008-03-05",5.395
"296","2008-03-06",5.295
"297","2008-03-07",5.28
"298","2008-03-10",5.2
"299","2008-03-11",5.2
"300","2008-03-12",5.32
"301","2008-03-13",5.255
"302","2008-03-14",5.255
"303","2008-03-17",5.125
"304","2008-03-18",5.1
"305","2008-03-19",5.1
"306","2008-03-20",5.065
"307","2008-03-24",5.005
"308","2008-03-25",5.395
"309","2008-03-26",5.395
"310","2008-03-27",5.175
"311","2008-03-28",5.25
"312","2008-03-31",5.375
"313","2008-04-01",5.5
"314","2008-04-02",5.425
"315","2008-04-03",5.255
"316","2008-04-04",5.325
"317","2008-04-07",5.425
"318","2008-04-08",5.5
"319","2008-04-09",5.5
"320","2008-04-10",5.625
"321","2008-04-11",5.7
"322","2008-04-14",5.51
"323","2008-04-15",5.51
"324","2008-04-16",5.255
"325","2008-04-17",5.295
"326","2008-04-18",5.33
"327","2008-04-21",5.33
"328","2008-04-22",5.5
"329","2008-04-23",5.585
"330","2008-04-24",5.5
"331","2008-04-25",5.305
"332","2008-04-28",5.215
"333","2008-04-29",5.155
"334","2008-04-30",5.2
"335","2008-05-01",5.115
"336","2008-05-02",4.695
"337","2008-05-05",4.525
"338","2008-05-06",4.54
"339","2008-05-07",4.57
"340","2008-05-08",4.45
"341","2008-05-09",4.66
"342","2008-05-12",4.56
"343","2008-05-13",4.69
"344","2008-05-14",4.69
"345","2008-05-15",4.69
"346","2008-05-16",4.62
"347","2008-05-19",4.605
"348","2008-05-20",4.6
"349","2008-05-21",4.55
"350","2008-05-22",4.575
"351","2008-05-23",4.56
"352","2008-05-27",4.555
"353","2008-05-28",4.615
"354","2008-05-29",4.61
"355","2008-05-30",4.765
