"","date","ALRM"
"1","2015-06-26",16.879999
"2","2015-06-29",15.77
"3","2015-06-30",15.38
"4","2015-07-01",15.72
"5","2015-07-02",17.040001
"6","2015-07-06",18.110001
"7","2015-07-07",17.629999
"8","2015-07-08",17.389999
"9","2015-07-09",16.450001
"10","2015-07-10",16.15
"11","2015-07-13",16.209999
"12","2015-07-14",17.59
"13","2015-07-15",17.09
"14","2015-07-16",17.18
"15","2015-07-17",17.73
"16","2015-07-20",18.780001
"17","2015-07-21",18
"18","2015-07-22",17.99
"19","2015-07-23",17.74
"20","2015-07-24",17.629999
"21","2015-07-27",17.15
"22","2015-07-28",17.08
"23","2015-07-29",18.025
"24","2015-07-30",18.280001
"25","2015-07-31",18.530001
"26","2015-08-03",18.280001
"27","2015-08-04",18.23
"28","2015-08-05",18.860001
"29","2015-08-06",17.469999
"30","2015-08-07",17.030001
"31","2015-08-10",17.540001
"32","2015-08-11",17.25
"33","2015-08-12",16.82
"34","2015-08-13",16.440001
"35","2015-08-14",16.91
"36","2015-08-17",16.84
"37","2015-08-18",17.18
"38","2015-08-19",17.440001
"39","2015-08-20",16.76
"40","2015-08-21",16.459999
"41","2015-08-24",16.01
"42","2015-08-25",15.93
"43","2015-08-26",16.290001
"44","2015-08-27",16.9
"45","2015-08-28",16.799999
"46","2015-08-31",17.02
"47","2015-09-01",15.75
"48","2015-09-02",15.92
"49","2015-09-03",16.26
"50","2015-09-04",16.059999
"51","2015-09-08",16.219999
"52","2015-09-09",15.7
"53","2015-09-10",15.66
"54","2015-09-11",14.71
"55","2015-09-14",14.02
"56","2015-09-15",14.03
"57","2015-09-16",14.52
"58","2015-09-17",14.66
"59","2015-09-18",13.69
"60","2015-09-21",13.35
"61","2015-09-22",13.24
"62","2015-09-23",12.98
"63","2015-09-24",12.74
"64","2015-09-25",12.48
"65","2015-09-28",11.51
"66","2015-09-29",11.45
"67","2015-09-30",11.66
"68","2015-10-01",11.77
"69","2015-10-02",12.04
"70","2015-10-05",12.03
"71","2015-10-06",12.18
"72","2015-10-07",12.59
"73","2015-10-08",12.55
"74","2015-10-09",12.56
"75","2015-10-12",12.7
"76","2015-10-13",12.52
"77","2015-10-14",12.57
"78","2015-10-15",12.82
"79","2015-10-16",12.45
"80","2015-10-19",12.44
"81","2015-10-20",12.55
"82","2015-10-21",12.53
"83","2015-10-22",12.77
"84","2015-10-23",12.67
"85","2015-10-26",12.56
"86","2015-10-27",12.22
"87","2015-10-28",12.58
"88","2015-10-29",12.65
"89","2015-10-30",12.65
"90","2015-11-02",12.8
"91","2015-11-03",13.24
"92","2015-11-04",13.41
"93","2015-11-05",13.46
"94","2015-11-06",14.04
"95","2015-11-09",14
"96","2015-11-10",14.57
"97","2015-11-11",16.57
"98","2015-11-12",16.540001
"99","2015-11-13",16.129999
"100","2015-11-16",16.549999
"101","2015-11-17",17.299999
"102","2015-11-18",17.200001
"103","2015-11-19",17.290001
"104","2015-11-20",17.85
"105","2015-11-23",18.41
"106","2015-11-24",18.67
"107","2015-11-25",19.139999
"108","2015-11-27",18.209999
"109","2015-11-30",17.58
"110","2015-12-01",18.059999
"111","2015-12-02",17.57
"112","2015-12-03",17.57
"113","2015-12-04",16.99
"114","2015-12-07",16.940001
"115","2015-12-08",16.85
"116","2015-12-09",16.77
"117","2015-12-10",16.870001
"118","2015-12-11",16.690001
"119","2015-12-14",16.77
"120","2015-12-15",17.23
"121","2015-12-16",17.120001
"122","2015-12-17",16.790001
"123","2015-12-18",16.719999
"124","2015-12-21",17.139999
"125","2015-12-22",17.76
"126","2015-12-23",17.709999
"127","2015-12-24",17.700001
"128","2015-12-28",17.08
"129","2015-12-29",17.49
"130","2015-12-30",16.76
"131","2015-12-31",16.68
"132","2016-01-04",16.200001
"133","2016-01-05",15.93
"134","2016-01-06",16.290001
"135","2016-01-07",16
"136","2016-01-08",16.01
"137","2016-01-11",16
"138","2016-01-12",16.01
"139","2016-01-13",15.92
"140","2016-01-14",15.94
"141","2016-01-15",16.01
"142","2016-01-19",15.62
"143","2016-01-20",15.92
"144","2016-01-21",16.389999
"145","2016-01-22",16.719999
"146","2016-01-25",16
"147","2016-01-26",16.52
"148","2016-01-27",16
"149","2016-01-28",16.02
"150","2016-01-29",16.15
"151","2016-02-01",16.280001
"152","2016-02-02",15.51
"153","2016-02-03",15.79
"154","2016-02-04",16.040001
"155","2016-02-05",15.88
"156","2016-02-08",14.46
"157","2016-02-09",14.77
"158","2016-02-10",14.44
"159","2016-02-11",14.36
"160","2016-02-12",15.02
"161","2016-02-16",15.78
"162","2016-02-17",16.040001
"163","2016-02-18",16.18
"164","2016-02-19",16.709999
"165","2016-02-22",16.940001
"166","2016-02-23",16.870001
"167","2016-02-24",17.190001
"168","2016-02-25",17.719999
"169","2016-02-26",19.99
"170","2016-02-29",19.950001
"171","2016-03-01",20.58
"172","2016-03-02",21.43
"173","2016-03-03",22.41
"174","2016-03-04",21
"175","2016-03-07",22.700001
"176","2016-03-08",21.65
"177","2016-03-09",22.120001
"178","2016-03-10",21.35
"179","2016-03-11",21.41
"180","2016-03-14",21.35
"181","2016-03-15",21.469999
"182","2016-03-16",21.58
"183","2016-03-17",21.73
"184","2016-03-18",21.75
"185","2016-03-21",21.73
"186","2016-03-22",21.719999
"187","2016-03-23",21.85
"188","2016-03-24",22.030001
"189","2016-03-28",22.07
"190","2016-03-29",22.690001
"191","2016-03-30",23.780001
"192","2016-03-31",23.700001
