"","date","OXLCM"
"1","2017-06-08",24.950001
"2","2017-06-09",25.1
"3","2017-06-12",25
"4","2017-06-13",25.1
"5","2017-06-14",25.1
"6","2017-06-15",25.1
"7","2017-06-16",24.98
"8","2017-06-19",24.895
"9","2017-06-20",24.879999
"10","2017-06-21",24.9
"11","2017-06-22",24.809999
"12","2017-06-23",24.85
"13","2017-06-26",24.9
"14","2017-06-27",24.889999
"15","2017-06-28",24.879999
"16","2017-06-29",24.879999
"17","2017-06-30",24.91
"18","2017-07-03",25.065001
"19","2017-07-05",25.1
"20","2017-07-06",25.01
"21","2017-07-07",25.072001
"22","2017-07-10",25.059999
"23","2017-07-11",25.17
"24","2017-07-12",25.08
"25","2017-07-13",25.17
"26","2017-07-14",25.23
"27","2017-07-17",25.219999
"28","2017-07-18",25.309999
"29","2017-07-19",25.309999
"30","2017-07-20",25.198999
"31","2017-07-21",25.07
"32","2017-07-24",25.049999
"33","2017-07-25",25.030001
"34","2017-07-26",25.120001
"35","2017-07-27",25.120001
"36","2017-07-28",25.15
"37","2017-07-31",25.200001
"38","2017-08-01",25.200001
"39","2017-08-02",25.200001
"40","2017-08-03",25.18
"41","2017-08-04",25.18
"42","2017-08-07",25.209999
"43","2017-08-08",25.200001
"44","2017-08-09",25.200001
"45","2017-08-10",25.188999
"46","2017-08-11",25.159
"47","2017-08-14",25.362
"48","2017-08-15",25.15
"49","2017-08-16",25.08
"50","2017-08-17",25.08
"51","2017-08-18",25.17
"52","2017-08-21",25.181
"53","2017-08-22",25.275
"54","2017-08-23",25.299999
"55","2017-08-24",25.275
"56","2017-08-25",25.32
"57","2017-08-28",25.25
"58","2017-08-29",25.25
"59","2017-08-30",25.25
"60","2017-08-31",25.25
"61","2017-09-01",25.25
"62","2017-09-05",25.25
"63","2017-09-06",25.299999
"64","2017-09-07",25.23
"65","2017-09-08",25.25
"66","2017-09-11",25.299999
"67","2017-09-12",25.33
"68","2017-09-13",25.27
"69","2017-09-14",25.200001
"70","2017-09-15",25.24
"71","2017-09-18",25.370001
"72","2017-09-19",25.33
"73","2017-09-20",25.299999
"74","2017-09-21",25.379999
"75","2017-09-22",25.378
"76","2017-09-25",25.375999
"77","2017-09-26",25.379999
"78","2017-09-27",25.34
"79","2017-09-28",25.34
"80","2017-09-29",25.389999
"81","2017-10-02",25.4
"82","2017-10-03",25.440001
"83","2017-10-04",25.570999
"84","2017-10-05",25.566999
"85","2017-10-06",25.534
"86","2017-10-09",25.485001
"87","2017-10-10",25.485001
"88","2017-10-11",25.459999
"89","2017-10-12",25.528
