"","date","GNK"
"1","2014-07-15",210
"2","2014-07-16",212.5
"3","2014-07-17",215
"4","2014-07-18",215
"5","2014-07-21",215
"6","2014-07-22",214.5
"7","2014-07-23",214.5
"8","2014-07-24",214.5
"9","2014-07-25",213
"10","2014-07-28",213
"11","2014-07-29",215
"12","2014-07-30",213
"13","2014-07-31",215
"14","2014-08-01",215
"15","2014-08-04",215
"16","2014-08-05",215
"17","2014-08-06",215
"18","2014-08-07",215
"19","2014-08-08",215
"20","2014-08-11",215
"21","2014-08-12",205
"22","2014-08-13",215
"23","2014-08-14",215
"24","2014-08-15",215
"25","2014-08-18",210
"26","2014-08-19",215
"27","2014-08-20",215
"28","2014-08-21",215
"29","2014-08-22",215
"30","2014-08-25",215
"31","2014-08-26",215
"32","2014-08-27",213
"33","2014-08-28",213
"34","2014-08-29",210
"35","2014-09-02",210.5
"36","2014-09-03",213
"37","2014-09-04",215
"38","2014-09-05",215
"39","2014-09-08",213
"40","2014-09-09",210
"41","2014-09-10",210
"42","2014-09-11",211
"43","2014-09-12",210
"44","2014-09-15",211
"45","2014-09-16",211
"46","2014-09-17",210.5
"47","2014-09-18",210
"48","2014-09-19",210
"49","2014-09-22",210
"50","2014-09-23",205.5
"51","2014-09-24",205.5
"52","2014-09-25",205.5
"53","2014-09-26",205
"54","2014-09-29",200
"55","2014-09-30",200
"56","2014-10-01",192.5
"57","2014-10-02",185
"58","2014-10-03",177.5
"59","2014-10-06",177.5
"60","2014-10-07",177.5
"61","2014-10-08",177.5
"62","2014-10-09",177.5
"63","2014-10-10",177.5
"64","2014-10-13",175.100006
"65","2014-10-14",175
"66","2014-10-15",150
"67","2014-10-16",150
"68","2014-10-17",150
"69","2014-10-20",150
"70","2014-10-21",150
"71","2014-10-22",150
"72","2014-10-23",155
"73","2014-10-24",155.5
"74","2014-10-27",155
"75","2014-10-28",154.5
"76","2014-10-29",154.5
"77","2014-10-30",156.5
"78","2014-10-31",156.5
"79","2014-11-03",156.5
"80","2014-11-04",156.5
"81","2014-11-05",158
"82","2014-11-06",162.5
"83","2014-11-07",156
