"","date","YNDX"
"1","2011-05-24",38.84
"2","2011-05-25",35
"3","2011-05-26",34.77
"4","2011-05-27",34.450001
"5","2011-05-31",33.450001
"6","2011-06-01",32.25
"7","2011-06-02",33.52
"8","2011-06-03",33.5
"9","2011-06-06",34.23
"10","2011-06-07",35
"11","2011-06-08",33.290001
"12","2011-06-09",32.790001
"13","2011-06-10",31.82
"14","2011-06-13",31.33
"15","2011-06-14",31.6
"16","2011-06-15",30.27
"17","2011-06-16",30.530001
"18","2011-06-17",30.809999
"19","2011-06-20",30.32
"20","2011-06-21",31.129999
"21","2011-06-22",30.709999
"22","2011-06-23",31.17
"23","2011-06-24",31.549999
"24","2011-06-27",32.5
"25","2011-06-28",33.990002
"26","2011-06-29",34.779999
"27","2011-06-30",35.509998
"28","2011-07-01",35.689999
"29","2011-07-05",34.09
"30","2011-07-06",33.93
"31","2011-07-07",34.150002
"32","2011-07-08",35.950001
"33","2011-07-11",34.130001
"34","2011-07-12",33.540001
"35","2011-07-13",34.490002
"36","2011-07-14",34.169998
"37","2011-07-15",34.990002
"38","2011-07-18",35.91
"39","2011-07-19",35.75
"40","2011-07-20",34.990002
"41","2011-07-21",34.93
"42","2011-07-22",35.650002
"43","2011-07-25",36.560001
"44","2011-07-26",37.450001
"45","2011-07-27",38.509998
"46","2011-07-28",37.740002
"47","2011-07-29",34.98
"48","2011-08-01",32.790001
"49","2011-08-02",32.470001
"50","2011-08-03",34.240002
"51","2011-08-04",32.610001
"52","2011-08-05",30.83
"53","2011-08-08",27.040001
"54","2011-08-09",29.76
"55","2011-08-10",29.73
"56","2011-08-11",30.66
"57","2011-08-12",30.66
"58","2011-08-15",30.59
"59","2011-08-16",29.18
"60","2011-08-17",30.01
"61","2011-08-18",29.559999
"62","2011-08-19",29.99
"63","2011-08-22",29.049999
"64","2011-08-23",28.93
"65","2011-08-24",30.950001
"66","2011-08-25",30.5
"67","2011-08-26",30.450001
"68","2011-08-29",30.35
"69","2011-08-30",29.959999
"70","2011-08-31",30.969999
"71","2011-09-01",31.190001
"72","2011-09-02",30.379999
"73","2011-09-06",29.219999
"74","2011-09-07",29.799999
