"","date","RMG"
"1","2019-04-01",9.75
"2","2019-04-02",9.75
"3","2019-04-03",9.75
"4","2019-04-04",9.76
"5","2019-04-05",9.75
"6","2019-04-08",9.76
"7","2019-04-09",9.76
"8","2019-04-10",9.77
"9","2019-04-11",9.74
"10","2019-04-12",9.74
"11","2019-04-15",9.74
"12","2019-04-16",9.74
"13","2019-04-17",9.74
"14","2019-04-18",9.74
"15","2019-04-22",9.74
"16","2019-04-23",9.74
"17","2019-04-24",9.74
"18","2019-04-25",9.74
"19","2019-04-26",9.74
"20","2019-04-29",9.74
"21","2019-04-30",9.74
"22","2019-05-01",9.74
"23","2019-05-02",9.74
"24","2019-05-03",9.74
"25","2019-05-06",9.74
"26","2019-05-07",9.74
"27","2019-05-08",9.74
"28","2019-05-09",9.74
"29","2019-05-10",9.74
"30","2019-05-13",9.74
"31","2019-05-14",9.74
"32","2019-05-15",9.74
"33","2019-05-16",9.74
"34","2019-05-17",9.74
"35","2019-05-20",9.75
"36","2019-05-21",9.75
"37","2019-05-22",9.75
"38","2019-05-23",9.75
"39","2019-05-24",9.74
"40","2019-05-28",9.75
"41","2019-05-29",9.75
"42","2019-05-30",9.74
"43","2019-05-31",9.74
"44","2019-06-03",9.74
"45","2019-06-04",9.74
"46","2019-06-05",9.74
"47","2019-06-06",9.74
"48","2019-06-07",9.74
"49","2019-06-10",9.72
"50","2019-06-11",9.735
"51","2019-06-12",9.72
"52","2019-06-13",9.75
"53","2019-06-14",9.74
"54","2019-06-17",9.78
"55","2019-06-18",9.78
"56","2019-06-19",9.78
"57","2019-06-20",9.78
"58","2019-06-21",9.78
"59","2019-06-24",9.78
"60","2019-06-25",9.76
"61","2019-06-26",9.76
"62","2019-06-27",9.77
"63","2019-06-28",9.77
"64","2019-07-01",9.77
"65","2019-07-02",9.78
"66","2019-07-03",9.79
"67","2019-07-05",9.79
"68","2019-07-08",9.77
"69","2019-07-09",9.77
"70","2019-07-10",9.77
"71","2019-07-11",10.02
"72","2019-07-12",9.85
"73","2019-07-15",9.85
"74","2019-07-16",9.84
"75","2019-07-17",9.84
"76","2019-07-18",9.84
"77","2019-07-19",9.821
"78","2019-07-22",9.821
"79","2019-07-23",9.78
"80","2019-07-24",9.78
"81","2019-07-25",9.78
"82","2019-07-26",9.78
"83","2019-07-29",9.78
"84","2019-07-30",9.78
"85","2019-07-31",9.9
"86","2019-08-01",9.9
"87","2019-08-02",9.9
"88","2019-08-05",9.9
"89","2019-08-06",9.9
"90","2019-08-07",9.87
"91","2019-08-08",9.84
"92","2019-08-09",9.84
"93","2019-08-12",9.84
"94","2019-08-13",9.84
"95","2019-08-14",9.82
"96","2019-08-15",9.82
"97","2019-08-16",9.82
"98","2019-08-19",9.82
"99","2019-08-20",9.83
"100","2019-08-21",9.83
"101","2019-08-22",9.82
"102","2019-08-23",9.82
"103","2019-08-26",9.82
"104","2019-08-27",9.839
"105","2019-08-28",9.839
"106","2019-08-29",9.84
"107","2019-08-30",9.84
"108","2019-09-03",9.85
"109","2019-09-04",9.85
"110","2019-09-05",9.85
"111","2019-09-06",9.85
"112","2019-09-09",9.85
"113","2019-09-10",9.85
"114","2019-09-11",9.85
"115","2019-09-12",9.85
"116","2019-09-13",9.85
"117","2019-09-16",9.85
"118","2019-09-17",9.86
"119","2019-09-18",9.86
"120","2019-09-19",9.86
"121","2019-09-20",9.86
"122","2019-09-23",9.9
"123","2019-09-24",9.88
"124","2019-09-25",9.88
"125","2019-09-26",9.85
"126","2019-09-27",9.85
"127","2019-09-30",9.85
"128","2019-10-01",9.85
"129","2019-10-02",9.85
"130","2019-10-03",9.87
"131","2019-10-04",9.87
"132","2019-10-07",9.89
"133","2019-10-08",9.89
"134","2019-10-09",9.89
"135","2019-10-10",9.88
"136","2019-10-11",9.87
"137","2019-10-14",9.87
"138","2019-10-15",9.87
"139","2019-10-16",9.87
"140","2019-10-17",9.87
"141","2019-10-18",9.87
"142","2019-10-21",9.86
"143","2019-10-22",9.85
"144","2019-10-23",9.85
"145","2019-10-24",9.85
"146","2019-10-25",9.88
"147","2019-10-28",9.85
"148","2019-10-29",9.85
"149","2019-10-30",9.85
"150","2019-10-31",9.85
"151","2019-11-01",9.85
"152","2019-11-04",9.85
"153","2019-11-05",9.85
"154","2019-11-06",9.85
"155","2019-11-07",9.86
"156","2019-11-08",9.864
"157","2019-11-11",9.89
"158","2019-11-12",9.89
"159","2019-11-13",9.87
"160","2019-11-14",9.87
"161","2019-11-15",9.87
"162","2019-11-18",9.87
"163","2019-11-19",9.87
"164","2019-11-20",9.868
"165","2019-11-21",9.88
"166","2019-11-22",9.88
"167","2019-11-25",9.891
"168","2019-11-26",9.891
"169","2019-11-27",9.92
"170","2019-11-29",9.92
"171","2019-12-02",9.94
"172","2019-12-03",9.92
"173","2019-12-04",9.92
"174","2019-12-05",9.92
"175","2019-12-06",9.94
"176","2019-12-09",9.94
"177","2019-12-10",9.95
"178","2019-12-11",9.924
"179","2019-12-12",9.97
"180","2019-12-13",9.95
"181","2019-12-16",9.94
"182","2019-12-17",9.96
"183","2019-12-18",9.97
"184","2019-12-19",9.97
"185","2019-12-20",9.98
"186","2019-12-23",9.99
"187","2019-12-24",9.99
"188","2019-12-26",9.99
"189","2019-12-27",9.99
"190","2019-12-30",9.99
"191","2019-12-31",9.98
"192","2020-01-02",9.98
"193","2020-01-03",9.99
"194","2020-01-06",10.05
"195","2020-01-07",10.018
"196","2020-01-08",10.02
"197","2020-01-09",10.04
