"","date","AJRD"
"1","2007-01-03",13.9
"2","2007-01-04",13.88
"3","2007-01-05",13.59
"4","2007-01-08",13.61
"5","2007-01-09",13.65
"6","2007-01-10",13.68
"7","2007-01-11",13.81
"8","2007-01-12",13.91
"9","2007-01-16",13.75
"10","2007-01-17",13.71
"11","2007-01-18",13.57
"12","2007-01-19",13.84
"13","2007-01-22",14.11
"14","2007-01-23",14.67
"15","2007-01-24",14.87
"16","2007-01-25",14.66
"17","2007-01-26",14.64
"18","2007-01-29",14.92
"19","2007-01-30",14.9
"20","2007-01-31",14.96
"21","2007-02-01",15.22
"22","2007-02-02",14.99
"23","2007-02-05",15
"24","2007-02-06",14.75
"25","2007-02-07",14.85
"26","2007-02-08",14.79
"27","2007-02-09",14.54
"28","2007-02-12",14.52
"29","2007-02-13",14.69
"30","2007-02-14",14.56
"31","2007-02-15",14.62
"32","2007-02-16",14.38
"33","2007-02-20",14.75
"34","2007-02-21",14.91
"35","2007-02-22",14.82
"36","2007-02-23",14.79
"37","2007-02-26",14.42
"38","2007-02-27",13.76
"39","2007-02-28",13.86
"40","2007-03-01",13.76
"41","2007-03-02",13.51
"42","2007-03-05",13.3
"43","2007-03-06",13.63
"44","2007-03-07",13.59
"45","2007-03-08",13.67
"46","2007-03-09",13.77
"47","2007-03-12",13.86
"48","2007-03-13",13.4
"49","2007-03-14",13.4
"50","2007-03-15",13.4
"51","2007-03-16",13.32
"52","2007-03-19",13.37
"53","2007-03-20",13.37
"54","2007-03-21",13.63
"55","2007-03-22",13.59
"56","2007-03-23",13.54
"57","2007-03-26",13.43
"58","2007-03-27",13.31
"59","2007-03-28",13.29
"60","2007-03-29",13.76
"61","2007-03-30",13.84
"62","2007-04-02",13.77
"63","2007-04-03",13.99
"64","2007-04-04",14.19
"65","2007-04-05",14.4
"66","2007-04-09",14.17
"67","2007-04-10",14.13
"68","2007-04-11",14.02
"69","2007-04-12",14.03
"70","2007-04-13",14.04
"71","2007-04-16",14.02
"72","2007-04-17",13.9
"73","2007-04-18",13.79
"74","2007-04-19",13.75
"75","2007-04-20",13.86
"76","2007-04-23",13.78
"77","2007-04-24",13.85
"78","2007-04-25",13.73
"79","2007-04-26",13.68
"80","2007-04-27",13.52
"81","2007-04-30",13.32
"82","2007-05-01",13.41
"83","2007-05-02",13.51
"84","2007-05-03",13.57
"85","2007-05-04",13.71
"86","2007-05-07",13.62
"87","2007-05-08",13.6
"88","2007-05-09",13.77
"89","2007-05-10",13.41
"90","2007-05-11",13.64
"91","2007-05-14",13.58
"92","2007-05-15",13.39
"93","2007-05-16",13.61
"94","2007-05-17",13.45
"95","2007-05-18",13.49
"96","2007-05-21",13.71
"97","2007-05-22",13.7
"98","2007-05-23",13.5
"99","2007-05-24",13.51
"100","2007-05-25",13.59
"101","2007-05-29",13.64
"102","2007-05-30",13.51
"103","2007-05-31",13.41
"104","2007-06-01",13.45
"105","2007-06-04",13.16
"106","2007-06-05",13.19
"107","2007-06-06",13.11
"108","2007-06-07",13.1
"109","2007-06-08",13.19
"110","2007-06-11",13.1
"111","2007-06-12",13
"112","2007-06-13",13.16
"113","2007-06-14",13.05
"114","2007-06-15",13.19
"115","2007-06-18",13
"116","2007-06-19",12.9
"117","2007-06-20",12.66
"118","2007-06-21",12.5
"119","2007-06-22",12.48
"120","2007-06-25",12.5
"121","2007-06-26",12.48
"122","2007-06-27",12.8
"123","2007-06-28",13.04
"124","2007-06-29",13.07
"125","2007-07-02",13.73
"126","2007-07-03",13.92
"127","2007-07-05",13.86
"128","2007-07-06",13.77
"129","2007-07-09",13.78
"130","2007-07-10",13.42
"131","2007-07-11",13.24
"132","2007-07-12",13.21
"133","2007-07-13",13.29
"134","2007-07-16",13.09
"135","2007-07-17",12.96
"136","2007-07-18",13.12
"137","2007-07-19",13.24
"138","2007-07-20",13.1
"139","2007-07-23",13.08
"140","2007-07-24",12.93
"141","2007-07-25",12.8
"142","2007-07-26",12.5
"143","2007-07-27",12.05
"144","2007-07-30",11.88
"145","2007-07-31",11.82
"146","2007-08-01",11.9
"147","2007-08-02",12.08
"148","2007-08-03",11.79
"149","2007-08-06",11.89
"150","2007-08-07",11.94
"151","2007-08-08",11.75
"152","2007-08-09",11.21
"153","2007-08-10",12.03
"154","2007-08-13",11.76
"155","2007-08-14",11.22
"156","2007-08-15",10.96
"157","2007-08-16",11.04
"158","2007-08-17",11.38
"159","2007-08-20",11.43
"160","2007-08-21",11.5
"161","2007-08-22",11.69
"162","2007-08-23",11.44
