"","date","OSB"
"1","2016-02-19",16.01
"2","2016-02-22",16.530001
"3","2016-02-23",15.85
"4","2016-02-24",15.66
"5","2016-02-25",16.190001
"6","2016-02-26",16.35
"7","2016-02-29",16.35
"8","2016-03-01",17.51
"9","2016-03-02",18.01
"10","2016-03-03",18.469999
"11","2016-03-04",18.41
"12","2016-03-07",18.620001
"13","2016-03-08",18.33
"14","2016-03-09",18.969999
"15","2016-03-10",18.382999
"16","2016-03-11",19.35
"17","2016-03-14",19.1
"18","2016-03-15",18.889999
"19","2016-03-16",19.4
"20","2016-03-17",19.85
"21","2016-03-18",19.780001
"22","2016-03-21",19.469999
"23","2016-03-22",19.27
"24","2016-03-23",18.860001
"25","2016-03-24",18.4
"26","2016-03-28",18.379999
"27","2016-03-29",19.620001
"28","2016-03-30",19.82
"29","2016-03-31",19.940001
"30","2016-04-01",20.32
"31","2016-04-04",20.190001
"32","2016-04-05",20.17
"33","2016-04-06",20.959999
"34","2016-04-07",20.18
"35","2016-04-08",20.4
"36","2016-04-11",20.42
"37","2016-04-12",20.32
"38","2016-04-13",20.139999
"39","2016-04-14",20.190001
"40","2016-04-15",20.24
"41","2016-04-18",20.620001
"42","2016-04-19",20.299999
"43","2016-04-20",20.360001
"44","2016-04-21",19.559999
"45","2016-04-22",19.299999
"46","2016-04-25",18.690001
"47","2016-04-26",19.049999
"48","2016-04-27",18.84
"49","2016-04-28",18.530001
"50","2016-04-29",20
"51","2016-05-02",20.780001
"52","2016-05-03",20.809999
"53","2016-05-04",20.51
"54","2016-05-05",20.809999
"55","2016-05-06",21.1
"56","2016-05-09",21.24
"57","2016-05-10",21.5
"58","2016-05-11",21.52
"59","2016-05-12",21.16
"60","2016-05-13",20.549999
"61","2016-05-16",20.33
"62","2016-05-17",20.27
"63","2016-05-18",20.02
"64","2016-05-19",20.360001
"65","2016-05-20",20.129999
"66","2016-05-23",20.129999
"67","2016-05-24",20.34
"68","2016-05-25",21.41
"69","2016-05-26",21.889999
"70","2016-05-27",21.99
"71","2016-05-31",21.6
"72","2016-06-01",21.959999
"73","2016-06-02",21.969999
"74","2016-06-03",21.709999
"75","2016-06-06",21.98
"76","2016-06-07",22.09
"77","2016-06-08",21.719999
"78","2016-06-09",22.200001
"79","2016-06-10",22.219999
"80","2016-06-13",21.58
"81","2016-06-14",21.41
"82","2016-06-15",21.049999
"83","2016-06-16",21.709999
"84","2016-06-17",20.99
"85","2016-06-20",21.440001
"86","2016-06-21",21.49
"87","2016-06-22",21.5
"88","2016-06-23",22.209999
"89","2016-06-24",20.691
"90","2016-06-27",19.139999
"91","2016-06-28",18.98
"92","2016-06-29",19.09
"93","2016-06-30",19.719999
"94","2016-07-01",19.379999
"95","2016-07-05",19
"96","2016-07-06",18.860001
"97","2016-07-07",18.76
"98","2016-07-08",19.549999
"99","2016-07-11",20
"100","2016-07-12",20.190001
"101","2016-07-13",20.76
"102","2016-07-14",20.48
"103","2016-07-15",21.43
"104","2016-07-18",22.26
"105","2016-07-19",22.629999
"106","2016-07-20",23.440001
"107","2016-07-21",23.440001
"108","2016-07-22",23.02
"109","2016-07-25",24.280001
"110","2016-07-26",23.790001
"111","2016-07-27",24.08
"112","2016-07-28",24.85
"113","2016-07-29",25.4
"114","2016-08-01",25.440001
"115","2016-08-02",24.48
"116","2016-08-03",24.92
"117","2016-08-04",25.559999
"118","2016-08-05",25.35
"119","2016-08-08",25.24
"120","2016-08-09",24.860001
"121","2016-08-10",24.870001
"122","2016-08-11",25.059999
"123","2016-08-12",24.58
"124","2016-08-15",24.74
"125","2016-08-16",24.35
"126","2016-08-17",23.92
"127","2016-08-18",23.940001
"128","2016-08-19",23.98
"129","2016-08-22",23.950001
"130","2016-08-23",24.879999
"131","2016-08-24",24.24
"132","2016-08-25",24.18
"133","2016-08-26",23.85
"134","2016-08-29",24.27
"135","2016-08-30",24.16
"136","2016-08-31",24.07
"137","2016-09-01",24.620001
"138","2016-09-02",25.17
"139","2016-09-06",25.969999
"140","2016-09-07",25.17
