"","date","FBHS"
"1","2011-09-16",12.7
"2","2011-09-19",13.78
"3","2011-09-20",13.7
"4","2011-09-21",13.4
"5","2011-09-22",13.2
"6","2011-09-23",12.25
"7","2011-09-26",12.67
"8","2011-09-27",13.37
"9","2011-09-28",12.85
"10","2011-09-29",13.17
"11","2011-09-30",12.4
"12","2011-10-03",12.3
"13","2011-10-04",12.3
"14","2011-10-05",12.2
"15","2011-10-06",12.76
"16","2011-10-07",12.35
"17","2011-10-10",12.37
"18","2011-10-11",12.48
"19","2011-10-12",12.6
"20","2011-10-13",12.62
"21","2011-10-14",13.01
"22","2011-10-17",13.72
"23","2011-10-18",14.48
"24","2011-10-19",15.06
"25","2011-10-20",14.93
"26","2011-10-21",14.95
"27","2011-10-24",15.8
"28","2011-10-25",14.78
"29","2011-10-26",14.88
"30","2011-10-27",15.42
"31","2011-10-28",14.92
"32","2011-10-31",14.53
"33","2011-11-01",14.67
"34","2011-11-02",15.07
"35","2011-11-03",15
"36","2011-11-04",15
"37","2011-11-07",14.79
"38","2011-11-08",15.09
"39","2011-11-09",14.9
"40","2011-11-10",15.7
"41","2011-11-11",15.25
"42","2011-11-14",15.03
"43","2011-11-15",15.49
"44","2011-11-16",15.04
"45","2011-11-17",15.53
"46","2011-11-18",15.51
"47","2011-11-21",15.26
"48","2011-11-22",15.37
"49","2011-11-23",15.31
"50","2011-11-25",15.45
"51","2011-11-28",15.97
"52","2011-11-29",16.01
"53","2011-11-30",16.68
"54","2011-12-01",15.99
"55","2011-12-02",16.52
"56","2011-12-05",16.450001
"57","2011-12-06",16.469999
"58","2011-12-07",16.450001
"59","2011-12-08",16.41
"60","2011-12-09",17.01
"61","2011-12-12",16.32
"62","2011-12-13",15.78
"63","2011-12-14",15.98
"64","2011-12-15",15.91
"65","2011-12-16",15.59
"66","2011-12-19",15.33
"67","2011-12-20",15.75
"68","2011-12-21",16.200001
"69","2011-12-22",16.450001
"70","2011-12-23",16.700001
"71","2011-12-27",16.65
"72","2011-12-28",16.389999
"73","2011-12-29",16.639999
"74","2011-12-30",17.030001
"75","2012-01-03",16.82
"76","2012-01-04",17.030001
"77","2012-01-05",17.33
"78","2012-01-06",17.65
"79","2012-01-09",17.780001
"80","2012-01-10",18.02
"81","2012-01-11",17.98
"82","2012-01-12",18.290001
"83","2012-01-13",18.219999
"84","2012-01-17",17.92
"85","2012-01-18",17.809999
"86","2012-01-19",18.1
"87","2012-01-20",17.889999
"88","2012-01-23",17.780001
"89","2012-01-24",17.860001
"90","2012-01-25",17.9
"91","2012-01-26",17.91
"92","2012-01-27",17.950001
"93","2012-01-30",18.32
"94","2012-01-31",18.57
