"","date","GRTX"
"1","2019-11-07",12
"2","2019-11-08",12
"3","2019-11-11",12.08
"4","2019-11-12",13.05
"5","2019-11-13",13.25
"6","2019-11-14",13.25
"7","2019-11-15",11.79
"8","2019-11-18",12.76
"9","2019-11-19",13.69
"10","2019-11-20",13.9
"11","2019-11-21",12.18
"12","2019-11-22",12.39
"13","2019-11-25",12.58
"14","2019-11-26",12.9
"15","2019-11-27",12.57
"16","2019-11-29",12.53
"17","2019-12-02",12.07
"18","2019-12-03",12.02
"19","2019-12-04",12
"20","2019-12-05",10.9
"21","2019-12-06",10.8
"22","2019-12-09",10
"23","2019-12-10",9.5
"24","2019-12-11",9.82
"25","2019-12-12",9.13
"26","2019-12-13",9.84
"27","2019-12-16",10
"28","2019-12-17",11.18
"29","2019-12-18",13.27
"30","2019-12-19",13.63
"31","2019-12-20",13.73
"32","2019-12-23",13.77
"33","2019-12-24",12.6
"34","2019-12-26",13.88
"35","2019-12-27",13.73
"36","2019-12-30",13.2
"37","2019-12-31",13.16
"38","2020-01-02",13.88
"39","2020-01-03",14.35
"40","2020-01-06",14.5
"41","2020-01-07",15.65
"42","2020-01-08",15.1
"43","2020-01-09",15
"44","2020-01-10",14.69
"45","2020-01-13",14.23
"46","2020-01-14",15
"47","2020-01-15",14.21
"48","2020-01-16",13.86
"49","2020-01-17",13.42
"50","2020-01-21",12.67
"51","2020-01-22",12.86
"52","2020-01-23",12.79
"53","2020-01-24",12.68
"54","2020-01-27",11.69
"55","2020-01-28",13.21
"56","2020-01-29",13.93
"57","2020-01-30",13.89
"58","2020-01-31",14.84
"59","2020-02-03",13.21
"60","2020-02-04",13.53
"61","2020-02-05",13.38
"62","2020-02-06",13.63
"63","2020-02-07",13.53
"64","2020-02-10",13.66
"65","2020-02-11",14.38
"66","2020-02-12",13.84
"67","2020-02-13",14.04
"68","2020-02-14",13.95
"69","2020-02-18",14.34
"70","2020-02-19",15.35
"71","2020-02-20",15.54
"72","2020-02-21",15.86
"73","2020-02-24",14.69
"74","2020-02-25",14.95
"75","2020-02-26",15.12
"76","2020-02-27",15.95
"77","2020-02-28",17.08
"78","2020-03-02",17.67
"79","2020-03-03",16.690001
"80","2020-03-04",16.360001
"81","2020-03-05",15.42
"82","2020-03-06",13.7
"83","2020-03-09",11.5
"84","2020-03-10",11.24
"85","2020-03-11",10.93
"86","2020-03-12",8.47
"87","2020-03-13",8.76
"88","2020-03-16",6.52
"89","2020-03-17",6.52
"90","2020-03-18",5.89
"91","2020-03-19",6.74
"92","2020-03-20",8.67
"93","2020-03-23",8.34
"94","2020-03-24",9.5
"95","2020-03-25",9.25
"96","2020-03-26",9.5
"97","2020-03-27",9.03
"98","2020-03-30",10.32
"99","2020-03-31",9.5
"100","2020-04-01",9.53
"101","2020-04-02",9.52
"102","2020-04-03",9.5
"103","2020-04-06",10.42
"104","2020-04-07",10.57
"105","2020-04-08",10.75
"106","2020-04-09",10.28
"107","2020-04-13",10.51
"108","2020-04-14",10.5
"109","2020-04-15",10.5
"110","2020-04-16",11.02
"111","2020-04-17",11.5
"112","2020-04-20",12.38
"113","2020-04-21",13
"114","2020-04-22",12.43
"115","2020-04-23",13.07
"116","2020-04-24",12.76
"117","2020-04-27",12.99
"118","2020-04-28",12.43
"119","2020-04-29",14.41
"120","2020-04-30",13.66
"121","2020-05-01",12.35
"122","2020-05-04",12.6
"123","2020-05-05",11.06
"124","2020-05-06",11.51
"125","2020-05-07",12
"126","2020-05-08",11.7
"127","2020-05-11",11.8
"128","2020-05-12",11.65
"129","2020-05-13",10.81
"130","2020-05-14",11
