"","date","HIFS"
"1","2007-01-03",34.009998
"2","2007-01-04",34.25
"3","2007-01-05",35.110001
"4","2007-01-08",34.630001
"5","2007-01-09",35.34
"6","2007-01-10",35.34
"7","2007-01-11",35.34
"8","2007-01-12",35.599998
"9","2007-01-16",34.900002
"10","2007-01-17",34.900002
"11","2007-01-18",34.900002
"12","2007-01-19",34.900002
"13","2007-01-22",34.900002
"14","2007-01-23",34.900002
"15","2007-01-24",36.290001
"16","2007-01-25",36.599998
"17","2007-01-26",36.599998
"18","2007-01-29",36.029999
"19","2007-01-30",35.84
"20","2007-01-31",35.84
"21","2007-02-01",35.84
"22","2007-02-02",36
"23","2007-02-05",36
"24","2007-02-06",36
"25","2007-02-07",36.529999
"26","2007-02-08",36.529999
"27","2007-02-09",36.91
"28","2007-02-12",36.91
"29","2007-02-13",36
"30","2007-02-14",35.700001
"31","2007-02-15",35.700001
"32","2007-02-16",35.700001
"33","2007-02-20",35.700001
"34","2007-02-21",35.75
"35","2007-02-22",35.75
"36","2007-02-23",35.990002
"37","2007-02-26",35.990002
"38","2007-02-27",35.990002
"39","2007-02-28",36.310001
"40","2007-03-01",36.310001
"41","2007-03-02",36.310001
"42","2007-03-05",36.310001
"43","2007-03-06",35.73
"44","2007-03-07",35.73
"45","2007-03-08",36.349998
"46","2007-03-09",36.349998
"47","2007-03-12",36.349998
"48","2007-03-13",36.349998
"49","2007-03-14",36.349998
"50","2007-03-15",36.349998
"51","2007-03-16",36.349998
"52","2007-03-19",36.349998
"53","2007-03-20",36.34
"54","2007-03-21",36.34
"55","2007-03-22",34.52
"56","2007-03-23",34.889999
"57","2007-03-26",34.049999
"58","2007-03-27",34.740002
"59","2007-03-28",34.75
"60","2007-03-29",34.75
"61","2007-03-30",34.75
"62","2007-04-02",34.900002
"63","2007-04-03",34.560001
"64","2007-04-04",34.560001
"65","2007-04-05",34.450001
"66","2007-04-09",33.349998
"67","2007-04-10",33.349998
"68","2007-04-11",33.950001
"69","2007-04-12",33.950001
"70","2007-04-13",33.950001
"71","2007-04-16",33.950001
"72","2007-04-17",33.950001
"73","2007-04-18",33.950001
"74","2007-04-19",33.09
"75","2007-04-20",33.5
"76","2007-04-23",33.299999
"77","2007-04-24",33.419998
"78","2007-04-25",33.419998
"79","2007-04-26",33.040001
"80","2007-04-27",33.5
"81","2007-04-30",33.5
"82","2007-05-01",33.5
"83","2007-05-02",34.040001
"84","2007-05-03",34.040001
"85","2007-05-04",33.52
"86","2007-05-07",34
"87","2007-05-08",34
"88","2007-05-09",34
"89","2007-05-10",33.57
"90","2007-05-11",33.57
"91","2007-05-14",33.57
"92","2007-05-15",33.57
"93","2007-05-16",33.5
"94","2007-05-17",33.299999
"95","2007-05-18",33
"96","2007-05-21",33
"97","2007-05-22",32.75
"98","2007-05-23",32.75
"99","2007-05-24",32.75
"100","2007-05-25",32.75
"101","2007-05-29",32.75
"102","2007-05-30",32.889999
"103","2007-05-31",32.790001
"104","2007-06-01",32.790001
"105","2007-06-04",32.049999
"106","2007-06-05",31.799999
"107","2007-06-06",31.799999
"108","2007-06-07",32.25
"109","2007-06-08",31.530001
"110","2007-06-11",31.530001
"111","2007-06-12",32.110001
"112","2007-06-13",31.540001
"113","2007-06-14",31.540001
"114","2007-06-15",31.540001
"115","2007-06-18",31.91
"116","2007-06-19",31.18
"117","2007-06-20",31.18
"118","2007-06-21",31.15
"119","2007-06-22",31.15
"120","2007-06-25",30.799999
"121","2007-06-26",31.110001
"122","2007-06-27",31.4
"123","2007-06-28",31.559999
"124","2007-06-29",31.5
"125","2007-07-02",31.5
"126","2007-07-03",31.5
"127","2007-07-05",31.5
"128","2007-07-06",31.5
"129","2007-07-09",31.5
"130","2007-07-10",31.15
"131","2007-07-11",31.16
"132","2007-07-12",31.15
"133","2007-07-13",32
"134","2007-07-16",32
"135","2007-07-17",31.700001
"136","2007-07-18",31.700001
"137","2007-07-19",31.700001
"138","2007-07-20",31.700001
"139","2007-07-23",31.49
"140","2007-07-24",31.950001
"141","2007-07-25",30.809999
"142","2007-07-26",30.809999
"143","2007-07-27",31.82
"144","2007-07-30",31.389999
"145","2007-07-31",31.389999
"146","2007-08-01",31.98
"147","2007-08-02",31.99
"148","2007-08-03",31.99
"149","2007-08-06",29.030001
"150","2007-08-07",30.24
"151","2007-08-08",30.559999
"152","2007-08-09",30.559999
"153","2007-08-10",30.24
"154","2007-08-13",30.25
"155","2007-08-14",30.25
"156","2007-08-15",29.76
"157","2007-08-16",30
"158","2007-08-17",30
"159","2007-08-20",30
"160","2007-08-21",30
"161","2007-08-22",30
"162","2007-08-23",29.1
"163","2007-08-24",30
"164","2007-08-27",30
"165","2007-08-28",30
"166","2007-08-29",30
"167","2007-08-30",30
"168","2007-08-31",30
"169","2007-09-04",30
"170","2007-09-05",29.209999
"171","2007-09-06",29.209999
"172","2007-09-07",29.65
"173","2007-09-10",30.42
"174","2007-09-11",30.42
