"","date","TCMD"
"1","2016-07-28",11.08
"2","2016-07-29",11.26
"3","2016-08-01",12.07
"4","2016-08-02",13.16
"5","2016-08-03",13.65
"6","2016-08-04",13.53
"7","2016-08-05",14.08
"8","2016-08-08",13.82
"9","2016-08-09",14.09
"10","2016-08-10",14.09
"11","2016-08-11",14
"12","2016-08-12",13.88
"13","2016-08-15",13.67
"14","2016-08-16",13.64
"15","2016-08-17",13.45
"16","2016-08-18",13.25
"17","2016-08-19",13.23
"18","2016-08-22",12.85
"19","2016-08-23",13.2
"20","2016-08-24",13.59
"21","2016-08-25",13.6
"22","2016-08-26",13.57
"23","2016-08-29",13.77
"24","2016-08-30",13.71
"25","2016-08-31",14.528
"26","2016-09-01",15.02
"27","2016-09-02",14.87
"28","2016-09-06",15.075
"29","2016-09-07",15.86
"30","2016-09-08",16.1
"31","2016-09-09",15.95
"32","2016-09-12",15.66
"33","2016-09-13",16.549999
"34","2016-09-14",18.1
"35","2016-09-15",18.66
"36","2016-09-16",19.52
"37","2016-09-19",17.98
"38","2016-09-20",19.25
"39","2016-09-21",19.16
"40","2016-09-22",19.200001
"41","2016-09-23",20.18
"42","2016-09-26",19.950001
"43","2016-09-27",18.940001
"44","2016-09-28",19.139999
"45","2016-09-29",17.5
"46","2016-09-30",18.700001
"47","2016-10-03",18.450001
"48","2016-10-04",18.139999
"49","2016-10-05",19.030001
"50","2016-10-06",18.84
"51","2016-10-07",19.870001
"52","2016-10-10",19.59
"53","2016-10-11",19.02
"54","2016-10-12",18.450001
"55","2016-10-13",19.030001
"56","2016-10-14",18.299999
"57","2016-10-17",19.120001
"58","2016-10-18",19.030001
"59","2016-10-19",19.190001
"60","2016-10-20",18.99
"61","2016-10-21",18.83
"62","2016-10-24",19.33
"63","2016-10-25",19.5
"64","2016-10-26",18.709999
"65","2016-10-27",17.5
"66","2016-10-28",17.52
"67","2016-10-31",17.764999
"68","2016-11-01",17.34
"69","2016-11-02",17.57
"70","2016-11-03",16.860001
"71","2016-11-04",17.35
"72","2016-11-07",17.57
"73","2016-11-08",17.040001
"74","2016-11-09",17.18
"75","2016-11-10",18.280001
"76","2016-11-11",18.49
"77","2016-11-14",17.35
"78","2016-11-15",17.540001
"79","2016-11-16",18
"80","2016-11-17",18.809999
"81","2016-11-18",18.450001
"82","2016-11-21",18.34
"83","2016-11-22",18.110001
"84","2016-11-23",16.98
"85","2016-11-25",16.700001
"86","2016-11-28",16.23
"87","2016-11-29",16.41
"88","2016-11-30",16.33
"89","2016-12-01",15.98
"90","2016-12-02",15.07
"91","2016-12-05",14.9
"92","2016-12-06",15.11
"93","2016-12-07",15.18
"94","2016-12-08",15.77
"95","2016-12-09",15.28
"96","2016-12-12",15.31
"97","2016-12-13",15.98
"98","2016-12-14",15.83
"99","2016-12-15",15.77
"100","2016-12-16",15.73
"101","2016-12-19",16.07
"102","2016-12-20",16
"103","2016-12-21",15.82
"104","2016-12-22",16
"105","2016-12-23",16.309999
"106","2016-12-27",16.200001
"107","2016-12-28",16.25
"108","2016-12-29",16.469999
"109","2016-12-30",16.41
"110","2017-01-03",15.7
"111","2017-01-04",16
"112","2017-01-05",15.89
"113","2017-01-06",15.4
"114","2017-01-09",15.46
"115","2017-01-10",15.5
"116","2017-01-11",15.44
"117","2017-01-12",15
"118","2017-01-13",15.17
"119","2017-01-17",15.17
"120","2017-01-18",15.35
"121","2017-01-19",15.47
"122","2017-01-20",16.34
"123","2017-01-23",16.48
"124","2017-01-24",16.1
"125","2017-01-25",15.89
"126","2017-01-26",15.88
"127","2017-01-27",14.82
"128","2017-01-30",14.92
"129","2017-01-31",15.41
"130","2017-02-01",15.61
"131","2017-02-02",15.86
"132","2017-02-03",16.08
"133","2017-02-06",16.07
"134","2017-02-07",16
"135","2017-02-08",15.83
"136","2017-02-09",15.9
"137","2017-02-10",15.32
"138","2017-02-13",15.13
"139","2017-02-14",15.48
"140","2017-02-15",15.76
"141","2017-02-16",15.86
"142","2017-02-17",16
"143","2017-02-21",16.5
"144","2017-02-22",16.43
"145","2017-02-23",17.09
"146","2017-02-24",17.190001
"147","2017-02-27",17.26
"148","2017-02-28",20.23
"149","2017-03-01",20.33
"150","2017-03-02",18.48
"151","2017-03-03",18.950001
"152","2017-03-06",19
"153","2017-03-07",19.559999
"154","2017-03-08",19.860001
"155","2017-03-09",20.690001
"156","2017-03-10",20.66
"157","2017-03-13",19.99
"158","2017-03-14",18.559999
"159","2017-03-15",18.200001
"160","2017-03-16",17.969999
