"","date","LYFT"
"1","2019-03-29",78.290001
"2","2019-04-01",69.010002
"3","2019-04-02",68.970001
"4","2019-04-03",70
"5","2019-04-04",72
"6","2019-04-05",74.449997
"7","2019-04-08",70.230003
"8","2019-04-09",67.440002
"9","2019-04-10",60.119999
"10","2019-04-11",61.009998
"11","2019-04-12",59.895
"12","2019-04-15",56.110001
"13","2019-04-16",56.25
"14","2019-04-17",59.509998
"15","2019-04-18",58.360001
"16","2019-04-22",60.939999
"17","2019-04-23",60.25
"18","2019-04-24",57.82
"19","2019-04-25",56.34
"20","2019-04-26",57.240002
"21","2019-04-29",60.59
"22","2019-04-30",59.799999
"23","2019-05-01",58.75
"24","2019-05-02",61.5
"25","2019-05-03",62.509998
"26","2019-05-06",60.57
"27","2019-05-07",59.34
"28","2019-05-08",52.91
"29","2019-05-09",55.18
"30","2019-05-10",51.09
"31","2019-05-13",48.150002
"32","2019-05-14",50.52
"33","2019-05-15",54.040001
"34","2019-05-16",55.599998
"35","2019-05-17",53.790001
"36","2019-05-20",54.630001
"37","2019-05-21",55.509998
"38","2019-05-22",57.880001
"39","2019-05-23",58.110001
"40","2019-05-24",57.099998
"41","2019-05-28",56.889999
"42","2019-05-29",56.259998
"43","2019-05-30",54.830002
"44","2019-05-31",57.619999
"45","2019-06-03",59.540001
"46","2019-06-04",59.169998
"47","2019-06-05",63.009998
"48","2019-06-06",61.630001
"49","2019-06-07",59.259998
"50","2019-06-10",56.759998
"51","2019-06-11",58.07
"52","2019-06-12",58.41
"53","2019-06-13",61.209999
"54","2019-06-14",60.959999
"55","2019-06-17",63.599998
"56","2019-06-18",64.400002
"57","2019-06-19",63.549999
"58","2019-06-20",62.84
"59","2019-06-21",64.260002
"60","2019-06-24",63.759998
"61","2019-06-25",64.040001
"62","2019-06-26",62.970001
"63","2019-06-27",65.269997
"64","2019-06-28",65.709999
"65","2019-07-01",62
"66","2019-07-02",60.349998
"67","2019-07-03",60.599998
"68","2019-07-05",59.389999
"69","2019-07-08",59.790001
"70","2019-07-09",61.830002
"71","2019-07-10",62.299999
"72","2019-07-11",61.849998
"73","2019-07-12",64.25
"74","2019-07-15",64.790001
"75","2019-07-16",64.800003
"76","2019-07-17",65.169998
"77","2019-07-18",66
"78","2019-07-19",67.449997
"79","2019-07-22",66
"80","2019-07-23",64.93
"81","2019-07-24",65.230003
"82","2019-07-25",65.010002
"83","2019-07-26",65.519997
"84","2019-07-29",64.029999
"85","2019-07-30",62.459999
"86","2019-07-31",60.869999
"87","2019-08-01",59.77
"88","2019-08-02",58.610001
"89","2019-08-05",59.509998
"90","2019-08-06",58.700001
"91","2019-08-07",60.290001
"92","2019-08-08",62.099998
"93","2019-08-09",59.119999
"94","2019-08-12",56.18
"95","2019-08-13",58.080002
"96","2019-08-14",54.490002
"97","2019-08-15",52.799999
"98","2019-08-16",52.470001
"99","2019-08-19",51.68
"100","2019-08-20",53.650002
"101","2019-08-21",54.150002
"102","2019-08-22",51.360001
"103","2019-08-23",49.110001
"104","2019-08-26",51.209999
"105","2019-08-27",49.610001
"106","2019-08-28",48.84
"107","2019-08-29",49.73
