"","date","ADMA"
"1","2013-10-17",8.55
"2","2013-10-18",8.53
"3","2013-10-21",8.4
"4","2013-10-22",8.45
"5","2013-10-23",8.49
"6","2013-10-24",8.4
"7","2013-10-25",8.4
"8","2013-10-28",8.5
"9","2013-10-29",8.4
"10","2013-10-30",8.4
"11","2013-10-31",8.3
"12","2013-11-01",8.31
"13","2013-11-04",8.4
"14","2013-11-05",8.3
"15","2013-11-06",8.25
"16","2013-11-07",8.25
"17","2013-11-08",8.15
"18","2013-11-11",8
"19","2013-11-12",7.95
"20","2013-11-13",8.4
"21","2013-11-14",8.5
"22","2013-11-15",8.5
"23","2013-11-18",8.55
"24","2013-11-19",8.15
"25","2013-11-20",8.02
"26","2013-11-21",8.1
"27","2013-11-22",8.15
"28","2013-11-25",7.96
"29","2013-11-26",7.95
"30","2013-11-27",7.95
"31","2013-11-29",8
"32","2013-12-02",7.95
"33","2013-12-03",7.96
"34","2013-12-04",7.67
"35","2013-12-05",7.4
"36","2013-12-06",7.41
"37","2013-12-09",7.15
"38","2013-12-10",8.15
"39","2013-12-11",7.3
"40","2013-12-12",7.2
"41","2013-12-13",7.21
"42","2013-12-16",7.75
"43","2013-12-17",7.3
"44","2013-12-18",7.21
"45","2013-12-19",7.21
"46","2013-12-20",7.21
"47","2013-12-23",6.8
"48","2013-12-24",6.85
"49","2013-12-26",6.87
"50","2013-12-27",6.85
"51","2013-12-30",7.25
"52","2013-12-31",7.8
"53","2014-01-02",7.5
"54","2014-01-03",7.85
"55","2014-01-06",7.85
"56","2014-01-07",8
"57","2014-01-08",7.5
"58","2014-01-09",7.5
"59","2014-01-10",7.99
"60","2014-01-13",7.56
"61","2014-01-14",7.56
"62","2014-01-15",7.56
"63","2014-01-16",7.95
"64","2014-01-17",8.5
"65","2014-01-21",8.1
"66","2014-01-22",8.3
"67","2014-01-23",8.3
"68","2014-01-24",8.3
"69","2014-01-27",8.797
"70","2014-01-28",8.6
"71","2014-01-29",8.55
"72","2014-01-30",8.55
"73","2014-01-31",8.6
"74","2014-02-03",8.2
"75","2014-02-04",8.4
"76","2014-02-05",8.4
"77","2014-02-06",8.4
"78","2014-02-07",8.7
"79","2014-02-10",8.4
"80","2014-02-11",8.4
"81","2014-02-12",8.4
"82","2014-02-13",8.4
"83","2014-02-14",8.5
"84","2014-02-18",8.4
"85","2014-02-19",8.5
"86","2014-02-20",8.6
"87","2014-02-21",8.5
"88","2014-02-24",8.5
"89","2014-02-25",8.5
"90","2014-02-26",8.5
"91","2014-02-27",8.5
"92","2014-02-28",8.51
"93","2014-03-03",9
"94","2014-03-04",8.51
"95","2014-03-05",8.65
"96","2014-03-06",8.85
"97","2014-03-07",8.9
"98","2014-03-10",8.31
"99","2014-03-11",8.9
"100","2014-03-12",8.75
"101","2014-03-13",8.42
"102","2014-03-14",8.9
"103","2014-03-17",8.5
"104","2014-03-18",8.5
"105","2014-03-19",8.5
"106","2014-03-20",8.5
"107","2014-03-21",8.5
"108","2014-03-24",8.35
"109","2014-03-25",8.3
"110","2014-03-26",8.3
"111","2014-03-27",8.35
"112","2014-03-28",8.35
"113","2014-03-31",8.35
"114","2014-04-01",8.25
"115","2014-04-02",8.3
"116","2014-04-03",8.2
"117","2014-04-04",8.3
"118","2014-04-07",8.25
"119","2014-04-08",8.35
"120","2014-04-09",8.35
"121","2014-04-10",8.2
"122","2014-04-11",8.05
"123","2014-04-14",8
"124","2014-04-15",8
"125","2014-04-16",8
"126","2014-04-17",8
"127","2014-04-21",8
"128","2014-04-22",7.75
"129","2014-04-23",7.7
"130","2014-04-24",7.75
"131","2014-04-25",7.7
"132","2014-04-28",7.53
"133","2014-04-29",7.4
"134","2014-04-30",7.75
"135","2014-05-01",7.5
"136","2014-05-02",7.5
"137","2014-05-05",7.5
"138","2014-05-06",7.5
"139","2014-05-07",7.5
"140","2014-05-08",7.45
"141","2014-05-09",7.35
"142","2014-05-12",7.3
"143","2014-05-13",7.3
"144","2014-05-14",7.5
"145","2014-05-15",7.39
"146","2014-05-16",7.5
"147","2014-05-19",8.45
"148","2014-05-20",8.45
"149","2014-05-21",8
"150","2014-05-22",8.05
"151","2014-05-23",8.5
"152","2014-05-27",8.75
"153","2014-05-28",8.75
"154","2014-05-29",8.75
"155","2014-05-30",8.75
"156","2014-06-02",8.75
"157","2014-06-03",9.5
"158","2014-06-04",9.25
"159","2014-06-05",9.25
"160","2014-06-06",9.2
"161","2014-06-09",9.2
"162","2014-06-10",9.21
"163","2014-06-11",9.11
"164","2014-06-12",9.11
"165","2014-06-13",9.1
"166","2014-06-16",9.1
"167","2014-06-17",9.59
"168","2014-06-18",9.6
"169","2014-06-19",9.8
"170","2014-06-20",9.95
"171","2014-06-23",9.9
"172","2014-06-24",9.3
"173","2014-06-25",9.45
"174","2014-06-26",9.5
"175","2014-06-27",9.4
"176","2014-06-30",9.75
"177","2014-07-01",9.65
"178","2014-07-02",9.7
"179","2014-07-03",9.7
"180","2014-07-07",10.5
"181","2014-07-08",10.5
"182","2014-07-09",10.5
"183","2014-07-10",10.25
"184","2014-07-11",10.25
"185","2014-07-14",10.45
"186","2014-07-15",10.3
"187","2014-07-16",10.15
"188","2014-07-17",10.15
"189","2014-07-18",10.15
"190","2014-07-21",10
"191","2014-07-22",10
"192","2014-07-23",10
"193","2014-07-24",10
"194","2014-07-25",9.97
"195","2014-07-28",9.97
"196","2014-07-29",9.97
"197","2014-07-30",9.9
"198","2014-07-31",9.9
"199","2014-08-01",9.75
"200","2014-08-04",9.8
"201","2014-08-05",9.8
"202","2014-08-06",9.95
"203","2014-08-07",9.75
"204","2014-08-08",9.75
"205","2014-08-11",9.8
"206","2014-08-12",9.8
"207","2014-08-13",9.85
"208","2014-08-14",9.75
"209","2014-08-15",9.77
"210","2014-08-18",9.6
"211","2014-08-19",9.6
"212","2014-08-20",9.5
"213","2014-08-21",9.5
"214","2014-08-22",9.5
"215","2014-08-25",9.25
"216","2014-08-26",9.35
"217","2014-08-27",9.2
"218","2014-08-28",9.3
"219","2014-08-29",9.35
"220","2014-09-02",9.7
"221","2014-09-03",9.75
"222","2014-09-04",9.75
"223","2014-09-05",9.85
"224","2014-09-08",9.85
"225","2014-09-09",9.9
"226","2014-09-10",9.85
"227","2014-09-11",10
"228","2014-09-12",10
"229","2014-09-15",9.85
"230","2014-09-16",9.85
"231","2014-09-17",9.78
"232","2014-09-18",9.8
"233","2014-09-19",9.75
"234","2014-09-22",9.75
"235","2014-09-23",10
"236","2014-09-24",10
"237","2014-09-25",10.2
"238","2014-09-26",10.25
"239","2014-09-29",10.25
"240","2014-09-30",10.3
"241","2014-10-01",10.45
"242","2014-10-02",10.75
"243","2014-10-03",11.5
"244","2014-10-06",11.75
"245","2014-10-07",10.95
"246","2014-10-08",10.95
"247","2014-10-09",11
"248","2014-10-10",11.3
"249","2014-10-13",11.48
"250","2014-10-14",11.75
"251","2014-10-15",11.7
"252","2014-10-16",11.7
"253","2014-10-17",11.75
"254","2014-10-20",12.05
"255","2014-10-21",12.05
"256","2014-10-22",12.05
"257","2014-10-23",11.75
"258","2014-10-24",12
"259","2014-10-27",12
"260","2014-10-28",12
"261","2014-10-29",12
"262","2014-10-30",12
"263","2014-10-31",11.75
"264","2014-11-03",11.85
"265","2014-11-04",11.9
"266","2014-11-05",11.9
"267","2014-11-06",12.5
"268","2014-11-07",12.25
"269","2014-11-10",12
"270","2014-11-11",12.45
"271","2014-11-12",12.25
"272","2014-11-13",12.2
"273","2014-11-14",12.45
"274","2014-11-17",11.8
"275","2014-11-18",12.05
"276","2014-11-19",12.12
"277","2014-11-20",12.083
"278","2014-11-21",11.76
"279","2014-11-24",11.97
"280","2014-11-25",12.49
"281","2014-11-26",12.397
"282","2014-11-28",12.37
"283","2014-12-01",11.919
"284","2014-12-02",11.919
"285","2014-12-03",10.61
"286","2014-12-04",10.8
"287","2014-12-05",10.4
"288","2014-12-08",10.75
"289","2014-12-09",10.62
"290","2014-12-10",10.99
"291","2014-12-11",11
"292","2014-12-12",11
"293","2014-12-15",10.99
"294","2014-12-16",10.9
"295","2014-12-17",11.07
"296","2014-12-18",10.85
"297","2014-12-19",10.55
"298","2014-12-22",11.29
"299","2014-12-23",11.1
"300","2014-12-24",10.98
"301","2014-12-26",11.1
"302","2014-12-29",11
"303","2014-12-30",11
"304","2014-12-31",11.17
"305","2015-01-02",11.45
