"","date","RBNC"
"1","2012-10-02",10
"2","2012-10-03",10
"3","2012-10-04",10
"4","2012-10-05",10
"5","2012-10-08",10
"6","2012-10-09",10
"7","2012-10-10",9.65
"8","2012-10-11",9.65
"9","2012-10-12",9.65
"10","2012-10-15",9.65
"11","2012-10-16",9.65
"12","2012-10-17",9.65
"13","2012-10-18",9.65
"14","2012-10-19",9.65
"15","2012-10-22",9.65
"16","2012-10-23",9.65
"17","2012-10-24",9.65
"18","2012-10-25",9.3
"19","2012-10-26",9.4
"20","2012-10-31",9.5
"21","2012-11-01",9.5
"22","2012-11-02",9.5
"23","2012-11-05",9.5
"24","2012-11-06",9.55
"25","2012-11-07",9.55
"26","2012-11-08",9.55
"27","2012-11-09",9.5
"28","2012-11-12",9.5
"29","2012-11-13",9.5
"30","2012-11-14",9.5
"31","2012-11-15",9.5
"32","2012-11-16",9.35
"33","2012-11-19",9.04
"34","2012-11-20",9.15
"35","2012-11-21",9.05
"36","2012-11-23",9.05
"37","2012-11-26",9.15
"38","2012-11-27",9.1
"39","2012-11-28",9.1
"40","2012-11-29",9.1
"41","2012-11-30",9.1
"42","2012-12-03",9.6
"43","2012-12-04",9.6
"44","2012-12-05",9.6
"45","2012-12-06",9.35
"46","2012-12-07",9.35
"47","2012-12-10",9.6
"48","2012-12-11",9.6
"49","2012-12-12",9.6
"50","2012-12-13",9.6
"51","2012-12-14",9.6
"52","2012-12-17",9.6
"53","2012-12-18",9.6
"54","2012-12-19",9.6
"55","2012-12-20",9.6
"56","2012-12-21",9.6
"57","2012-12-24",9.6
"58","2012-12-26",9.6
"59","2012-12-27",9.6
"60","2012-12-28",9.6
"61","2012-12-31",9.6
"62","2013-01-02",9.6
"63","2013-01-03",9.6
"64","2013-01-04",9.6
"65","2013-01-07",9.6
"66","2013-01-08",9
"67","2013-01-09",9
"68","2013-01-10",9
"69","2013-01-11",9
"70","2013-01-14",9
"71","2013-01-15",9
"72","2013-01-16",9
"73","2013-01-17",9
"74","2013-01-18",9
"75","2013-01-22",9
"76","2013-01-23",9
"77","2013-01-24",9
"78","2013-01-25",9
"79","2013-01-28",9
"80","2013-01-29",9
"81","2013-01-30",9
"82","2013-01-31",9
"83","2013-02-01",9.25
"84","2013-02-04",9.25
"85","2013-02-05",9.25
"86","2013-02-06",9.25
"87","2013-02-07",9.25
"88","2013-02-08",9.25
"89","2013-02-11",9.5
"90","2013-02-12",9.5
"91","2013-02-13",9.5
"92","2013-02-14",9.5
"93","2013-02-15",9.5
"94","2013-02-19",9.5
"95","2013-02-20",9.5
"96","2013-02-21",9.55
"97","2013-02-22",9.55
"98","2013-02-25",9.55
"99","2013-02-26",9.55
"100","2013-02-27",9.55
"101","2013-02-28",9.55
"102","2013-03-01",9.55
"103","2013-03-04",9.55
"104","2013-03-05",9.55
"105","2013-03-06",9.55
"106","2013-03-07",9.55
"107","2013-03-08",9.55
"108","2013-03-11",9.55
"109","2013-03-12",9.55
"110","2013-03-13",9.55
"111","2013-03-14",9.55
"112","2013-03-15",9.55
"113","2013-03-18",9.55
"114","2013-03-19",9.55
"115","2013-03-20",9.47
"116","2013-03-21",9.47
"117","2013-03-22",9.47
"118","2013-03-25",9.47
"119","2013-03-26",9.47
"120","2013-03-27",9.47
"121","2013-03-28",9.47
"122","2013-04-01",9.47
"123","2013-04-02",9.5
"124","2013-04-03",9.6
"125","2013-04-04",9.6
"126","2013-04-05",9.5
"127","2013-04-08",9.5
"128","2013-04-09",9.5
"129","2013-04-10",9.5
"130","2013-04-11",9.5
"131","2013-04-12",9.5
"132","2013-04-15",9.5
"133","2013-04-16",9.5
"134","2013-04-17",9.5
"135","2013-04-18",9.5
"136","2013-04-19",9.5
"137","2013-04-22",9.5
"138","2013-04-23",9.5
"139","2013-04-24",9.5
"140","2013-04-25",9.5
"141","2013-04-26",9.5
"142","2013-04-29",9.29
"143","2013-04-30",9.29
"144","2013-05-01",9.29
"145","2013-05-02",9.29
"146","2013-05-03",9.29
"147","2013-05-06",9.29
"148","2013-05-07",9.29
"149","2013-05-08",9.29
"150","2013-05-09",9.29
"151","2013-05-10",9.29
"152","2013-05-13",9.29
"153","2013-05-14",9.29
"154","2013-05-15",9.29
"155","2013-05-16",9.29
"156","2013-05-17",9.29
"157","2013-05-20",9.29
"158","2013-05-21",9.29
"159","2013-05-22",9.4
"160","2013-05-23",9.4
"161","2013-05-24",9.4
"162","2013-05-28",9.4
"163","2013-05-29",9.4
"164","2013-05-30",9.3
"165","2013-05-31",9.3
"166","2013-06-03",9.3
"167","2013-06-04",9.3
"168","2013-06-05",9.3
"169","2013-06-06",9.4
"170","2013-06-07",9.4
"171","2013-06-10",9.4
"172","2013-06-11",9.4
"173","2013-06-12",9.4
"174","2013-06-13",9.4
"175","2013-06-14",9.4
"176","2013-06-17",9.4
"177","2013-06-18",9.4
"178","2013-06-19",9.4
"179","2013-06-20",9.4
"180","2013-06-21",9.4
"181","2013-06-24",9.4
"182","2013-06-25",9.4
"183","2013-06-26",9.4
"184","2013-06-27",9.4
"185","2013-06-28",9.4
