"","date","WSTL"
"1","2007-01-03",10.52
"2","2007-01-04",10.96
"3","2007-01-05",10.64
"4","2007-01-08",10.68
"5","2007-01-09",10.84
"6","2007-01-10",11.04
"7","2007-01-11",12
"8","2007-01-12",11.88
"9","2007-01-16",11.96
"10","2007-01-17",12.48
"11","2007-01-18",12.44
"12","2007-01-19",12.08
"13","2007-01-22",11.32
"14","2007-01-23",11.52
"15","2007-01-24",11.76
"16","2007-01-25",10.08
"17","2007-01-26",9.48
"18","2007-01-29",9
"19","2007-01-30",9.04
"20","2007-01-31",9.12
"21","2007-02-01",9.52
"22","2007-02-02",9.64
"23","2007-02-05",9.52
"24","2007-02-06",9.36
"25","2007-02-07",9.2
"26","2007-02-08",9.72
"27","2007-02-09",9.36
"28","2007-02-12",9.44
"29","2007-02-13",9.52
"30","2007-02-14",9.32
"31","2007-02-15",9.72
"32","2007-02-16",9.96
"33","2007-02-20",9.92
"34","2007-02-21",9.88
"35","2007-02-22",9.68
"36","2007-02-23",9.8
"37","2007-02-26",9.72
"38","2007-02-27",9.32
"39","2007-02-28",9.32
"40","2007-03-01",9.2
"41","2007-03-02",9.24
"42","2007-03-05",9.04
"43","2007-03-06",9.24
"44","2007-03-07",9.24
"45","2007-03-08",9.04
"46","2007-03-09",9.32
"47","2007-03-12",9.48
"48","2007-03-13",9.16
"49","2007-03-14",9
"50","2007-03-15",9.12
"51","2007-03-16",9.08
"52","2007-03-19",9.28
"53","2007-03-20",9.12
"54","2007-03-21",8.96
"55","2007-03-22",9.32
"56","2007-03-23",9.32
"57","2007-03-26",9.36
"58","2007-03-27",9.52
"59","2007-03-28",9.24
"60","2007-03-29",9.4
"61","2007-03-30",8.68
"62","2007-04-02",9.2
"63","2007-04-03",9.04
"64","2007-04-04",9
"65","2007-04-05",9
"66","2007-04-09",9.96
"67","2007-04-10",9.96
"68","2007-04-11",9.96
"69","2007-04-12",10
"70","2007-04-13",10.12
"71","2007-04-16",10.16
"72","2007-04-17",10.2
"73","2007-04-18",10.12
"74","2007-04-19",10.28
"75","2007-04-20",10.32
"76","2007-04-23",10.36
"77","2007-04-24",10.72
"78","2007-04-25",10.76
"79","2007-04-26",10.84
"80","2007-04-27",10.8
"81","2007-04-30",10.6
"82","2007-05-01",10.52
"83","2007-05-02",10.6
"84","2007-05-03",10.76
"85","2007-05-04",10.88
"86","2007-05-07",10.92
"87","2007-05-08",10.68
"88","2007-05-09",10.68
"89","2007-05-10",10.92
"90","2007-05-11",10.92
"91","2007-05-14",10.92
"92","2007-05-15",10.88
"93","2007-05-16",10.92
"94","2007-05-17",11.2
"95","2007-05-18",11.16
"96","2007-05-21",11.16
"97","2007-05-22",10.96
"98","2007-05-23",10.64
"99","2007-05-24",10.72
"100","2007-05-25",10.76
"101","2007-05-29",11
"102","2007-05-30",11.04
"103","2007-05-31",10.88
"104","2007-06-01",10.8
"105","2007-06-04",10.84
"106","2007-06-05",10.8
"107","2007-06-06",10.72
"108","2007-06-07",10.68
"109","2007-06-08",10.72
"110","2007-06-11",10.76
"111","2007-06-12",10.4
"112","2007-06-13",10.4
"113","2007-06-14",10.36
"114","2007-06-15",10.6
"115","2007-06-18",11.2
"116","2007-06-19",10.8
"117","2007-06-20",11.12
"118","2007-06-21",10.72
"119","2007-06-22",10.76
"120","2007-06-25",10.76
"121","2007-06-26",10.44
"122","2007-06-27",10.88
"123","2007-06-28",10.52
"124","2007-06-29",10.44
"125","2007-07-02",10.76
"126","2007-07-03",10.8
"127","2007-07-05",10.88
"128","2007-07-06",11.8
"129","2007-07-09",11.8
"130","2007-07-10",11.48
"131","2007-07-11",11.2
"132","2007-07-12",11.08
"133","2007-07-13",11.16
"134","2007-07-16",10.64
"135","2007-07-17",11.68
"136","2007-07-18",11.12
"137","2007-07-19",11.24
"138","2007-07-20",11.16
"139","2007-07-23",11.28
"140","2007-07-24",11.4
"141","2007-07-25",11.64
"142","2007-07-26",10.32
"143","2007-07-27",10.04
"144","2007-07-30",10.08
"145","2007-07-31",10.28
"146","2007-08-01",10.24
"147","2007-08-02",10.32
"148","2007-08-03",10
"149","2007-08-06",9.92
"150","2007-08-07",9.12
"151","2007-08-08",8.92
"152","2007-08-09",8.28
"153","2007-08-10",8.2
"154","2007-08-13",8.36
"155","2007-08-14",8.28
"156","2007-08-15",8.68
"157","2007-08-16",8.48
"158","2007-08-17",8.4
"159","2007-08-20",8.36
"160","2007-08-21",8.48
"161","2007-08-22",8.4
"162","2007-08-23",8.2
"163","2007-08-24",8.24
"164","2007-08-27",8.16
"165","2007-08-28",8.2
"166","2007-08-29",8.16
"167","2007-08-30",8.2
"168","2007-08-31",8.2
"169","2007-09-04",8.2
"170","2007-09-05",8.2
"171","2007-09-06",8.32
"172","2007-09-07",8.44
"173","2007-09-10",8.6
"174","2007-09-11",8.6
"175","2007-09-12",8.44
"176","2007-09-13",8.2
"177","2007-09-14",8.6
"178","2007-09-17",8.44
"179","2007-09-18",8.52
"180","2007-09-19",8.4
"181","2007-09-20",8.4
"182","2007-09-21",8.8
"183","2007-09-24",8.84
