"","date","KLDO"
"1","2019-02-28",14.49
"2","2019-03-01",14.77
"3","2019-03-04",15
"4","2019-03-05",14.26
"5","2019-03-06",13.3
"6","2019-03-07",12.71
"7","2019-03-08",12.83
"8","2019-03-11",13.5
"9","2019-03-12",13.43
"10","2019-03-13",13.55
"11","2019-03-14",13.51
"12","2019-03-15",13.5
"13","2019-03-18",13.2
"14","2019-03-19",13.5
"15","2019-03-20",13.75
"16","2019-03-21",13.52
"17","2019-03-22",13.8
"18","2019-03-25",13.56
"19","2019-03-26",13.89
"20","2019-03-27",14.48
"21","2019-03-28",14.01
"22","2019-03-29",14.5
"23","2019-04-01",14
"24","2019-04-02",13.95
"25","2019-04-03",13.93
"26","2019-04-04",13.86
"27","2019-04-05",14.15
"28","2019-04-08",15
"29","2019-04-09",14.51
"30","2019-04-10",13.55
"31","2019-04-11",14.21
"32","2019-04-12",14.27
"33","2019-04-15",14.91
"34","2019-04-16",14.17
"35","2019-04-17",14.83
"36","2019-04-18",14.78
"37","2019-04-22",15.1
"38","2019-04-23",14.95
"39","2019-04-24",15.02
"40","2019-04-25",14.94
"41","2019-04-26",14.1
"42","2019-04-29",14.51
"43","2019-04-30",14.36
"44","2019-05-01",14.57
"45","2019-05-02",14.3
"46","2019-05-03",14.45
"47","2019-05-06",14.52
"48","2019-05-07",14.53
"49","2019-05-08",15
"50","2019-05-09",14.55
"51","2019-05-10",15.1
"52","2019-05-13",14.94
"53","2019-05-14",15.2
"54","2019-05-15",14.7
"55","2019-05-16",14.59
"56","2019-05-17",14.82
"57","2019-05-20",18.1
"58","2019-05-21",17.049999
"59","2019-05-22",17.469999
"60","2019-05-23",16.76
"61","2019-05-24",17.59
"62","2019-05-28",16.290001
"63","2019-05-29",15.87
"64","2019-05-30",15.13
"65","2019-05-31",15.68
"66","2019-06-03",15.96
"67","2019-06-04",16.15
"68","2019-06-05",13.87
"69","2019-06-06",14.98
"70","2019-06-07",14.7
"71","2019-06-10",14.25
"72","2019-06-11",14
"73","2019-06-12",14.08
"74","2019-06-13",14.46
"75","2019-06-14",14.26
"76","2019-06-17",13.83
"77","2019-06-18",14.24
"78","2019-06-19",13.05
"79","2019-06-20",13.09
"80","2019-06-21",12.95
"81","2019-06-24",12.33
"82","2019-06-25",12.64
"83","2019-06-26",11.52
"84","2019-06-27",11.25
"85","2019-06-28",11.6
"86","2019-07-01",11.3
"87","2019-07-02",10.5
"88","2019-07-03",9.4
"89","2019-07-05",9.08
"90","2019-07-08",9.43
"91","2019-07-09",9.25
"92","2019-07-10",9.36
"93","2019-07-11",9.22
"94","2019-07-12",8.87
"95","2019-07-15",8.67
"96","2019-07-16",8.25
"97","2019-07-17",9.11
"98","2019-07-18",8.69
"99","2019-07-19",8.31
"100","2019-07-22",7.71
"101","2019-07-23",7.53
"102","2019-07-24",7.37
"103","2019-07-25",7.25
"104","2019-07-26",7.49
"105","2019-07-29",7.32
"106","2019-07-30",7.45
"107","2019-07-31",7.67
"108","2019-08-01",7.53
"109","2019-08-02",7.21
"110","2019-08-05",6.74
"111","2019-08-06",7.5
"112","2019-08-07",7.69
"113","2019-08-08",8.42
"114","2019-08-09",8.75
"115","2019-08-12",9.2
"116","2019-08-13",8.89
"117","2019-08-14",8.58
"118","2019-08-15",8.37
"119","2019-08-16",8.64
"120","2019-08-19",8.95
"121","2019-08-20",9.07
"122","2019-08-21",9.15
"123","2019-08-22",9
"124","2019-08-23",9.01
"125","2019-08-26",9.23
"126","2019-08-27",9.09
"127","2019-08-28",9.39
"128","2019-08-29",9.5
"129","2019-08-30",9.36
"130","2019-09-03",9.2
"131","2019-09-04",8.71
"132","2019-09-05",8.87
"133","2019-09-06",8.94
"134","2019-09-09",8.91
"135","2019-09-10",8.95
"136","2019-09-11",9.31
"137","2019-09-12",9.3
"138","2019-09-13",9.16
"139","2019-09-16",9.33
"140","2019-09-17",9.02
"141","2019-09-18",9.52
"142","2019-09-19",9.52
"143","2019-09-20",9.52
"144","2019-09-23",8.92
"145","2019-09-24",8.61
"146","2019-09-25",8.47
"147","2019-09-26",7.9
"148","2019-09-27",7.4
"149","2019-09-30",7.53
"150","2019-10-01",7.44
"151","2019-10-02",7.2
"152","2019-10-03",6.97
"153","2019-10-04",7.1
"154","2019-10-07",7.41
"155","2019-10-08",6.99
"156","2019-10-09",6.68
"157","2019-10-10",6.78
"158","2019-10-11",6.46
"159","2019-10-14",5.58
"160","2019-10-15",5.51
"161","2019-10-16",5.27
"162","2019-10-17",5.45
"163","2019-10-18",5.05
"164","2019-10-21",5.27
"165","2019-10-22",5.25
"166","2019-10-23",5.76
"167","2019-10-24",5.96
"168","2019-10-25",5.97
"169","2019-10-28",6.14
"170","2019-10-29",6.28
"171","2019-10-30",6.61
"172","2019-10-31",5.86
"173","2019-11-01",6.07
"174","2019-11-04",6.2
"175","2019-11-05",6.27
"176","2019-11-06",6.01
"177","2019-11-07",6.29
"178","2019-11-08",6.75
"179","2019-11-11",6.19
"180","2019-11-12",6.11
"181","2019-11-13",6.11
"182","2019-11-14",6.5
"183","2019-11-15",6.56
"184","2019-11-18",6.99
"185","2019-11-19",7.44
"186","2019-11-20",7.36
"187","2019-11-21",7.33
"188","2019-11-22",7.44
"189","2019-11-25",8.37
"190","2019-11-26",8.37
"191","2019-11-27",8.23
"192","2019-11-29",8.71
"193","2019-12-02",8.87
"194","2019-12-03",8.39
"195","2019-12-04",7.3
"196","2019-12-05",6.42
"197","2019-12-06",5.36
"198","2019-12-09",5.23
"199","2019-12-10",5.24
"200","2019-12-11",5.15
"201","2019-12-12",5.93
"202","2019-12-13",5.94
