"","date","WTM"
"1","2007-01-03",580
"2","2007-01-04",579.299988
"3","2007-01-05",576
"4","2007-01-08",568
"5","2007-01-09",568.549988
"6","2007-01-10",567.820007
"7","2007-01-11",566.26001
"8","2007-01-12",570
"9","2007-01-16",579.400024
"10","2007-01-17",580
"11","2007-01-18",576
"12","2007-01-19",578.25
"13","2007-01-22",578
"14","2007-01-23",577.900024
"15","2007-01-24",569.400024
"16","2007-01-25",566.299988
"17","2007-01-26",570.23999
"18","2007-01-29",569
"19","2007-01-30",576.840027
"20","2007-01-31",579.700012
"21","2007-02-01",576.599976
"22","2007-02-02",579
"23","2007-02-05",579.969971
"24","2007-02-06",574
"25","2007-02-07",573.5
"26","2007-02-08",579
"27","2007-02-09",576
"28","2007-02-12",568.049988
"29","2007-02-13",568.700012
"30","2007-02-14",578.299988
"31","2007-02-15",575
"32","2007-02-16",580
"33","2007-02-20",576.25
"34","2007-02-21",571.559998
"35","2007-02-22",568.799988
"36","2007-02-23",574.900024
"37","2007-02-26",580
"38","2007-02-27",571
"39","2007-02-28",574.859985
"40","2007-03-01",566.859985
"41","2007-03-02",572.109985
"42","2007-03-05",566
"43","2007-03-06",565.25
"44","2007-03-07",561.950012
"45","2007-03-08",562
"46","2007-03-09",563.98999
"47","2007-03-12",563.900024
"48","2007-03-13",557.98999
"49","2007-03-14",544.900024
"50","2007-03-15",550
"51","2007-03-16",543.5
"52","2007-03-19",549
"53","2007-03-20",552.5
"54","2007-03-21",551
"55","2007-03-22",559.390015
"56","2007-03-23",551.369995
"57","2007-03-26",557.5
"58","2007-03-27",560
"59","2007-03-28",560
"60","2007-03-29",562
"61","2007-03-30",566.5
"62","2007-04-02",566.25
"63","2007-04-03",570
"64","2007-04-04",572.98999
"65","2007-04-05",570.01001
"66","2007-04-09",560.5
"67","2007-04-10",563.950012
"68","2007-04-11",569.099976
"69","2007-04-12",564
"70","2007-04-13",575
"71","2007-04-16",568.200012
"72","2007-04-17",573.039978
"73","2007-04-18",568.5
"74","2007-04-19",574.22998
"75","2007-04-20",577
"76","2007-04-23",575.349976
"77","2007-04-24",572.5
"78","2007-04-25",567
"79","2007-04-26",573
"80","2007-04-27",572
"81","2007-04-30",573
"82","2007-05-01",573
"83","2007-05-02",564.570007
"84","2007-05-03",562
"85","2007-05-04",560.070007
"86","2007-05-07",560.599976
"87","2007-05-08",571.98999
"88","2007-05-09",573.5
