"","date","FREE"
"1","2019-05-14",9.7
"2","2019-05-15",9.68
"3","2019-05-16",9.68
"4","2019-05-17",9.68
"5","2019-05-20",9.68
"6","2019-05-21",9.68
"7","2019-05-22",9.68
"8","2019-05-23",9.7
"9","2019-05-24",9.7
"10","2019-05-28",9.7
"11","2019-05-29",9.7
"12","2019-05-30",9.7
"13","2019-05-31",9.7
"14","2019-06-03",9.7
"15","2019-06-04",9.7
"16","2019-06-05",9.7
"17","2019-06-06",9.7
"18","2019-06-07",9.7
"19","2019-06-10",9.7
"20","2019-06-11",9.7
"21","2019-06-12",9.71
"22","2019-06-13",NA
"23","2019-06-14",9.71
"24","2019-06-17",9.71
"25","2019-06-18",9.71
"26","2019-06-19",9.7
"27","2019-06-20",9.72
"28","2019-06-21",9.72
"29","2019-06-24",9.727
"30","2019-06-25",9.73
"31","2019-06-26",9.75
"32","2019-06-27",9.75
"33","2019-06-28",9.75
"34","2019-07-01",9.79
"35","2019-07-02",9.74
"36","2019-07-03",9.74
"37","2019-07-05",9.8
"38","2019-07-08",9.8
"39","2019-07-09",9.8
"40","2019-07-10",9.8
"41","2019-07-11",9.77
"42","2019-07-12",9.77
"43","2019-07-15",9.8
"44","2019-07-16",9.8
"45","2019-07-17",9.8
"46","2019-07-18",9.8
"47","2019-07-19",9.8
"48","2019-07-22",9.795
"49","2019-07-23",9.795
"50","2019-07-24",9.81
"51","2019-07-25",9.78
"52","2019-07-26",9.78
"53","2019-07-29",9.79
"54","2019-07-30",9.79
"55","2019-07-31",9.79
"56","2019-08-01",9.82
"57","2019-08-02",9.82
"58","2019-08-05",9.82
"59","2019-08-06",9.83
"60","2019-08-07",9.83
"61","2019-08-08",9.83
"62","2019-08-09",9.83
"63","2019-08-12",9.83
"64","2019-08-13",9.83
"65","2019-08-14",9.83
"66","2019-08-15",9.83
"67","2019-08-16",9.801
"68","2019-08-19",9.801
"69","2019-08-20",9.82
"70","2019-08-21",9.83
"71","2019-08-22",9.85
"72","2019-08-23",9.85
"73","2019-08-26",9.88
"74","2019-08-27",9.88
"75","2019-08-28",9.88
"76","2019-08-29",9.88
"77","2019-08-30",9.88
"78","2019-09-03",9.87
"79","2019-09-04",9.87
"80","2019-09-05",9.87
"81","2019-09-06",9.87
"82","2019-09-09",9.85
"83","2019-09-10",9.9
"84","2019-09-11",9.9
"85","2019-09-12",9.9
"86","2019-09-13",9.9
"87","2019-09-16",9.9
"88","2019-09-17",9.875
"89","2019-09-18",9.875
"90","2019-09-19",9.875
"91","2019-09-20",9.875
"92","2019-09-23",9.855
"93","2019-09-24",9.85
"94","2019-09-25",9.87
"95","2019-09-26",9.87
"96","2019-09-27",9.91
"97","2019-09-30",9.85
"98","2019-10-01",9.9
"99","2019-10-02",9.9
"100","2019-10-03",9.9
"101","2019-10-04",9.9
