"","date","THCB"
"1","2019-03-27",9.77
"2","2019-03-28",9.74
"3","2019-03-29",9.757
"4","2019-04-01",9.75
"5","2019-04-02",9.765
"6","2019-04-03",9.81
"7","2019-04-04",9.78
"8","2019-04-05",9.78
"9","2019-04-08",9.77
"10","2019-04-09",9.77
"11","2019-04-10",9.76
"12","2019-04-11",9.78
"13","2019-04-12",9.79
"14","2019-04-15",9.85
"15","2019-04-16",9.83
"16","2019-04-17",9.8
"17","2019-04-18",9.8
"18","2019-04-22",9.81
"19","2019-04-23",9.82
"20","2019-04-24",9.82
"21","2019-04-25",9.819
"22","2019-04-26",9.81
"23","2019-04-29",9.81
"24","2019-04-30",9.81
"25","2019-05-01",9.79
"26","2019-05-02",9.79
"27","2019-05-03",9.81
"28","2019-05-06",9.82
"29","2019-05-07",9.82
"30","2019-05-08",9.8
"31","2019-05-09",9.82
"32","2019-05-10",9.82
"33","2019-05-13",9.8
"34","2019-05-14",9.805
"35","2019-05-15",9.8
"36","2019-05-16",9.79
"37","2019-05-17",9.8
"38","2019-05-20",9.8
"39","2019-05-21",9.8
"40","2019-05-22",9.8
"41","2019-05-23",9.8
"42","2019-05-24",9.79
"43","2019-05-28",9.79
"44","2019-05-29",9.76
"45","2019-05-30",9.79
"46","2019-05-31",9.79
"47","2019-06-03",9.79
"48","2019-06-04",9.79
"49","2019-06-05",9.79
"50","2019-06-06",9.78
"51","2019-06-07",9.8
"52","2019-06-10",9.8
"53","2019-06-11",9.8
"54","2019-06-12",9.79
"55","2019-06-13",9.8
"56","2019-06-14",9.8
"57","2019-06-17",9.8
"58","2019-06-18",9.8
"59","2019-06-19",9.88
"60","2019-06-20",9.8
"61","2019-06-21",9.85
"62","2019-06-24",9.8
"63","2019-06-25",9.82
"64","2019-06-26",9.851
"65","2019-06-27",9.9
"66","2019-06-28",9.88
"67","2019-07-01",9.9
"68","2019-07-02",10
"69","2019-07-03",9.955
"70","2019-07-05",9.955
"71","2019-07-08",9.9
"72","2019-07-09",9.93
"73","2019-07-10",9.9
"74","2019-07-11",9.9
"75","2019-07-12",9.95
"76","2019-07-15",9.925
"77","2019-07-16",9.925
"78","2019-07-17",10
"79","2019-07-18",9.95
"80","2019-07-19",9.95
"81","2019-07-22",9.932
"82","2019-07-23",9.895
"83","2019-07-24",9.87
"84","2019-07-25",9.887
"85","2019-07-26",9.887
"86","2019-07-29",9.852
"87","2019-07-30",9.85
"88","2019-07-31",9.85
"89","2019-08-01",9.8
"90","2019-08-02",9.9
"91","2019-08-05",9.93
"92","2019-08-06",9.94
"93","2019-08-07",9.95
"94","2019-08-08",9.95
"95","2019-08-09",9.9
"96","2019-08-12",9.849
"97","2019-08-13",9.849
"98","2019-08-14",9.849
"99","2019-08-15",9.849
"100","2019-08-16",9.84
"101","2019-08-19",9.886
"102","2019-08-20",9.91
"103","2019-08-21",9.91
"104","2019-08-22",9.92
"105","2019-08-23",9.91
"106","2019-08-26",9.91
"107","2019-08-27",9.9
"108","2019-08-28",9.891
"109","2019-08-29",9.9
"110","2019-08-30",9.9
"111","2019-09-03",9.9
"112","2019-09-04",9.91
"113","2019-09-05",9.91
"114","2019-09-06",9.89
"115","2019-09-09",9.935
"116","2019-09-10",9.935
"117","2019-09-11",9.86
"118","2019-09-12",9.87
"119","2019-09-13",9.91
"120","2019-09-16",9.91
"121","2019-09-17",9.9
"122","2019-09-18",9.89
"123","2019-09-19",9.88
"124","2019-09-20",9.88
"125","2019-09-23",9.85
"126","2019-09-24",9.88
"127","2019-09-25",9.88
"128","2019-09-26",9.88
"129","2019-09-27",9.89
"130","2019-09-30",9.8
"131","2019-10-01",9.89
"132","2019-10-02",9.91
"133","2019-10-03",9.9
"134","2019-10-04",9.965
"135","2019-10-07",9.97
"136","2019-10-08",9.9
"137","2019-10-09",9.89
"138","2019-10-10",9.89
"139","2019-10-11",9.89
"140","2019-10-14",9.89
"141","2019-10-15",9.89
"142","2019-10-16",9.82
"143","2019-10-17",9.84
"144","2019-10-18",9.84
"145","2019-10-21",9.84
"146","2019-10-22",9.84
"147","2019-10-23",9.84
"148","2019-10-24",9.9
"149","2019-10-25",9.88
"150","2019-10-28",9.89
"151","2019-10-29",9.88
"152","2019-10-30",9.88
"153","2019-10-31",9.88
"154","2019-11-01",9.92
"155","2019-11-04",9.925
"156","2019-11-05",9.9
"157","2019-11-06",9.9
"158","2019-11-07",9.9
"159","2019-11-08",9.93
"160","2019-11-11",9.93
"161","2019-11-12",9.93
"162","2019-11-13",9.92
"163","2019-11-14",9.91
"164","2019-11-15",9.89
"165","2019-11-18",9.91
"166","2019-11-19",9.92
"167","2019-11-20",9.92
"168","2019-11-21",9.92
"169","2019-11-22",9.91
"170","2019-11-25",9.91
"171","2019-11-26",9.88
"172","2019-11-27",9.92
"173","2019-11-29",9.9
"174","2019-12-02",9.9
"175","2019-12-03",9.9
"176","2019-12-04",9.93
"177","2019-12-05",9.93
"178","2019-12-06",9.94
"179","2019-12-09",9.94
"180","2019-12-10",9.9
"181","2019-12-11",9.9
"182","2019-12-12",9.94
"183","2019-12-13",9.97
"184","2019-12-16",9.98
"185","2019-12-17",9.98
"186","2019-12-18",9.93
"187","2019-12-19",9.95
"188","2019-12-20",9.99
"189","2019-12-23",9.99
"190","2019-12-24",10
"191","2019-12-26",9.93
"192","2019-12-27",9.93
"193","2019-12-30",9.96
"194","2019-12-31",9.96
"195","2020-01-02",9.97
"196","2020-01-03",9.98
"197","2020-01-06",10
"198","2020-01-07",9.99
"199","2020-01-08",10
"200","2020-01-09",10
"201","2020-01-10",10.01
"202","2020-01-13",10.01
"203","2020-01-14",10.01
"204","2020-01-15",10.01
"205","2020-01-16",10.02
"206","2020-01-17",10.03
"207","2020-01-21",10.042
"208","2020-01-22",10.03
"209","2020-01-23",10.02
"210","2020-01-24",10.1
"211","2020-01-27",10.1
"212","2020-01-28",10.05
"213","2020-01-29",10.02
"214","2020-01-30",10.04
"215","2020-01-31",9.96
"216","2020-02-03",10
"217","2020-02-04",10
"218","2020-02-05",10
"219","2020-02-06",10
"220","2020-02-07",10
"221","2020-02-10",10
"222","2020-02-11",10.1
"223","2020-02-12",10.07
"224","2020-02-13",10.05
"225","2020-02-14",10.05
"226","2020-02-18",10.05
"227","2020-02-19",10.05
"228","2020-02-20",10.05
"229","2020-02-21",10.05
"230","2020-02-24",10.05
"231","2020-02-25",10.05
"232","2020-02-26",10.045
"233","2020-02-27",10.08
"234","2020-02-28",10.05
"235","2020-03-02",10.08
"236","2020-03-03",10.08
"237","2020-03-04",10.02
"238","2020-03-05",10.02
"239","2020-03-06",10.02
"240","2020-03-09",9.98
"241","2020-03-10",9.97
"242","2020-03-11",9.99
"243","2020-03-12",9.94
"244","2020-03-13",9.89
"245","2020-03-16",9.65
"246","2020-03-17",9.64
"247","2020-03-18",9.51
"248","2020-03-19",9.52
"249","2020-03-20",9.65
"250","2020-03-23",9.675
"251","2020-03-24",9.78
"252","2020-03-25",9.8
"253","2020-03-26",9.85
"254","2020-03-27",9.92
"255","2020-03-30",9.92
"256","2020-03-31",9.97
"257","2020-04-01",9.95
"258","2020-04-02",9.95
"259","2020-04-03",9.95
"260","2020-04-06",9.9
"261","2020-04-07",9.96
"262","2020-04-08",9.94
"263","2020-04-09",9.93
"264","2020-04-13",9.95
"265","2020-04-14",10
"266","2020-04-15",9.99
"267","2020-04-16",9.99
"268","2020-04-17",9.99
"269","2020-04-20",9.99
"270","2020-04-21",10.01
"271","2020-04-22",10.03
"272","2020-04-23",10
"273","2020-04-24",9.98
"274","2020-04-27",10.02
"275","2020-04-28",10
"276","2020-04-29",10
"277","2020-04-30",10
"278","2020-05-01",9.998
"279","2020-05-04",9.998
"280","2020-05-05",10.04
"281","2020-05-06",10.04
"282","2020-05-07",10.052
"283","2020-05-08",10.04
"284","2020-05-11",10.05
"285","2020-05-12",10.04
"286","2020-05-13",10.058
"287","2020-05-14",10.05
"288","2020-05-15",10.05
"289","2020-05-18",10.05
"290","2020-05-19",10.075
"291","2020-05-20",10.075
"292","2020-05-21",10.12
