"","date","MRVL"
"1","2007-01-03",19.540001
"2","2007-01-04",19.950001
"3","2007-01-05",19.41
"4","2007-01-08",19.379999
"5","2007-01-09",19.73
"6","2007-01-10",20.879999
"7","2007-01-11",20.700001
"8","2007-01-12",20.389999
"9","2007-01-16",19.9
"10","2007-01-17",19.6
"11","2007-01-18",18.76
"12","2007-01-19",18.450001
"13","2007-01-22",18.299999
"14","2007-01-23",18.35
"15","2007-01-24",19.35
"16","2007-01-25",18.950001
"17","2007-01-26",19.02
"18","2007-01-29",19.040001
"19","2007-01-30",18.790001
"20","2007-01-31",18.290001
"21","2007-02-01",18.35
"22","2007-02-02",18.459999
"23","2007-02-05",18.190001
"24","2007-02-06",18.379999
"25","2007-02-07",18.799999
"26","2007-02-08",18.549999
"27","2007-02-09",18.309999
"28","2007-02-12",17.91
"29","2007-02-13",18.26
"30","2007-02-14",18.49
"31","2007-02-15",19.35
"32","2007-02-16",19.809999
"33","2007-02-20",19.83
"34","2007-02-21",19.959999
"35","2007-02-22",20.18
"36","2007-02-23",20.08
"37","2007-02-26",19.860001
"38","2007-02-27",20.459999
"39","2007-02-28",20.52
"40","2007-03-01",20.4
"41","2007-03-02",19.83
"42","2007-03-05",19.09
"43","2007-03-06",19.24
"44","2007-03-07",19.030001
"45","2007-03-08",18.780001
"46","2007-03-09",18.639999
"47","2007-03-12",18.860001
"48","2007-03-13",17.84
"49","2007-03-14",17.969999
"50","2007-03-15",18.129999
"51","2007-03-16",17.790001
"52","2007-03-19",17.459999
"53","2007-03-20",17.93
"54","2007-03-21",18.07
"55","2007-03-22",18.08
"56","2007-03-23",18.200001
"57","2007-03-26",18
"58","2007-03-27",17.67
"59","2007-03-28",17.09
"60","2007-03-29",16.77
"61","2007-03-30",16.809999
"62","2007-04-02",16.68
"63","2007-04-03",16.58
"64","2007-04-04",16.85
"65","2007-04-05",17.18
"66","2007-04-09",17
"67","2007-04-10",16.950001
"68","2007-04-11",16.889999
"69","2007-04-12",16.91
"70","2007-04-13",16.83
"71","2007-04-16",16.790001
"72","2007-04-17",17.059999
"73","2007-04-18",17.18
"74","2007-04-19",17.35
"75","2007-04-20",17.34
"76","2007-04-23",16.67
"77","2007-04-24",16.940001
"78","2007-04-25",16.75
"79","2007-04-26",16.700001
"80","2007-04-27",16.280001
"81","2007-04-30",16.139999
"82","2007-05-01",16.379999
"83","2007-05-02",16.530001
"84","2007-05-03",17.1
"85","2007-05-04",17.6
"86","2007-05-07",17.799999
"87","2007-05-08",17.74
"88","2007-05-09",17.719999
"89","2007-05-10",17.35
"90","2007-05-11",17.52
"91","2007-05-14",17.200001
"92","2007-05-15",16.959999
"93","2007-05-16",17.040001
"94","2007-05-17",17
"95","2007-05-18",16.51
"96","2007-05-21",16.370001
"97","2007-05-22",16.299999
"98","2007-05-23",16.02
"99","2007-05-24",15.5
"100","2007-05-25",15.51
"101","2007-05-29",15.93
"102","2007-05-30",15.57
"103","2007-05-31",15.7
"104","2007-06-01",16.24
"105","2007-06-04",16.040001
"106","2007-06-05",16.26
"107","2007-06-06",15.81
"108","2007-06-07",15.89
"109","2007-06-08",16.450001
"110","2007-06-11",16.370001
"111","2007-06-12",16.709999
