"","date","FRHC"
"1","2018-02-07",8
"2","2018-02-08",7.8
"3","2018-02-09",7.8
"4","2018-02-12",7.8
"5","2018-02-13",7.9
"6","2018-02-14",7.65
"7","2018-02-15",7.75
"8","2018-02-16",7.5
"9","2018-02-20",7.79
"10","2018-02-21",7.79
"11","2018-02-22",7.79
"12","2018-02-23",7.75
"13","2018-02-26",7.8
"14","2018-02-27",7.76
"15","2018-02-28",7.77
"16","2018-03-01",7.3
"17","2018-03-02",7.66
"18","2018-03-05",7.55
"19","2018-03-06",7.55
"20","2018-03-07",7.5
"21","2018-03-08",7.8
"22","2018-03-09",7.75
"23","2018-03-12",7.7
"24","2018-03-13",7
"25","2018-03-14",7
"26","2018-03-15",7.3
"27","2018-03-16",7.5
"28","2018-03-19",7
"29","2018-03-20",7
"30","2018-03-21",7
"31","2018-03-22",7.07
"32","2018-03-23",7.49
"33","2018-03-26",7.49
"34","2018-03-27",7.2
"35","2018-03-28",6.45
"36","2018-03-29",6.85
"37","2018-04-02",6.85
"38","2018-04-03",6.9
"39","2018-04-04",7.25
"40","2018-04-05",7.2
"41","2018-04-06",7.05
"42","2018-04-09",7.05
"43","2018-04-10",7.06
"44","2018-04-11",7.03
"45","2018-04-12",7.13
"46","2018-04-13",7.1
"47","2018-04-16",7
"48","2018-04-17",6.9
"49","2018-04-18",6.8
"50","2018-04-19",6.2
"51","2018-04-20",6.35
"52","2018-04-23",6.35
"53","2018-04-24",6.39
"54","2018-04-25",6
"55","2018-04-26",6
"56","2018-04-27",5.98
"57","2018-04-30",6.2
"58","2018-05-01",6.25
"59","2018-05-02",6.25
"60","2018-05-03",6.27
"61","2018-05-04",6.15
"62","2018-05-07",6.5
"63","2018-05-08",6.5
"64","2018-05-09",6.3
"65","2018-05-10",6.6
"66","2018-05-11",6.65
"67","2018-05-14",6.6
"68","2018-05-15",6.75
"69","2018-05-16",6.8
"70","2018-05-17",6.9
"71","2018-05-18",7
"72","2018-05-21",7
"73","2018-05-22",6.95
"74","2018-05-23",7
"75","2018-05-24",7.15
"76","2018-05-25",7.25
"77","2018-05-29",7.2
"78","2018-05-30",7.3
"79","2018-05-31",7.25
"80","2018-06-01",7.4
"81","2018-06-04",7.4
"82","2018-06-05",7.4
"83","2018-06-06",7.46
"84","2018-06-07",7.47
"85","2018-06-08",7.46
"86","2018-06-11",7.5
"87","2018-06-12",7.6
"88","2018-06-13",7.58
"89","2018-06-14",7.6
"90","2018-06-15",7.64
"91","2018-06-18",7.65
"92","2018-06-19",7.6
"93","2018-06-20",7.6
"94","2018-06-21",7.6
"95","2018-06-22",7.6
"96","2018-06-25",7.65
"97","2018-06-26",7.65
"98","2018-06-27",7.85
"99","2018-06-28",7.45
"100","2018-06-29",7.2
"101","2018-07-02",7.1
"102","2018-07-03",6.8
"103","2018-07-05",6.7
"104","2018-07-06",6.7
"105","2018-07-09",6.5
"106","2018-07-10",6.4
"107","2018-07-11",6.3
"108","2018-07-12",6.35
"109","2018-07-13",6.3
"110","2018-07-16",6.4
"111","2018-07-17",6.4
"112","2018-07-18",6.5
"113","2018-07-19",6.65
"114","2018-07-20",6.7
"115","2018-07-23",6.7
"116","2018-07-24",6.75
"117","2018-07-25",6.75
"118","2018-07-26",6.8
"119","2018-07-27",6.8
"120","2018-07-30",6.8
"121","2018-07-31",6.803
"122","2018-08-01",6.7
"123","2018-08-02",6.65
"124","2018-08-03",6.6
"125","2018-08-06",6.6
"126","2018-08-07",6.65
"127","2018-08-08",6.7
