"","date","RETA"
"1","2016-05-26",13.07
"2","2016-05-27",14.28
"3","2016-05-31",13.85
"4","2016-06-01",14.3
"5","2016-06-02",15.34
"6","2016-06-03",18.709999
"7","2016-06-06",17.450001
"8","2016-06-07",18.450001
"9","2016-06-08",21.75
"10","2016-06-09",23.15
"11","2016-06-10",24.790001
"12","2016-06-13",25
"13","2016-06-14",21.799999
"14","2016-06-15",23.25
"15","2016-06-16",22
"16","2016-06-17",22
"17","2016-06-20",17.76
"18","2016-06-21",19.99
"19","2016-06-22",19.73
"20","2016-06-23",19.889999
"21","2016-06-24",20.139999
"22","2016-06-27",19.559999
"23","2016-06-28",20.030001
"24","2016-06-29",19.959999
"25","2016-06-30",19.75
"26","2016-07-01",19.99
"27","2016-07-05",17.790001
"28","2016-07-06",18
"29","2016-07-07",17.99
"30","2016-07-08",17.34
"31","2016-07-11",16.24
"32","2016-07-12",16.809999
"33","2016-07-13",17.299999
"34","2016-07-14",17.52
"35","2016-07-15",17.700001
"36","2016-07-18",18.530001
"37","2016-07-19",18.559999
"38","2016-07-20",17.35
"39","2016-07-21",17.559999
"40","2016-07-22",16.809999
"41","2016-07-25",16.299999
"42","2016-07-26",15.75
"43","2016-07-27",15.96
"44","2016-07-28",16.200001
"45","2016-07-29",16.030001
"46","2016-08-01",15.96
"47","2016-08-02",15.6
"48","2016-08-03",16.08
"49","2016-08-04",15.87
"50","2016-08-05",16.049999
"51","2016-08-08",16.02
"52","2016-08-09",16.18
"53","2016-08-10",15.93
"54","2016-08-11",15.85
"55","2016-08-12",15.51
"56","2016-08-15",15.95
"57","2016-08-16",16.51
"58","2016-08-17",17.200001
"59","2016-08-18",17.49
"60","2016-08-19",18.379999
"61","2016-08-22",17.58
"62","2016-08-23",17.860001
"63","2016-08-24",18.030001
"64","2016-08-25",18.07
"65","2016-08-26",19.209999
"66","2016-08-29",18.99
"67","2016-08-30",19.15
"68","2016-08-31",19.07
"69","2016-09-01",18.98
"70","2016-09-02",19.219999
"71","2016-09-06",21.049999
"72","2016-09-07",24.99
"73","2016-09-08",25.82
"74","2016-09-09",25.719999
"75","2016-09-12",29.129999
"76","2016-09-13",27.68
"77","2016-09-14",26.450001
"78","2016-09-15",27.280001
"79","2016-09-16",29.559999
"80","2016-09-19",30.049999
"81","2016-09-20",26.450001
"82","2016-09-21",27.709999
"83","2016-09-22",25.91
"84","2016-09-23",23.1
"85","2016-09-26",23.219999
"86","2016-09-27",23.5
"87","2016-09-28",24.82
"88","2016-09-29",24.66
"89","2016-09-30",26.360001
"90","2016-10-03",25.540001
"91","2016-10-04",25.540001
"92","2016-10-05",27.440001
"93","2016-10-06",28.01
"94","2016-10-07",29
"95","2016-10-10",30.09
"96","2016-10-11",27.610001
"97","2016-10-12",25.85
"98","2016-10-13",23.959999
"99","2016-10-14",24.41
"100","2016-10-17",23.92
"101","2016-10-18",24.43
"102","2016-10-19",24.969999
"103","2016-10-20",25
"104","2016-10-21",24.620001
"105","2016-10-24",25.09
"106","2016-10-25",25.26
"107","2016-10-26",24.48
"108","2016-10-27",23.9
"109","2016-10-28",22.76
"110","2016-10-31",22.639999
"111","2016-11-01",22.15
"112","2016-11-02",22.15
"113","2016-11-03",21.370001
"114","2016-11-04",21.870001
"115","2016-11-07",23.6
"116","2016-11-08",24.620001
"117","2016-11-09",27.889999
"118","2016-11-10",30.91
"119","2016-11-11",32.610001
"120","2016-11-14",36.110001
"121","2016-11-15",33.950001
"122","2016-11-16",31.68
"123","2016-11-17",32.57
"124","2016-11-18",30.700001
"125","2016-11-21",29.83
"126","2016-11-22",27.92
"127","2016-11-23",27.299999
"128","2016-11-25",27.83
"129","2016-11-28",27.25
"130","2016-11-29",26.780001
"131","2016-11-30",25.99
"132","2016-12-01",25.09
"133","2016-12-02",25.959999
"134","2016-12-05",25.790001
"135","2016-12-06",24.26
"136","2016-12-07",22.57
"137","2016-12-08",21.57
"138","2016-12-09",21.299999
"139","2016-12-12",21.549999
"140","2016-12-13",20.200001
"141","2016-12-14",21.68
"142","2016-12-15",23.379999
"143","2016-12-16",23
"144","2016-12-19",22.1
"145","2016-12-20",21.93
"146","2016-12-21",21.790001
"147","2016-12-22",21.42
"148","2016-12-23",22.040001
"149","2016-12-27",21.58
"150","2016-12-28",22.450001
"151","2016-12-29",22.110001
"152","2016-12-30",21.83
"153","2017-01-03",21.67
"154","2017-01-04",23.15
"155","2017-01-05",24.27
"156","2017-01-06",23.92
"157","2017-01-09",25.35
"158","2017-01-10",23.4
"159","2017-01-11",22.6
"160","2017-01-12",22.959999
"161","2017-01-13",23.02
"162","2017-01-17",22.450001
"163","2017-01-18",22.92
"164","2017-01-19",22.98
"165","2017-01-20",23.040001
