"","date","MTDR"
"1","2012-02-02",11.75
"2","2012-02-03",12
"3","2012-02-06",11.94
"4","2012-02-07",12
"5","2012-02-08",11.91
"6","2012-02-09",11.86
"7","2012-02-10",11.75
"8","2012-02-13",11.84
"9","2012-02-14",11.75
"10","2012-02-15",11.73
"11","2012-02-16",11.75
"12","2012-02-17",11.7
"13","2012-02-21",11.82
"14","2012-02-22",11.92
"15","2012-02-23",12.07
"16","2012-02-24",12
"17","2012-02-27",12
"18","2012-02-28",11.92
"19","2012-02-29",11.86
"20","2012-03-01",11.96
"21","2012-03-02",11.74
"22","2012-03-05",11.5
"23","2012-03-06",11.1
"24","2012-03-07",11.14
"25","2012-03-08",11.14
"26","2012-03-09",11.53
"27","2012-03-12",11.49
"28","2012-03-13",11.57
"29","2012-03-14",11.73
"30","2012-03-15",11.9
"31","2012-03-16",11.83
"32","2012-03-19",11.92
"33","2012-03-20",11.84
"34","2012-03-21",11.61
"35","2012-03-22",11.3
"36","2012-03-23",11.28
"37","2012-03-26",11.25
"38","2012-03-27",11.23
"39","2012-03-28",11.14
"40","2012-03-29",10.99
"41","2012-03-30",10.95
"42","2012-04-02",11.33
"43","2012-04-03",11.51
"44","2012-04-04",11.47
"45","2012-04-05",11.39
"46","2012-04-09",11.14
"47","2012-04-10",11.1
"48","2012-04-11",11.02
"49","2012-04-12",11.02
"50","2012-04-13",10.75
"51","2012-04-16",10.49
"52","2012-04-17",10.38
"53","2012-04-18",10.62
"54","2012-04-19",10.92
"55","2012-04-20",11.25
"56","2012-04-23",11.33
"57","2012-04-24",11.25
"58","2012-04-25",11.2
"59","2012-04-26",11.43
"60","2012-04-27",11.57
"61","2012-04-30",11.58
"62","2012-05-01",11.63
"63","2012-05-02",11.38
"64","2012-05-03",11.19
"65","2012-05-04",10.89
"66","2012-05-07",10.98
"67","2012-05-08",10.93
"68","2012-05-09",10.65
"69","2012-05-10",10.76
"70","2012-05-11",10.62
"71","2012-05-14",10.3
"72","2012-05-15",10.04
"73","2012-05-16",8.91
"74","2012-05-17",8.71
"75","2012-05-18",9.16
"76","2012-05-21",9.45
"77","2012-05-22",9.37
"78","2012-05-23",9.68
"79","2012-05-24",9.86
"80","2012-05-25",9.85
"81","2012-05-29",10.16
"82","2012-05-30",9.88
"83","2012-05-31",10.05
"84","2012-06-01",9.27
"85","2012-06-04",9.85
"86","2012-06-05",9.83
"87","2012-06-06",9.71
"88","2012-06-07",9.69
"89","2012-06-08",10
"90","2012-06-11",10.43
"91","2012-06-12",10.84
"92","2012-06-13",10.48
"93","2012-06-14",10.66
"94","2012-06-15",10.73
"95","2012-06-18",10.13
"96","2012-06-19",10.74
"97","2012-06-20",10.4
"98","2012-06-21",10.06
"99","2012-06-22",10.47
"100","2012-06-25",10.09
"101","2012-06-26",10.06
"102","2012-06-27",10.22
"103","2012-06-28",10.08
"104","2012-06-29",10.74
"105","2012-07-02",11.01
"106","2012-07-03",11.41
"107","2012-07-05",11.31
"108","2012-07-06",11.28
"109","2012-07-09",11.18
"110","2012-07-10",10.84
"111","2012-07-11",10.89
"112","2012-07-12",11.03
"113","2012-07-13",10.99
"114","2012-07-16",10.95
"115","2012-07-17",11.07
"116","2012-07-18",11.19
"117","2012-07-19",10.96
"118","2012-07-20",10.71
"119","2012-07-23",10.49
"120","2012-07-24",10.25
"121","2012-07-25",10.13
"122","2012-07-26",10.16
"123","2012-07-27",10.63
"124","2012-07-30",10.63
"125","2012-07-31",10.47
"126","2012-08-01",10.22
"127","2012-08-02",10.05
"128","2012-08-03",10.26
"129","2012-08-06",10.07
"130","2012-08-07",10.11
"131","2012-08-08",10.13
"132","2012-08-09",10.25
"133","2012-08-10",10.2
"134","2012-08-13",9.99
"135","2012-08-14",10.03
"136","2012-08-15",9.66
"137","2012-08-16",9.68
"138","2012-08-17",10.23
"139","2012-08-20",10.18
"140","2012-08-21",10.29
"141","2012-08-22",10.4
"142","2012-08-23",9.99
"143","2012-08-24",10.03
"144","2012-08-27",9.97
"145","2012-08-28",10.05
"146","2012-08-29",9.96
"147","2012-08-30",10.09
"148","2012-08-31",10.18
"149","2012-09-04",10.01
"150","2012-09-05",10.16
"151","2012-09-06",10.24
"152","2012-09-07",10.22
"153","2012-09-10",10.33
"154","2012-09-11",10.34
"155","2012-09-12",10.32
"156","2012-09-13",10.27
"157","2012-09-14",10.5
"158","2012-09-17",10.48
"159","2012-09-18",10.46
"160","2012-09-19",10.48
"161","2012-09-20",10.5
"162","2012-09-21",10.45
"163","2012-09-24",10.36
"164","2012-09-25",10.09
"165","2012-09-26",10.07
"166","2012-09-27",10.37
"167","2012-09-28",10.39
"168","2012-10-01",10.43
"169","2012-10-02",10.23
"170","2012-10-03",9.9
