"","date","ALTR"
"1","2017-11-01",18.309999
"2","2017-11-02",17.41
"3","2017-11-03",19.370001
"4","2017-11-06",18.969999
"5","2017-11-07",19.51
"6","2017-11-08",20.360001
"7","2017-11-09",20.4
"8","2017-11-10",20.76
"9","2017-11-13",21.719999
"10","2017-11-14",22.360001
"11","2017-11-15",23.49
"12","2017-11-16",23.940001
"13","2017-11-17",24.16
"14","2017-11-20",24.76
"15","2017-11-21",24.5
"16","2017-11-22",23.940001
"17","2017-11-24",24.9
"18","2017-11-27",22.65
"19","2017-11-28",23.870001
"20","2017-11-29",22.139999
"21","2017-11-30",22.389999
"22","2017-12-01",23.459999
"23","2017-12-04",21.9
"24","2017-12-05",21.559999
"25","2017-12-06",21.02
"26","2017-12-07",22.200001
"27","2017-12-08",21.6
"28","2017-12-11",23.08
"29","2017-12-12",22.32
"30","2017-12-13",21.440001
"31","2017-12-14",21
"32","2017-12-15",21.26
"33","2017-12-18",22.629999
"34","2017-12-19",22.59
"35","2017-12-20",23.24
"36","2017-12-21",24.389999
"37","2017-12-22",23.129999
"38","2017-12-26",23.030001
"39","2017-12-27",23.610001
"40","2017-12-28",24.309999
"41","2017-12-29",23.92
"42","2018-01-02",24.27
"43","2018-01-03",25.049999
"44","2018-01-04",24.92
"45","2018-01-05",25
"46","2018-01-08",25.41
"47","2018-01-09",26.6
"48","2018-01-10",27.99
"49","2018-01-11",26.450001
"50","2018-01-12",25.879999
"51","2018-01-16",25.58
"52","2018-01-17",24.860001
"53","2018-01-18",25.51
"54","2018-01-19",26.75
"55","2018-01-22",25.68
"56","2018-01-23",25.91
"57","2018-01-24",25.469999
"58","2018-01-25",25.01
"59","2018-01-26",26.27
"60","2018-01-29",25.219999
"61","2018-01-30",26.26
"62","2018-01-31",26.6
"63","2018-02-01",27.49
"64","2018-02-02",26.950001
"65","2018-02-05",26.799999
"66","2018-02-06",26.42
"67","2018-02-07",26.52
"68","2018-02-08",25.290001
"69","2018-02-09",25.24
"70","2018-02-12",25.74
"71","2018-02-13",25.719999
