"","date","SYF"
"1","2014-07-31",23
"2","2014-08-01",23
"3","2014-08-04",23
"4","2014-08-05",23
"5","2014-08-06",22.98
"6","2014-08-07",22.93
"7","2014-08-08",22.950001
"8","2014-08-11",22.93
"9","2014-08-12",23
"10","2014-08-13",23.18
"11","2014-08-14",23.01
"12","2014-08-15",23
"13","2014-08-18",23.17
"14","2014-08-19",24.41
"15","2014-08-20",25.190001
"16","2014-08-21",25.389999
"17","2014-08-22",25.360001
"18","2014-08-25",25.120001
"19","2014-08-26",25.049999
"20","2014-08-27",25.469999
"21","2014-08-28",25.690001
"22","2014-08-29",25.790001
"23","2014-09-02",25.790001
"24","2014-09-03",25.790001
"25","2014-09-04",25.700001
"26","2014-09-05",25.77
"27","2014-09-08",24.84
"28","2014-09-09",25.040001
"29","2014-09-10",24.700001
"30","2014-09-11",24.65
"31","2014-09-12",24.5
"32","2014-09-15",24.15
"33","2014-09-16",24.309999
"34","2014-09-17",24.549999
"35","2014-09-18",24.67
"36","2014-09-19",25.41
"37","2014-09-22",24.84
"38","2014-09-23",24.58
"39","2014-09-24",24.92
"40","2014-09-25",24.629999
"41","2014-09-26",24.77
"42","2014-09-29",24.700001
"43","2014-09-30",24.549999
"44","2014-10-01",24.219999
"45","2014-10-02",24.58
"46","2014-10-03",24.83
"47","2014-10-06",25
"48","2014-10-07",24.85
"49","2014-10-08",25.02
"50","2014-10-09",24.549999
"51","2014-10-10",24.200001
"52","2014-10-13",24.459999
"53","2014-10-14",24.85
"54","2014-10-15",24.52
"55","2014-10-16",24.6
"56","2014-10-17",24.780001
"57","2014-10-20",24.709999
"58","2014-10-21",25.17
"59","2014-10-22",25.379999
"60","2014-10-23",25.809999
"61","2014-10-24",26.110001
"62","2014-10-27",26.530001
"63","2014-10-28",26.85
"64","2014-10-29",27
"65","2014-10-30",26.790001
"66","2014-10-31",27.02
"67","2014-11-03",27.34
"68","2014-11-04",27.01
"69","2014-11-05",27.469999
"70","2014-11-06",27.58
"71","2014-11-07",28.15
"72","2014-11-10",28.77
"73","2014-11-11",29.110001
"74","2014-11-12",29.030001
"75","2014-11-13",28.99
"76","2014-11-14",29.049999
"77","2014-11-17",29.129999
"78","2014-11-18",28.950001
"79","2014-11-19",28.940001
"80","2014-11-20",29.24
"81","2014-11-21",29.17
"82","2014-11-24",28.969999
"83","2014-11-25",28.66
"84","2014-11-26",28.799999
"85","2014-11-28",29.01
"86","2014-12-01",28.879999
"87","2014-12-02",29.049999
"88","2014-12-03",29
"89","2014-12-04",29.15
"90","2014-12-05",29.25
"91","2014-12-08",29.51
"92","2014-12-09",29.52
"93","2014-12-10",29.65
