"","date","BCLI"
"1","2007-01-03",4.2
"2","2007-01-04",4.5
"3","2007-01-05",4.65
"4","2007-01-08",4.5
"5","2007-01-09",4.5
"6","2007-01-10",4.2
"7","2007-01-11",4.2
"8","2007-01-12",4.05
"9","2007-01-16",4.05
"10","2007-01-17",3.9
"11","2007-01-18",3.9
"12","2007-01-19",4.05
"13","2007-01-22",4.05
"14","2007-01-23",4.05
"15","2007-01-24",4.2
"16","2007-01-25",4.35
"17","2007-01-26",4.05
"18","2007-01-29",4.2
"19","2007-01-30",4.5
"20","2007-01-31",4.5
"21","2007-02-01",4.5
"22","2007-02-02",4.35
"23","2007-02-05",4.35
"24","2007-02-06",4.5
"25","2007-02-07",4.2
"26","2007-02-08",4.5
"27","2007-02-09",4.5
"28","2007-02-12",4.2
"29","2007-02-13",4.2
"30","2007-02-14",4.65
"31","2007-02-15",4.5
"32","2007-02-16",5.1
"33","2007-02-20",5.85
"34","2007-02-21",6.9
"35","2007-02-22",6.6
"36","2007-02-23",6.9
"37","2007-02-26",7.2
"38","2007-02-27",7.05
"39","2007-02-28",6.75
"40","2007-03-01",6.6
"41","2007-03-02",7.05
"42","2007-03-05",6.9
"43","2007-03-06",6.45
"44","2007-03-07",6.45
"45","2007-03-08",6.45
"46","2007-03-09",7.05
"47","2007-03-12",7.05
"48","2007-03-13",6.75
"49","2007-03-14",6.75
"50","2007-03-15",7.05
"51","2007-03-16",7.05
"52","2007-03-19",7.05
"53","2007-03-20",7.05
"54","2007-03-21",7.05
"55","2007-03-22",7.2
"56","2007-03-23",7.2
"57","2007-03-26",7.2
"58","2007-03-27",6.6
"59","2007-03-28",6.45
"60","2007-03-29",6.45
"61","2007-03-30",6
"62","2007-04-02",5.1
"63","2007-04-03",5.55
"64","2007-04-04",5.85
"65","2007-04-05",5.85
"66","2007-04-09",5.85
"67","2007-04-10",5.85
"68","2007-04-11",5.85
"69","2007-04-12",5.55
"70","2007-04-13",5.55
"71","2007-04-16",5.4
"72","2007-04-17",5.4
"73","2007-04-18",5.4
"74","2007-04-19",5.4
"75","2007-04-20",5.25
"76","2007-04-23",5.25
"77","2007-04-24",5.25
"78","2007-04-25",5.25
"79","2007-04-26",5.1
"80","2007-04-27",4.95
"81","2007-04-30",4.8
"82","2007-05-01",4.8
"83","2007-05-02",4.95
