"","date","ABTX"
"1","2015-10-08",23.120001
"2","2015-10-09",22.52
"3","2015-10-12",22.200001
"4","2015-10-13",22.299999
"5","2015-10-14",22.35
"6","2015-10-15",22.32
"7","2015-10-16",22.5
"8","2015-10-19",22.5
"9","2015-10-20",22.389999
"10","2015-10-21",22.33
"11","2015-10-22",22.16
"12","2015-10-23",22.17
"13","2015-10-26",22.184
"14","2015-10-27",22.1
"15","2015-10-28",22.43
"16","2015-10-29",23.700001
"17","2015-10-30",23.18
"18","2015-11-02",23.559999
"19","2015-11-03",23.389999
"20","2015-11-04",23.275999
"21","2015-11-05",23.25
"22","2015-11-06",23.82
"23","2015-11-09",23.09
"24","2015-11-10",23.700001
"25","2015-11-11",23.93
"26","2015-11-12",23.885
"27","2015-11-13",23.754999
"28","2015-11-16",22.48
"29","2015-11-17",22.639999
"30","2015-11-18",22.75
"31","2015-11-19",22.5
"32","2015-11-20",22.6
"33","2015-11-23",23.559999
"34","2015-11-24",23.629999
"35","2015-11-25",24.485001
"36","2015-11-27",24.219999
"37","2015-11-30",24.26
"38","2015-12-01",24.469999
"39","2015-12-02",24
"40","2015-12-03",24.076
"41","2015-12-04",24.139999
"42","2015-12-07",24.59
"43","2015-12-08",26.26
"44","2015-12-09",25.34
"45","2015-12-10",24.360001
"46","2015-12-11",24.15
"47","2015-12-14",23.58
"48","2015-12-15",23.780001
"49","2015-12-16",23.754999
"50","2015-12-17",23.99
"51","2015-12-18",22.780001
"52","2015-12-21",23.719999
"53","2015-12-22",23.9
"54","2015-12-23",23.68
"55","2015-12-24",23.42
"56","2015-12-28",23.15
"57","2015-12-29",23.5
"58","2015-12-30",23.85
"59","2015-12-31",23.65
"60","2016-01-04",22.809999
"61","2016-01-05",23.48
"62","2016-01-06",23.01
"63","2016-01-07",22.4
"64","2016-01-08",22.26
"65","2016-01-11",22.200001
"66","2016-01-12",21.280001
"67","2016-01-13",20.959999
"68","2016-01-14",20.82
"69","2016-01-15",20.74
"70","2016-01-19",19.66
"71","2016-01-20",19.34
"72","2016-01-21",18.290001
"73","2016-01-22",17.75
"74","2016-01-25",16.719999
"75","2016-01-26",17.139999
"76","2016-01-27",16.780001
"77","2016-01-28",16.93
"78","2016-01-29",18.549999
"79","2016-02-01",19.77
"80","2016-02-02",18.77
"81","2016-02-03",18.99
"82","2016-02-04",19.25
"83","2016-02-05",18.99
"84","2016-02-08",18.940001
"85","2016-02-09",18.389999
"86","2016-02-10",16.51
"87","2016-02-11",16.360001
"88","2016-02-12",17.200001
"89","2016-02-16",18.25
"90","2016-02-17",18.059999
"91","2016-02-18",16.950001
"92","2016-02-19",17.370001
"93","2016-02-22",17.18
"94","2016-02-23",17.33
"95","2016-02-24",17.42
