"","date","FEDU"
"1","2017-11-07",10
"2","2017-11-08",9.5
"3","2017-11-09",10
"4","2017-11-10",10
"5","2017-11-13",10.03
"6","2017-11-14",9.94
"7","2017-11-15",9.82
"8","2017-11-16",9.78
"9","2017-11-17",9.95
"10","2017-11-20",9.92
"11","2017-11-21",9.98
"12","2017-11-22",9.72
"13","2017-11-24",9.56
"14","2017-11-27",9.16
"15","2017-11-28",9.36
"16","2017-11-29",9.35
"17","2017-11-30",9.75
"18","2017-12-01",10.06
"19","2017-12-04",10.01
"20","2017-12-05",9.78
"21","2017-12-06",10
"22","2017-12-07",10
"23","2017-12-08",10
"24","2017-12-11",10.03
"25","2017-12-12",9.01
"26","2017-12-13",8.93
"27","2017-12-14",8.26
"28","2017-12-15",8.95
"29","2017-12-18",9.1
"30","2017-12-19",9.03
"31","2017-12-20",9.06
"32","2017-12-21",10.1
"33","2017-12-22",9.77
"34","2017-12-26",9.45
"35","2017-12-27",9.16
"36","2017-12-28",9.32
"37","2017-12-29",9
"38","2018-01-02",9.41
"39","2018-01-03",9.55
"40","2018-01-04",9.75
"41","2018-01-05",10
"42","2018-01-08",10.05
"43","2018-01-09",9.85
"44","2018-01-10",9.66
"45","2018-01-11",9.9
"46","2018-01-12",9.95
"47","2018-01-16",8.43
"48","2018-01-17",8.57
"49","2018-01-18",8.85
"50","2018-01-19",8.9
"51","2018-01-22",8.95
"52","2018-01-23",8.8
"53","2018-01-24",8.8
"54","2018-01-25",8.77
"55","2018-01-26",8.69
"56","2018-01-29",8.75
"57","2018-01-30",8.55
"58","2018-01-31",8.47
"59","2018-02-01",8.15
"60","2018-02-02",8.2
"61","2018-02-05",8.19
"62","2018-02-06",8.27
"63","2018-02-07",8
"64","2018-02-08",7.63
"65","2018-02-09",7.6
"66","2018-02-12",7.75
"67","2018-02-13",7.62
"68","2018-02-14",7.58
"69","2018-02-15",7.9
"70","2018-02-16",7.9
"71","2018-02-20",7.86
"72","2018-02-21",8.5
"73","2018-02-22",7.96
"74","2018-02-23",7.9
"75","2018-02-26",8.22
"76","2018-02-27",8
"77","2018-02-28",7.9
"78","2018-03-01",7.85
"79","2018-03-02",7.55
"80","2018-03-05",7.67
"81","2018-03-06",7.71
"82","2018-03-07",7.58
"83","2018-03-08",7.52
"84","2018-03-09",7.47
"85","2018-03-12",7.3
"86","2018-03-13",7.23
"87","2018-03-14",7.25
"88","2018-03-15",7.21
"89","2018-03-16",7.21
"90","2018-03-19",6.96
"91","2018-03-20",6.89
"92","2018-03-21",6.58
"93","2018-03-22",6.18
"94","2018-03-23",6.41
"95","2018-03-26",6.6
"96","2018-03-27",7.12
"97","2018-03-28",6.68
"98","2018-03-29",6.63
"99","2018-04-02",6.9
"100","2018-04-03",7.04
"101","2018-04-04",6.98
"102","2018-04-05",6.975
"103","2018-04-06",6.89
"104","2018-04-09",6.71
"105","2018-04-10",6.62
"106","2018-04-11",6.69
"107","2018-04-12",6.69
"108","2018-04-13",6.58
"109","2018-04-16",6.6
"110","2018-04-17",6.55
"111","2018-04-18",6.56
"112","2018-04-19",7.3
"113","2018-04-20",6.76
"114","2018-04-23",6.58
"115","2018-04-24",6.85
"116","2018-04-25",6.81
"117","2018-04-26",6.93
"118","2018-04-27",6.9
"119","2018-04-30",6.8
"120","2018-05-01",6.85
"121","2018-05-02",6.8
"122","2018-05-03",6.81
"123","2018-05-04",6.8
"124","2018-05-07",6.81
"125","2018-05-08",6.84
"126","2018-05-09",6.8
"127","2018-05-10",6.8
"128","2018-05-11",6.88
"129","2018-05-14",6.9
"130","2018-05-15",7.31
"131","2018-05-16",7
"132","2018-05-17",7
"133","2018-05-18",6.92
"134","2018-05-21",7.22
"135","2018-05-22",7.54
"136","2018-05-23",7.13
"137","2018-05-24",6.9
"138","2018-05-25",6.99
"139","2018-05-29",6.92
"140","2018-05-30",7
"141","2018-05-31",6.97
"142","2018-06-01",6.84
"143","2018-06-04",6.49
"144","2018-06-05",6.18
"145","2018-06-06",6.31
"146","2018-06-07",6.12
"147","2018-06-08",6
"148","2018-06-11",5.95
"149","2018-06-12",6.21
"150","2018-06-13",5.95
"151","2018-06-14",5.99
"152","2018-06-15",6
"153","2018-06-18",6
"154","2018-06-19",5.79
"155","2018-06-20",5.73
"156","2018-06-21",5.84
"157","2018-06-22",5.78
"158","2018-06-25",5.41
"159","2018-06-26",5.4
"160","2018-06-27",5.35
"161","2018-06-28",5.44
"162","2018-06-29",5.42
"163","2018-07-02",5.35
"164","2018-07-03",5.32
"165","2018-07-05",5.2
"166","2018-07-06",5.15
"167","2018-07-09",4.8
"168","2018-07-10",4.76
"169","2018-07-11",4.76
"170","2018-07-12",4.85
"171","2018-07-13",5
"172","2018-07-16",4.97
"173","2018-07-17",5
"174","2018-07-18",5
"175","2018-07-19",4.95
"176","2018-07-20",4.87
"177","2018-07-23",4.79
"178","2018-07-24",5
"179","2018-07-25",4.96
"180","2018-07-26",4.85
"181","2018-07-27",4.71
"182","2018-07-30",4.71
"183","2018-07-31",4.9
"184","2018-08-01",4.9
"185","2018-08-02",4.83
"186","2018-08-03",4.9
"187","2018-08-06",4.45
"188","2018-08-07",4.35
"189","2018-08-08",4.81
"190","2018-08-09",5.04
"191","2018-08-10",5.22
"192","2018-08-13",5.18
"193","2018-08-14",4.66
"194","2018-08-15",4.7
"195","2018-08-16",4.8
"196","2018-08-17",4.79
"197","2018-08-20",4.68
"198","2018-08-21",4.68
"199","2018-08-22",4.76
"200","2018-08-23",4.475
"201","2018-08-24",4.29
"202","2018-08-27",4.25
"203","2018-08-28",4.32
"204","2018-08-29",4.35
"205","2018-08-30",4.27
