"","date","TU"
"1","2007-01-03",11.0875
"2","2007-01-04",11.135
"3","2007-01-05",11.22
"4","2007-01-08",11.3625
"5","2007-01-09",11.6
"6","2007-01-10",11.35
"7","2007-01-11",11.3175
"8","2007-01-12",11.5025
"9","2007-01-16",11.5275
"10","2007-01-17",11.52
"11","2007-01-18",11.3
"12","2007-01-19",11.3825
"13","2007-01-22",11.24
"14","2007-01-23",11.32
"15","2007-01-24",11.5
"16","2007-01-25",11.6325
"17","2007-01-26",11.7225
"18","2007-01-29",11.4975
"19","2007-01-30",11.6
"20","2007-01-31",11.55
"21","2007-02-01",11.605
"22","2007-02-02",11.615
"23","2007-02-05",11.6675
"24","2007-02-06",11.55
"25","2007-02-07",11.6275
"26","2007-02-08",11.9175
"27","2007-02-09",11.9675
"28","2007-02-12",12.0625
"29","2007-02-13",12.025
"30","2007-02-14",12.0675
"31","2007-02-15",12.125
"32","2007-02-16",12.2625
"33","2007-02-20",12.1825
"34","2007-02-21",12.245
"35","2007-02-22",12.28
"36","2007-02-23",12.275
"37","2007-02-26",12.2375
"38","2007-02-27",11.8325
"39","2007-02-28",11.835
"40","2007-03-01",11.9075
"41","2007-03-02",11.705
"42","2007-03-05",11.7125
"43","2007-03-06",11.965
"44","2007-03-07",11.885
"45","2007-03-08",11.9
"46","2007-03-09",11.9875
"47","2007-03-12",12.0075
"48","2007-03-13",11.8825
"49","2007-03-14",11.9125
"50","2007-03-15",11.955
"51","2007-03-16",11.95
"52","2007-03-19",11.9975
"53","2007-03-20",12.205
"54","2007-03-21",12.31
"55","2007-03-22",12.0775
"56","2007-03-23",12.125
"57","2007-03-26",12.225
"58","2007-03-27",12.185
"59","2007-03-28",12.12
"60","2007-03-29",12.5075
"61","2007-03-30",12.5
"62","2007-04-02",12.5325
"63","2007-04-03",12.46
"64","2007-04-04",12.445
"65","2007-04-05",12.5
"66","2007-04-09",12.56
"67","2007-04-10",12.975
"68","2007-04-11",12.855
"69","2007-04-12",13.005
"70","2007-04-13",13.1175
"71","2007-04-16",13.5675
"72","2007-04-17",14.0125
"73","2007-04-18",13.8
"74","2007-04-19",13.6575
"75","2007-04-20",14.025
"76","2007-04-23",13.9025
"77","2007-04-24",13.785
"78","2007-04-25",13.96
"79","2007-04-26",14.08
"80","2007-04-27",13.9
"81","2007-04-30",13.5625
"82","2007-05-01",13.51
"83","2007-05-02",13.6625
"84","2007-05-03",13.5875
"85","2007-05-04",13.825
"86","2007-05-07",13.8775
"87","2007-05-08",13.7875
"88","2007-05-09",13.705
"89","2007-05-10",13.4875
"90","2007-05-11",13.4575
"91","2007-05-14",13.5125
"92","2007-05-15",13.7325
"93","2007-05-16",13.8525
"94","2007-05-17",14.175
"95","2007-05-18",14.55
"96","2007-05-21",14.5675
"97","2007-05-22",14.725
"98","2007-05-23",14.9575
"99","2007-05-24",14.81
"100","2007-05-25",14.9575
"101","2007-05-29",14.9725
"102","2007-05-30",14.995
"103","2007-05-31",15.0425
"104","2007-06-01",15.335
"105","2007-06-04",15.4625
"106","2007-06-05",15.25
"107","2007-06-06",14.9375
"108","2007-06-07",14.715
"109","2007-06-08",14.82
"110","2007-06-11",14.745
"111","2007-06-12",14.45
"112","2007-06-13",14.475
"113","2007-06-14",14.4475
"114","2007-06-15",14.7575
"115","2007-06-18",14.67
"116","2007-06-19",15.225
"117","2007-06-20",15.1825
"118","2007-06-21",14.725
"119","2007-06-22",14.7625
"120","2007-06-25",14.2925
"121","2007-06-26",14.41
"122","2007-06-27",14.62
"123","2007-06-28",14.635
"124","2007-06-29",14.73
"125","2007-07-02",15.205
"126","2007-07-03",15.02
"127","2007-07-05",15.1875
"128","2007-07-06",15.335
"129","2007-07-09",15.22
"130","2007-07-10",14.8375
"131","2007-07-11",14.6
"132","2007-07-12",14.8075
"133","2007-07-13",14.8825
"134","2007-07-16",14.935
"135","2007-07-17",15.0625
