"","date","GNE"
"1","2011-10-26",8.6
"2","2011-10-27",8.6
"3","2011-10-28",9.14
"4","2011-10-31",8.3
"5","2011-11-01",7.99
"6","2011-11-02",7.67
"7","2011-11-03",6.85
"8","2011-11-04",7.78
"9","2011-11-07",7.53
"10","2011-11-08",7.44
"11","2011-11-09",7.2
"12","2011-11-10",6.98
"13","2011-11-11",6.9
"14","2011-11-14",6.93
"15","2011-11-15",6.97
"16","2011-11-16",7.4
"17","2011-11-17",7.26
"18","2011-11-18",7.27
"19","2011-11-21",7.22
"20","2011-11-22",7.09
"21","2011-11-23",6.83
"22","2011-11-25",6.81
"23","2011-11-28",6.88
"24","2011-11-29",6.88
"25","2011-11-30",7.23
"26","2011-12-01",7.3
"27","2011-12-02",7.23
"28","2011-12-05",7.34
"29","2011-12-06",7.19
"30","2011-12-07",7.02
"31","2011-12-08",7.15
"32","2011-12-09",7.9
"33","2011-12-12",7.89
"34","2011-12-13",7.66
"35","2011-12-14",7.31
"36","2011-12-15",7.36
"37","2011-12-16",7.46
"38","2011-12-19",7.35
"39","2011-12-20",7.91
"40","2011-12-21",7.86
"41","2011-12-22",7.79
"42","2011-12-23",7.81
"43","2011-12-27",7.79
"44","2011-12-28",7.7
"45","2011-12-29",7.79
"46","2011-12-30",7.93
"47","2012-01-03",8.04
"48","2012-01-04",8
"49","2012-01-05",8.01
"50","2012-01-06",8
"51","2012-01-09",8.39
"52","2012-01-10",9.15
"53","2012-01-11",9.3
"54","2012-01-12",9.39
"55","2012-01-13",9.4
"56","2012-01-17",9.77
"57","2012-01-18",10.32
"58","2012-01-19",10.39
"59","2012-01-20",10.4
"60","2012-01-23",10.3
"61","2012-01-24",10.4
"62","2012-01-25",10.45
"63","2012-01-26",9.84
"64","2012-01-27",10.34
"65","2012-01-30",10.26
"66","2012-01-31",10.46
"67","2012-02-01",10.68
"68","2012-02-02",10.67
"69","2012-02-03",10.74
"70","2012-02-06",11.01
"71","2012-02-07",10.49
"72","2012-02-08",10.54
"73","2012-02-09",10.72
"74","2012-02-10",10.34
"75","2012-02-13",10.37
"76","2012-02-14",10.03
"77","2012-02-15",9.61
"78","2012-02-16",9.55
"79","2012-02-17",10
"80","2012-02-21",10.06
"81","2012-02-22",9.9
"82","2012-02-23",9.66
"83","2012-02-24",9.75
"84","2012-02-27",9.91
"85","2012-02-28",9.74
"86","2012-02-29",9.59
"87","2012-03-01",9.41
"88","2012-03-02",9.31
"89","2012-03-05",9.14
"90","2012-03-06",8.74
"91","2012-03-07",8.95
"92","2012-03-08",8.84
"93","2012-03-09",9.32
"94","2012-03-12",9.3
"95","2012-03-13",9.39
"96","2012-03-14",9.1
"97","2012-03-15",9.13
"98","2012-03-16",9.85
"99","2012-03-19",10.19
"100","2012-03-20",10.3
"101","2012-03-21",10.33
"102","2012-03-22",10.14
"103","2012-03-23",9.85
"104","2012-03-26",9.82
"105","2012-03-27",9.77
"106","2012-03-28",9.99
"107","2012-03-29",9.77
"108","2012-03-30",9.67
"109","2012-04-02",9.5
"110","2012-04-03",9.35
"111","2012-04-04",9.25
"112","2012-04-05",9.19
"113","2012-04-09",9.01
"114","2012-04-10",8.95
"115","2012-04-11",8.99
"116","2012-04-12",9.08
"117","2012-04-13",8.66
"118","2012-04-16",8.64
"119","2012-04-17",8.62
"120","2012-04-18",8.65
"121","2012-04-19",8.76
"122","2012-04-20",8.79
"123","2012-04-23",8.56
"124","2012-04-24",8.6
"125","2012-04-25",8.77
"126","2012-04-26",8.87
"127","2012-04-27",8.63
"128","2012-04-30",8.32
"129","2012-05-01",8.18
"130","2012-05-02",8.04
"131","2012-05-03",7.76
"132","2012-05-04",7.8
"133","2012-05-07",7.7
"134","2012-05-08",7.58
"135","2012-05-09",7.61
"136","2012-05-10",7.72
"137","2012-05-11",7.56
"138","2012-05-14",7.28
"139","2012-05-15",7.3
"140","2012-05-16",7.2
"141","2012-05-17",7.03
"142","2012-05-18",6.92
