"","date","PIRS"
"1","2015-01-02",2.75
"2","2015-01-05",2.75
"3","2015-01-06",2.75
"4","2015-01-07",2.75
"5","2015-01-08",2.75
"6","2015-01-09",2.75
"7","2015-01-12",2.75
"8","2015-01-13",2.75
"9","2015-01-14",2.75
"10","2015-01-15",2.75
"11","2015-01-16",2.75
"12","2015-01-20",2.75
"13","2015-01-21",2.76
"14","2015-01-22",2.76
"15","2015-01-23",2.76
"16","2015-01-26",2.76
"17","2015-01-27",2.76
"18","2015-01-28",2.76
"19","2015-01-29",2.8
"20","2015-01-30",2.8
"21","2015-02-02",2.8
"22","2015-02-03",2.8
"23","2015-02-04",2.8
"24","2015-02-05",2.8
"25","2015-02-06",2.8
"26","2015-02-09",2.8
"27","2015-02-10",2.8
"28","2015-02-11",2.85
"29","2015-02-12",2.85
"30","2015-02-13",2.85
"31","2015-02-17",2.85
"32","2015-02-18",3
"33","2015-02-19",3.2
"34","2015-02-20",3.2
"35","2015-02-23",3.2
"36","2015-02-24",3.2
"37","2015-02-25",3.2
"38","2015-02-26",3.25
"39","2015-02-27",3.25
"40","2015-03-02",3.25
"41","2015-03-03",3.25
"42","2015-03-04",3.25
"43","2015-03-05",3.16
"44","2015-03-06",3.16
"45","2015-03-09",3.25
"46","2015-03-10",3.2
"47","2015-03-11",3
"48","2015-03-12",3
"49","2015-03-13",3
"50","2015-03-16",3
"51","2015-03-17",3.2
"52","2015-03-18",3.2
"53","2015-03-19",3.2
"54","2015-03-20",3.2
"55","2015-03-23",3.2
"56","2015-03-24",3.2
"57","2015-03-25",3.2
"58","2015-03-26",3.2
"59","2015-03-27",3.2
"60","2015-03-30",3.2
"61","2015-03-31",3.2
"62","2015-04-01",3.2
"63","2015-04-02",3.2
"64","2015-04-06",3.2
"65","2015-04-07",3.2
"66","2015-04-08",3.2
"67","2015-04-09",3.2
"68","2015-04-10",3.45
"69","2015-04-13",3.65
"70","2015-04-14",3.5
"71","2015-04-15",3.75
"72","2015-04-16",3.735
"73","2015-04-17",3.75
"74","2015-04-20",3.5
"75","2015-04-21",3.4
"76","2015-04-22",2.99
"77","2015-04-23",2.99
"78","2015-04-24",2.99
"79","2015-04-27",2.99
"80","2015-04-28",2.96
"81","2015-04-29",3.2
"82","2015-04-30",3
"83","2015-05-01",2.89
"84","2015-05-04",2.8
"85","2015-05-05",2.745
"86","2015-05-06",2.8
"87","2015-05-07",2.65
"88","2015-05-08",2.65
"89","2015-05-11",2.65
"90","2015-05-12",2.8
"91","2015-05-13",3.01
"92","2015-05-14",2.92
"93","2015-05-15",2.99
"94","2015-05-18",3
"95","2015-05-19",3.1
"96","2015-05-20",3.2
"97","2015-05-21",3.25
"98","2015-05-22",3.1
"99","2015-05-26",3.15
"100","2015-05-27",3
"101","2015-05-28",3
"102","2015-05-29",3.1
"103","2015-06-01",3
"104","2015-06-02",3
"105","2015-06-03",3
"106","2015-06-04",2.97
"107","2015-06-05",3.01
"108","2015-06-08",3.085
"109","2015-06-09",3.06
"110","2015-06-10",3.09
"111","2015-06-11",3.21
"112","2015-06-12",3.21
"113","2015-06-15",3.18
"114","2015-06-16",3.12
"115","2015-06-17",3.45
"116","2015-06-18",3.4
"117","2015-06-19",3.85
"118","2015-06-22",4
"119","2015-06-23",4.2
"120","2015-06-24",4.15
"121","2015-06-25",3.98
"122","2015-06-26",3.26
"123","2015-06-29",3.26
"124","2015-06-30",2.75
"125","2015-07-01",2.74
"126","2015-07-02",2.75
"127","2015-07-06",2.53
"128","2015-07-07",2.65
"129","2015-07-08",2.5
"130","2015-07-09",2.51
"131","2015-07-10",2.65
"132","2015-07-13",2.58
"133","2015-07-14",2.61
"134","2015-07-15",2.55
"135","2015-07-16",2.65
"136","2015-07-17",2.72
"137","2015-07-20",2.69
"138","2015-07-21",2.7
"139","2015-07-22",2.81
"140","2015-07-23",2.79
"141","2015-07-24",2.95
"142","2015-07-27",3.19
"143","2015-07-28",3.2
"144","2015-07-29",3.07
"145","2015-07-30",3.06
"146","2015-07-31",3.2
"147","2015-08-03",3.17
"148","2015-08-04",3.2
"149","2015-08-05",3.38
"150","2015-08-06",3.59
"151","2015-08-07",3.37
"152","2015-08-10",3.2
"153","2015-08-11",3.11
"154","2015-08-12",3.24
"155","2015-08-13",3.27
"156","2015-08-14",3.49
"157","2015-08-17",3.36
"158","2015-08-18",3.25
"159","2015-08-19",3.21
"160","2015-08-20",3.06
"161","2015-08-21",2.75
"162","2015-08-24",2.53
"163","2015-08-25",2.64
"164","2015-08-26",2.73
"165","2015-08-27",2.84
"166","2015-08-28",2.88
"167","2015-08-31",2.75
"168","2015-09-01",2.8
"169","2015-09-02",2.7
"170","2015-09-03",2.67
"171","2015-09-04",2.75
"172","2015-09-08",2.72
"173","2015-09-09",2.66
"174","2015-09-10",2.7
"175","2015-09-11",2.64
"176","2015-09-14",2.47
"177","2015-09-15",2.5
"178","2015-09-16",2.49
"179","2015-09-17",2.59
"180","2015-09-18",2.6
"181","2015-09-21",2.65
"182","2015-09-22",2.56
"183","2015-09-23",2.49
"184","2015-09-24",2.5
"185","2015-09-25",2.4
"186","2015-09-28",1.86
"187","2015-09-29",1.82
"188","2015-09-30",1.83
"189","2015-10-01",1.92
"190","2015-10-02",1.99
"191","2015-10-05",1.977
"192","2015-10-06",1.9
"193","2015-10-07",1.89
"194","2015-10-08",1.86
"195","2015-10-09",1.95
