"","date","DEH"
"1","2020-09-04",9.75
"2","2020-09-08",9.75
"3","2020-09-09",9.8
"4","2020-09-10",9.8
"5","2020-09-11",9.77
"6","2020-09-14",9.8
"7","2020-09-15",9.755
"8","2020-09-16",9.76
"9","2020-09-17",9.83
"10","2020-09-18",9.84
"11","2020-09-21",9.779
"12","2020-09-22",9.84
"13","2020-09-23",9.83
"14","2020-09-24",9.81
"15","2020-09-25",9.81
"16","2020-09-28",9.78
"17","2020-09-29",9.8
"18","2020-09-30",9.77
"19","2020-10-01",9.78
"20","2020-10-02",9.9
"21","2020-10-05",9.74
"22","2020-10-06",9.75
"23","2020-10-07",9.73
"24","2020-10-08",9.7
"25","2020-10-09",9.65
"26","2020-10-12",9.7
"27","2020-10-13",9.69
"28","2020-10-14",9.69
"29","2020-10-15",9.69
"30","2020-10-16",9.7
"31","2020-10-19",9.7
"32","2020-10-20",9.7
"33","2020-10-21",9.67
"34","2020-10-22",9.7
"35","2020-10-23",9.7
"36","2020-10-26",9.65
"37","2020-10-27",9.69
"38","2020-10-28",9.67
"39","2020-10-29",9.67
"40","2020-10-30",9.66
"41","2020-11-02",9.66
"42","2020-11-03",9.65
"43","2020-11-04",9.65
"44","2020-11-05",9.65
"45","2020-11-06",9.65
"46","2020-11-09",9.65
"47","2020-11-10",9.67
"48","2020-11-11",9.65
"49","2020-11-12",9.68
"50","2020-11-13",9.69
"51","2020-11-16",9.69
"52","2020-11-17",9.69
"53","2020-11-18",9.68
"54","2020-11-19",9.7
"55","2020-11-20",9.72
"56","2020-11-23",9.7
"57","2020-11-24",9.73
"58","2020-11-25",9.74
"59","2020-11-27",9.8
