"","date","PLIN"
"1","2019-08-15",4.6
"2","2019-08-16",4.5
"3","2019-08-19",4.55
"4","2019-08-20",4.4
"5","2019-08-21",4.54
"6","2019-08-22",4.55
"7","2019-08-23",4.47
"8","2019-08-26",4.47
"9","2019-08-27",4.71
"10","2019-08-28",4.63
"11","2019-08-29",4.75
"12","2019-08-30",4.85
"13","2019-09-03",4.95
"14","2019-09-04",4.7
"15","2019-09-05",4.72
"16","2019-09-06",4.876
"17","2019-09-09",4.8
"18","2019-09-10",4.6
"19","2019-09-11",4.4
"20","2019-09-12",4.4
"21","2019-09-13",4.46
"22","2019-09-16",4.73
"23","2019-09-17",4.79
"24","2019-09-18",4.94
"25","2019-09-19",4.78
"26","2019-09-20",4.9
"27","2019-09-23",4.81
"28","2019-09-24",4.82
"29","2019-09-25",4.91
"30","2019-09-26",4.67
"31","2019-09-27",4.55
"32","2019-09-30",4.64
"33","2019-10-01",4.72
"34","2019-10-02",4.55
"35","2019-10-03",4.37
"36","2019-10-04",4.49
"37","2019-10-07",4.44
"38","2019-10-08",4.15
"39","2019-10-09",4.25
"40","2019-10-10",4.41
"41","2019-10-11",4.15
"42","2019-10-14",4.42
"43","2019-10-15",4.43
"44","2019-10-16",4.4
"45","2019-10-17",4.45
"46","2019-10-18",4.35
"47","2019-10-21",4.4
"48","2019-10-22",4.5
"49","2019-10-23",4.5
"50","2019-10-24",4.54
"51","2019-10-25",4.31
"52","2019-10-28",4.43
"53","2019-10-29",4.35
"54","2019-10-30",4.5
"55","2019-10-31",4.42
"56","2019-11-01",4.34
"57","2019-11-04",4.27
"58","2019-11-05",4.42
"59","2019-11-06",4.43
"60","2019-11-07",4.28
"61","2019-11-08",4.18
"62","2019-11-11",4.29
"63","2019-11-12",4.11
"64","2019-11-13",4.08
"65","2019-11-14",4.11
"66","2019-11-15",4.17
"67","2019-11-18",4.08
"68","2019-11-19",4.23
"69","2019-11-20",4.12
"70","2019-11-21",4.217
"71","2019-11-22",4.205
"72","2019-11-25",4.14
"73","2019-11-26",4.08
"74","2019-11-27",4.09
"75","2019-11-29",4.1
"76","2019-12-02",3.898
"77","2019-12-03",3.99
"78","2019-12-04",4.03
"79","2019-12-05",4.02
"80","2019-12-06",4.04
"81","2019-12-09",3.96
"82","2019-12-10",4
"83","2019-12-11",4
"84","2019-12-12",3.95
"85","2019-12-13",3.89
"86","2019-12-16",4.17
"87","2019-12-17",4.1
"88","2019-12-18",4.08
"89","2019-12-19",4.13
"90","2019-12-20",4.195
"91","2019-12-23",4.11
"92","2019-12-24",4.06
"93","2019-12-26",4.05
"94","2019-12-27",4.06
"95","2019-12-30",3.9
"96","2019-12-31",3.9
"97","2020-01-02",3.95
"98","2020-01-03",3.8
"99","2020-01-06",3.84
"100","2020-01-07",3.72
"101","2020-01-08",3.87
"102","2020-01-09",3.93
"103","2020-01-10",3.89
"104","2020-01-13",3.83
"105","2020-01-14",3.97
"106","2020-01-15",4
"107","2020-01-16",4.08
"108","2020-01-17",4.13
"109","2020-01-21",4.2
"110","2020-01-22",3.97
"111","2020-01-23",3.88
"112","2020-01-24",3.75
"113","2020-01-27",3.66
"114","2020-01-28",3.85
"115","2020-01-29",3.7
"116","2020-01-30",3.6
"117","2020-01-31",3.73
"118","2020-02-03",3.65
"119","2020-02-04",3.71
"120","2020-02-05",3.66
"121","2020-02-06",2.93
"122","2020-02-07",2.86
"123","2020-02-10",2.82
"124","2020-02-11",2.6
"125","2020-02-12",2.5
"126","2020-02-13",2.6
"127","2020-02-14",2.676
"128","2020-02-18",2.65
"129","2020-02-19",2.71
"130","2020-02-20",2.58
"131","2020-02-21",3.07
"132","2020-02-24",3.54
"133","2020-02-25",2.8
"134","2020-02-26",2.915
"135","2020-02-27",2.57
"136","2020-02-28",2.19
"137","2020-03-02",2.53
"138","2020-03-03",2.5
"139","2020-03-04",2.33
"140","2020-03-05",2.33
"141","2020-03-06",2.39
"142","2020-03-09",2.33
"143","2020-03-10",2.29
"144","2020-03-11",2.35
"145","2020-03-12",1.5
"146","2020-03-13",1.46
"147","2020-03-16",1.526
"148","2020-03-17",1.41
"149","2020-03-18",1.56
"150","2020-03-19",1.5
"151","2020-03-20",1.31
"152","2020-03-23",1.38
"153","2020-03-24",1.42
"154","2020-03-25",1.75
"155","2020-03-26",2.16
"156","2020-03-27",1.84
"157","2020-03-30",1.62
"158","2020-03-31",1.86
"159","2020-04-01",1.91
"160","2020-04-02",1.84
"161","2020-04-03",1.77
"162","2020-04-06",1.65
"163","2020-04-07",1.7
"164","2020-04-08",1.66
"165","2020-04-09",1.78
"166","2020-04-13",1.77
"167","2020-04-14",1.83
"168","2020-04-15",1.84
"169","2020-04-16",1.82
"170","2020-04-17",1.85
"171","2020-04-20",1.85
"172","2020-04-21",1.81
"173","2020-04-22",1.915
"174","2020-04-23",1.86
"175","2020-04-24",1.85
"176","2020-04-27",1.72
"177","2020-04-28",1.79
"178","2020-04-29",1.825
"179","2020-04-30",1.753
"180","2020-05-01",1.8
"181","2020-05-04",1.709
"182","2020-05-05",1.68
"183","2020-05-06",1.789
"184","2020-05-07",1.75
"185","2020-05-08",1.72
