"","date","XSPA"
"1","2010-07-27",1686
"2","2010-07-28",1566
"3","2010-07-29",1530
"4","2010-07-30",1500
"5","2010-08-02",1560
"6","2010-08-03",1548
"7","2010-08-04",1440
"8","2010-08-05",1470
"9","2010-08-06",1434
"10","2010-08-09",1398
"11","2010-08-10",1278
"12","2010-08-11",1284
"13","2010-08-12",1560
"14","2010-08-13",1440
"15","2010-08-16",1500
"16","2010-08-17",1380
"17","2010-08-18",1170
"18","2010-08-19",1026
"19","2010-08-20",846
"20","2010-08-23",1056
"21","2010-08-24",1050
"22","2010-08-25",1020
"23","2010-08-26",966
"24","2010-08-27",900
"25","2010-08-30",906
"26","2010-08-31",870
"27","2010-09-01",930
"28","2010-09-02",960
"29","2010-09-03",960
"30","2010-09-07",834
"31","2010-09-08",750
"32","2010-09-09",1020
"33","2010-09-10",1110
"34","2010-09-13",1140
"35","2010-09-14",1716
"36","2010-09-15",1770
"37","2010-09-16",1770
"38","2010-09-17",1740
"39","2010-09-20",1956
"40","2010-09-21",2010
"41","2010-09-22",1980
"42","2010-09-23",1824
"43","2010-09-24",1782
"44","2010-09-27",1800
"45","2010-09-28",1854
"46","2010-09-29",1944
"47","2010-09-30",1980
"48","2010-10-01",1860
"49","2010-10-04",1818
"50","2010-10-05",1746
"51","2010-10-06",1740
"52","2010-10-07",1668
"53","2010-10-08",1830
"54","2010-10-11",1770
"55","2010-10-12",1722
"56","2010-10-13",1704
"57","2010-10-14",1740
"58","2010-10-15",1704
"59","2010-10-18",1758
"60","2010-10-19",1650
"61","2010-10-20",1500
"62","2010-10-21",1320
"63","2010-10-22",1266
"64","2010-10-25",1224
"65","2010-10-26",1308
"66","2010-10-27",1326
"67","2010-10-28",1260
"68","2010-10-29",1350
"69","2010-11-01",1326
"70","2010-11-02",1242
"71","2010-11-03",1308
"72","2010-11-04",1434
"73","2010-11-05",1500
"74","2010-11-08",1440
"75","2010-11-09",1440
"76","2010-11-10",1410
"77","2010-11-11",1380
"78","2010-11-12",1320
"79","2010-11-15",1320
"80","2010-11-16",1374
"81","2010-11-17",1428
"82","2010-11-18",1428
"83","2010-11-19",1392
"84","2010-11-22",1344
"85","2010-11-23",1290
"86","2010-11-24",1320
"87","2010-11-26",1350
"88","2010-11-29",1392
"89","2010-11-30",1380
"90","2010-12-01",1392
"91","2010-12-02",1380
"92","2010-12-03",1320
"93","2010-12-06",1302
"94","2010-12-07",1248
"95","2010-12-08",1278
"96","2010-12-09",1248
"97","2010-12-10",1452
"98","2010-12-13",1614
"99","2010-12-14",1590
"100","2010-12-15",1590
"101","2010-12-16",1608
"102","2010-12-17",1548
"103","2010-12-20",1494
"104","2010-12-21",1410
"105","2010-12-22",1392
"106","2010-12-23",1380
"107","2010-12-27",1380
"108","2010-12-28",1470
"109","2010-12-29",1620
"110","2010-12-30",1560
"111","2010-12-31",1428
"112","2011-01-03",1350
"113","2011-01-04",1266
"114","2011-01-05",1302
"115","2011-01-06",1380
