"","date","GTES"
"1","2018-01-25",18.5
"2","2018-01-26",18.9
"3","2018-01-29",19.1
"4","2018-01-30",19.190001
"5","2018-01-31",19.6
"6","2018-02-01",19.719999
"7","2018-02-02",18.99
"8","2018-02-05",18.35
"9","2018-02-06",18.34
"10","2018-02-07",18.440001
"11","2018-02-08",18.139999
"12","2018-02-09",17.940001
"13","2018-02-12",18
"14","2018-02-13",18.379999
"15","2018-02-14",18.610001
"16","2018-02-15",18.379999
"17","2018-02-16",18.290001
"18","2018-02-20",18.08
"19","2018-02-21",17.75
"20","2018-02-22",17.639999
"21","2018-02-23",17.059999
"22","2018-02-26",16.940001
"23","2018-02-27",17.440001
"24","2018-02-28",17.360001
"25","2018-03-01",17.17
"26","2018-03-02",17.09
"27","2018-03-05",17.690001
"28","2018-03-06",17.870001
"29","2018-03-07",17.75
"30","2018-03-08",17.700001
"31","2018-03-09",17.719999
"32","2018-03-12",18.120001
"33","2018-03-13",17.950001
"34","2018-03-14",18.01
"35","2018-03-15",18.08
"36","2018-03-16",18.219999
"37","2018-03-19",18.34
"38","2018-03-20",18.33
"39","2018-03-21",17.959999
"40","2018-03-22",17.57
"41","2018-03-23",17.030001
"42","2018-03-26",17.5
"43","2018-03-27",17
"44","2018-03-28",17.02
"45","2018-03-29",17.51
"46","2018-04-02",16.84
"47","2018-04-03",17.09
"48","2018-04-04",17.07
"49","2018-04-05",17.26
"50","2018-04-06",16.98
"51","2018-04-09",16.540001
"52","2018-04-10",16.469999
"53","2018-04-11",16.110001
"54","2018-04-12",16.299999
"55","2018-04-13",15.76
"56","2018-04-16",15.86
"57","2018-04-17",15.96
"58","2018-04-18",16.280001
"59","2018-04-19",16.25
"60","2018-04-20",16.1
"61","2018-04-23",16.18
"62","2018-04-24",15.76
"63","2018-04-25",15.89
"64","2018-04-26",15.94
"65","2018-04-27",15.91
"66","2018-04-30",15.66
"67","2018-05-01",15.5
"68","2018-05-02",15.38
"69","2018-05-03",14.97
"70","2018-05-04",15.02
"71","2018-05-07",14.96
"72","2018-05-08",15.13
"73","2018-05-09",15.5
"74","2018-05-10",15.9
"75","2018-05-11",15.77
"76","2018-05-14",15.57
"77","2018-05-15",15.18
"78","2018-05-16",15.24
"79","2018-05-17",15.23
"80","2018-05-18",15.51
"81","2018-05-21",15.91
"82","2018-05-22",15.92
"83","2018-05-23",15.79
"84","2018-05-24",15.41
"85","2018-05-25",15.32
"86","2018-05-29",15.33
"87","2018-05-30",15.41
"88","2018-05-31",14.86
"89","2018-06-01",14.82
"90","2018-06-04",14.82
"91","2018-06-05",15.2
"92","2018-06-06",15.47
"93","2018-06-07",15.6
"94","2018-06-08",15.72
"95","2018-06-11",15.87
"96","2018-06-12",15.97
"97","2018-06-13",15.65
"98","2018-06-14",15.88
"99","2018-06-15",15.84
"100","2018-06-18",15.94
"101","2018-06-19",15.45
"102","2018-06-20",15.68
"103","2018-06-21",15.76
"104","2018-06-22",15.91
"105","2018-06-25",15.8
"106","2018-06-26",16.27
"107","2018-06-27",16.360001
"108","2018-06-28",16.360001
"109","2018-06-29",16.27
"110","2018-07-02",16.08
"111","2018-07-03",16.02
"112","2018-07-05",16.139999
"113","2018-07-06",16
"114","2018-07-09",16.139999
"115","2018-07-10",16.02
"116","2018-07-11",15.88
"117","2018-07-12",15.85
"118","2018-07-13",15.78
"119","2018-07-16",15.37
"120","2018-07-17",15.27
"121","2018-07-18",15.39
"122","2018-07-19",15.5
"123","2018-07-20",15.44
"124","2018-07-23",14.99
"125","2018-07-24",15.31
"126","2018-07-25",15.45
"127","2018-07-26",15.35
"128","2018-07-27",15.2
"129","2018-07-30",15.39
"130","2018-07-31",15.57
"131","2018-08-01",15.23
"132","2018-08-02",17.99
"133","2018-08-03",17.790001
"134","2018-08-06",18
"135","2018-08-07",17.959999
"136","2018-08-08",17.620001
"137","2018-08-09",17.98
"138","2018-08-10",17.700001
"139","2018-08-13",17.49
"140","2018-08-14",17.690001
"141","2018-08-15",17.27
"142","2018-08-16",17.5
"143","2018-08-17",17.77
"144","2018-08-20",18.02
"145","2018-08-21",18.09
"146","2018-08-22",18
"147","2018-08-23",17.700001
"148","2018-08-24",17.610001
"149","2018-08-27",18.059999
"150","2018-08-28",18.09
"151","2018-08-29",18.25
"152","2018-08-30",18.24
"153","2018-08-31",18.23
"154","2018-09-04",18.33
"155","2018-09-05",18.82
"156","2018-09-06",18.48
"157","2018-09-07",18.299999
"158","2018-09-10",19.370001
"159","2018-09-11",19.190001
"160","2018-09-12",19.24
"161","2018-09-13",19.27
"162","2018-09-14",19.18
"163","2018-09-17",19.52
"164","2018-09-18",19.52
"165","2018-09-19",19.559999
"166","2018-09-20",19.67
"167","2018-09-21",20.209999
"168","2018-09-24",19.559999
"169","2018-09-25",19.450001
"170","2018-09-26",19.23
"171","2018-09-27",19.110001
"172","2018-09-28",19.5
"173","2018-10-01",19.110001
"174","2018-10-02",18.940001
"175","2018-10-03",19.18
"176","2018-10-04",18.700001
"177","2018-10-05",18.65
"178","2018-10-08",18.59
"179","2018-10-09",18.139999
"180","2018-10-10",17.1
"181","2018-10-11",16.370001
"182","2018-10-12",16.27
"183","2018-10-15",16.040001
"184","2018-10-16",16.75
"185","2018-10-17",16.67
"186","2018-10-18",15.76
"187","2018-10-19",15.54
"188","2018-10-22",15.27
"189","2018-10-23",15.02
"190","2018-10-24",14.35
"191","2018-10-25",14.48
"192","2018-10-26",14.45
"193","2018-10-29",14.25
"194","2018-10-30",14.47
"195","2018-10-31",15.05
"196","2018-11-01",15.45
"197","2018-11-02",14.99
"198","2018-11-05",14.35
"199","2018-11-06",14.31
"200","2018-11-07",15.5
"201","2018-11-08",15.32
"202","2018-11-09",14.79
"203","2018-11-12",14.51
"204","2018-11-13",14.91
"205","2018-11-14",15.06
"206","2018-11-15",15.16
"207","2018-11-16",15.25
"208","2018-11-19",14.8
"209","2018-11-20",14.15
"210","2018-11-21",14.44
"211","2018-11-23",14.46
"212","2018-11-26",14.54
"213","2018-11-27",14.19
"214","2018-11-28",14.61
"215","2018-11-29",14.38
"216","2018-11-30",14.73
"217","2018-12-03",14.77
"218","2018-12-04",13.92
"219","2018-12-06",14.02
"220","2018-12-07",13.96
"221","2018-12-10",14.1
"222","2018-12-11",14
"223","2018-12-12",14.02
"224","2018-12-13",14.09
"225","2018-12-14",13.97
"226","2018-12-17",13.34
"227","2018-12-18",13.43
"228","2018-12-19",12.91
"229","2018-12-20",12.96
"230","2018-12-21",12.67
"231","2018-12-24",12.58
"232","2018-12-26",12.83
"233","2018-12-27",13.29
"234","2018-12-28",13.18
"235","2018-12-31",13.24
"236","2019-01-02",13.47
"237","2019-01-03",13.05
"238","2019-01-04",13.45
"239","2019-01-07",13.72
"240","2019-01-08",14.12
"241","2019-01-09",14.72
"242","2019-01-10",14.71
"243","2019-01-11",14.66
"244","2019-01-14",14.59
"245","2019-01-15",14.27
"246","2019-01-16",14.78
"247","2019-01-17",15.08
"248","2019-01-18",15.1
"249","2019-01-22",14.29
"250","2019-01-23",14.39
"251","2019-01-24",14.28
"252","2019-01-25",14.55
"253","2019-01-28",14.64
"254","2019-01-29",14.61
